<title>送人作南郡。用李季眞 稹 韻。</title>,<text>小吏發長安。風光行正好。寒梅開未落。春早江南道。</text>
<title>大殿迎祥詩 癸卯。居首。</title>,<text>千官曉趁禁城鐘。佳氣葱蘢擁九重。歲律已從葭琯改。春光偏向栢樽濃。陶匀萬物涵新化。和婉三朝想御容。寒退講筵宮漏永。邇英昕夕引夔龍。</text>
<title>大殿春帖字 甲辰。居首。</title>,<text>陽和藹藹殿嚴冬。獻賀千官趁曉鐘。禁裏韶光春入柳。仗前佳氣雪消峯。參差細菜傳初嫰。㶑灧香醪薦更濃。莫詑漢文寬大詔。聖朝新下紫泥封。</text>
<title>大殿春帖字 丙午</title>,<text>雪邊鄒律暗勾回。明歲春先一日催。嫰色漸從宮柳着。新聲已逐苑禽來。盤中細菜傳絲送。勝裏金花剪綵開。講罷邇英淸漏永。君王時復在靈臺。是歲立春。適在除夕。第二云。</text>
<title>大殿端午帖 丙午</title>,<text>鸞輿還自水晶宮。玉體康和喜氣融。湯野霈均千里雨。舜琴熏入五絃風。銘盤乍輟推新化。經幄重開進聖功。却把吾王無疾頌。更逢佳節賀天中。時纔返溫泉之幸。</text>
<title>王大妃殿迎祥詩 丁未</title>,<text>三元佳節協昌期。春滿東朝淑景遲。螭陛競呼千歲筭。獸樽低壓萬年枝。歡融文子承顔日。慶待神孫册命時。自是徽音光古昔。擬將嘉頌續周詩。時將行世子册禮。故第六云。</text>
<title>世子宮端午帖 庚戌</title>,<text>冲年盛禮已勝冠。重潤歌傳八域歡。令節獸樽蒲酒嫰。炎天金椀蔗漿寒。宮中樂事承顔侍。卷裏新功拭目看。講罷胄筵知有喜。邇來周竪報平安。</text>
<title>騎省見二毛 以下月課○此二首。壬寅秋居首。</title>,<text>自笑微官似馬曹。故園歸思集朝袍。新秋鏡裏偏增感。壯歲頭邊已換毛。覓句助斑那用鑷。緣愁添箇不禁搔。功名太拙吾衰早。直舍孤吟強染毫。</text>
<title>南昌赴宴</title>,<text>文星一點照孤篷。磯畔何來白髮翁。擬使馬卿催賦雪。故敎宗愨乍乘風。江山盡入千匀筆。聲價爭推五尺童。霞鶩至今留勝槩。世間誰復品題工。</text>
<title>瀟湘八景 壬寅冬</title>,<text>春回漁店柳陰繁。夕照依微映板門。烘暈曳紅渾射岸。炊烟噴白忽迷村。携竿別浦分歸影。曬網踈籬見濕痕。薄暮商帆何處泊。販鮮人語隔江喧。右漁村夕照雨歇春山晩放晴。濕嵐迎旭翳還明。粧成濃抹疑西子。標建輕霞怳赤城。小市戎戎廛不辨。高岑點點䯻微橫。丹靑最是難工處。變態朝昏各有情。右山市晴嵐林端暮靄引踈鐘。寺在依微第幾峯。行子正喧爭渡艇。歸僧忙擲上山筇。聲飄十里江雲杳。鳴趁三竿嶺日舂。却憶姑蘇城外夜。到船淸韻助詩鋒。右烟寺晩鐘極浦烟波漾落暉。倚欄淸眺送依微。曠如好客孤帆出。快得長風萬里歸。樹外乍迷高嶼轉。天邊閃掠遠鴉飛。秋江穩掛渾無恙。應趁鱸魚膾正肥。右遠浦歸帆蒼然楚望淼長洲。半映君山月上樓。圓魄涵虛一倍色。澄湖徹底十分秋。影侵沙際鷺疑雪。印在波心魚怕鉤。買酒白雲無限興。淸光都載謫仙舟。右洞庭秋月秋陰拖雨滿三湘。亂灑蘋洲入夜凉。圓汞散跳千點浪。明珠滴碎萬竿篁。凄迷暗鎖虞妃恨。斷續頻回楚客膓。幾箇孤篷愁淅瀝。也應來日滯歸檣。右瀟湘夜雨水國蘋風散晩霞。鴈拖殘照下平沙。寒空印處冥冥遠。暖渚遵時故故斜。秋半虜絃愁塞外。月中靈瑟聽湘涯。驚人不作高飛去。意在汀蘆萬點花。右平沙落鴈向夕寒嚴雪意牽。玉龍鱗甲翳江天。溪頭訪友人回棹。驢背吟詩客聳肩。飛絮撒塩評各妙。擁爐垂釣興誰偏。都輸一白乾坤了。只有歸鴉點暮烟。右江天暮雪</text>
<title>新燕識舊巢 此二首。癸卯春居首。</title>,<text>遊絲落絮媚芳辰。社燕飛回定幾廵。任是自來還自去。似曾相識故相親。巢從每歲尋仍慣。語到今春聽更新。休道𠷢泥附炎熱。田家依舊主人貧。</text>
<title>惟有東風不世情</title>,<text>煽得陽和百草萌。東風於世大公平。蓬蒿宅裏皆交翠。桃李門前等向榮。物性豈曾隨俗態。天機都不類人情。菒言沙磧無春色。猶遣昭君塚上生。</text>
<title>梅雨 此二首。癸卯夏居首。</title>,<text>江南物色近黃梅。梅子黃時好雨來。密葉灑凉排早暑。老査經潤長新苔。霑宜道暍絲絲遍。熟爲塩羹陣陣催。最是一番迎送處。幾回淸景入詩裁。</text>
<title>麥秋</title>,<text>高低麥浪漾西疇。四月田家已報收。書識魯經徵歲熟。薦登周廟作時羞。天中赤日初行夏。野外黃雲別有秋。自是上塲先百穀。故敎詩雅頌來牟。</text>
<title>搖落深知宋玉悲 此三首。癸卯秋居首。</title>,<text>落木風吹短鬢絲。客懷憀慄楚江涯。山河正屬商金節。詞賦長留宋玉悲。景物四時秋易感。襟期百代我偏知。人情自是思先獲。今古蕭條一詠詩。</text>
<title>秋光都似宦情薄</title>,<text>幕府西風日夜淸。故園千里客懷驚。天敎冷淡爲秋色。人閱酸寒比宦情。老覺浮名同葉薄。病拋微祿等毫輕。朝來拄笏歸心决。官長何須罵步兵。</text>
<title>中夜悲歌泣孝宗</title>,<text>喬山松檜欝嵳峩。十載遷臣兩鬢皤。螻命幸全恩似海。龍髯莫逮淚傾河。深仁沒世均霑化。私慟中宵獨放歌。今日對君同感舊。貞元供奉已無多。</text>
<title>坐春風 甲辰春。居首。</title>,<text>映座光輝德潤身。一團和氣繞芳茵。叨陪門下纔經月。始識人間別有春。元化運行全體妙。暖風吹煽滿腔仁。金聲玉色薰陶地。心醉歸來若飮醇。</text>
<title>晝錦堂 甲辰夏</title>,<text>淸朝名德冠巖廊。建纛歸來卽故鄕。不逐人情誇晝錦。唯將相業侈華堂。神功雨慰三農望。雅志花憐晩節香。紀實更留歐老筆。百年瞻仰並輝光。</text>
<title>秋風老將心 甲辰秋</title>,<text>苔沒長槍卧綠沉。隴西豪氣到如今。每從秋謝唯危鬢。不逐年衰是壯心。程計黑山胷裏了。陣思雲鳥眼中森。逢人漫說三邊事。迢遞關河夢獨尋。</text>
<title>次錢起扈駕幸溫泉宮韻 乙巳夏。居首。</title>,<text>輦路塵淸報禁鐘。羽旄晨拂瑞雲重。離宮縹緲開雙鳳。御水逶迤駐六龍。春滿法樽寒退仗。暖熏湯井雪消峯。朝來特賜長纓浴。曠世榮光雨露濃。</text>
<title>危樓望北辰 此三首。乙巳秋。</title>,<text>危檻踈簾夜上鉤。獨依南斗望神州。長懸日下孤臣戀。極送天涯萬里眸。象緯列星元北拱。朝宗衆水必東流。三更風露侵衣袖。多少寒威想玉樓。</text>
<title>每逢佳節倍思親</title>,<text>强欲登高百感新。異鄕千里隔昏晨。風吹孟帽當佳節。淚濕萊衣憶老親。菊蘂不須開九日。草心難得報三春。茱萸應揷連枝會。夢趁庭闈上壽辰。</text>
<title>長貧任婦愁</title>,<text>詩富千篇不救貧。百年愁殺室中人。恒饑一任凄凉色。熟醉長爲酩酊身。計拙謀生吾自笑。憂深主饋婦宜嗔。秋來芧栗收還足。契濶休言太苦辛。</text>
<title>斬蛇劒 乙巳冬</title>,<text>劒名天子說南華。不是尋常等鏌鎁。故借眞人追逸鹿。賴將神物斬長蛇。澤邊心逐今宵壯。海內威從異日加。可惜桓靈還倒柄。竟輸三尺屬誰家。</text>
<title>次早朝大明宮韻 丙午春。居首。</title>,<text>曙雲平覆掖垣長。花底千官韻水蒼。法殿乍開瞻肅穆。黼衣高拱煥文章。風傳玉漏頻移箭。烟散金爐細浥香。起草明光人共羡。誰將傑筆擬盧王。右賈至韻春城曙色動微寒。上苑鸎花節序闌。燭映暗磚催學士。仗移文陛唱臚官。徐回扇影香初散。忙演詞頭墨未乾。解道聖朝佳氣象。掌綸家世似君難。右岑參韻曉旭欲昇溫室樹。露華猶濕未央桃。千官影逐班心整。萬歲聲傳仗外高。花雜酒香來撲帽。鸎添詩料入濡毫。躬逢盛際同歌頌。騎省何人歎二毛。右杜甫韻九陌鳧趨逐漏籌。午門風露襲衣裘。三竿麗日昇金牓。一朶祥雲捧玉旒。擎出獸樽殊渥遍。散來螭陛御香浮。流鸎弱柳歸題品。春滿詞臣彩筆頭。右王維韻</text>
<title>每看兒戱憶靑春 丙午夏。居首。</title>,<text>殘年閑弄所嬌兒。記得衰翁幼稚時。手抹墨鴉看爾戱。身騎竹馬憶吾嬉。千回上樹渾如昨。同隊吹葱更有誰。相對幾多開口笑。老難重少却生悲。</text>
<title>筑中鉛 此二首。丁未夏。居首。</title>,<text>劒化爲鉛入筑中。彼庸非是效伶工。操音不改燕南曲。尙節猶傳易水風。俠氣已輕捐七尺。壯心何害矐雙瞳。從來寸鐵銷難得。更費浪沙誤擊功。</text>
<title>杖頭錢</title>,<text>招呼從事到靑州。酒債尋常在杖頭。行處便傾鸚鵡勺。沽來不用鷫鸘裘。當壚自足隨身辦。入室何須與婦謀。但賴孔方兄日飮。全勝吏部甕間偸。</text>
<title>林下何曾見一人 丁未冬。居首。</title>,<text>城市相逢名利人。無人不道厭趨塵。身當遯野誰能勇。語到休官却未眞。朱紱自多覊處力。靑山空是夢中春。高情獨有陶彭澤。一棹歸來岸葛巾。</text>
<title>扇 此三首。庚戌夏。</title>,<text>剡竹裁紈制最工。團團明月訝偏同。不須便去張公面。可是揚來謝傳風。酷吏敢專行暑力。化翁先讓煽凉功。人情觸處恩終薄。零落高秋棄篋中。</text>
<title>簟</title>,<text>琉璃八尺爛輝光。織取瀟湘染淚篁。工部酒醒偏憶爽。法曹膚慢恰宜凉。炎排鄭谷堪留客。感惹潘郞爲悼亡。誰道平生無長物。憐渠風韻獨難忘。</text>
<title>冰</title>,<text>履霜終至爾功完。能占人間六月寒。分得宮恩宜暑暍。飮因王事想艱難。豳詩詠鑿徵民頌。魯史書無戒後觀。寘在玉壺淸更徹。不妨相對照心肝。</text>
<title>明年太歲在涒灘 此二首。辛亥春。</title>,<text>江南王業尙今偏。聖祖龍飛運更旋。一統庚申爲太歲。三周甲子在明年。乾坤再造期應滿。否泰相乘理亦然。記得先人當日語。白頭和淚寫新篇。</text>
<title>舊雨來人不到門</title>,<text>蓬門雖設未嘗開。舊雨人今斷不來。酒有新醅誰對酌。燕如曾識故飛回。浮雲俗態俄蒼狗。委巷陳蹤但綠苔。試看雀羅廷尉宅。何須徑路歎無媒。</text>
<title>次曹組寒食輦下詩 此二首。代人製。</title>,<text>草暖秦川午景明。萬家風物屬新晴。空齋禁火思鄕句。御柳飛花絶代聲。野外紙錢尋墓去。陌頭金絡踏春行。佳辰忘却身爲客。且醉衢樽頌太平。</text>
<title>次韋莊長安淸明詩</title>,<text>綺陌春芳媚午天。故園歸思草芊芊。烟生禁裏新更燧。酒乏囊中舊換錢。街暗流塵馳蹴踘。柳迷飛絮送鞦韆。昇平往事憑誰道。空把遨遊付少年。</text>
<title>憶昔四十韻</title>,<text>葱欝神京氣自佳。百年豐豫運無差。蕭何法律垂宏制。陸賈詩書接泰階。日月高天收爝火。陽春幽谷起陳荄。春陵客引三千士。田竇門臨十二街。得意虞卿輸白璧。逢時范叔結靑緺。盤開承露金莖直。池闢昆明畫戟叉。玄草子雲誇羽獵。玉桃方朔任詼諧。茂陵書上封梁父。天馬歌成詠渥洼。跨魏文風驅正始。觀周雅樂黜淫哇。秦川草暖香車散。漢苑花明錦障排。衛霍勳功馳羽檄。金張豪貴列鸞釵。論交燕市靑萍劒。結伴章臺白鼻騧。潁水淸來橫大猾。邯鄲曲罷醉嬌娃。時亨國泰知難極。人事天機看或乖。北拱心懸燕闕下。西來兵起鴨江涯。銅駞顚倒悲都邑。鐵騎憑陵捲虎豺。趙祖渡江泥作馬。晉陽沉竈水生鼃。作車武制殊軒后。鍊石神功失女媧。雲鎖園陵連莽蒼。草生郊墠絶燔祡。潼關潰卒寧論險。仙鎭班師不待牌。萬里陰風吹月色。三方積雪照人骸。㫌旗僅保唐巴蜀。舸艦誰防宋海崖。泣路王孫悲寶玦。趨朝工部着麻鞋。計存宗社羞天共。事有經權易地皆。誰遣魯連扶節義。久知元禮作模楷。楷是仄韻。而先輩集中。有以平聲用者。今從之。 崆峒雨雪初回駕。蠻觸風塵暫息蝸。燕質歸期天雨粟。宋臣寃血市名柴。衣冠文物渾如夢。城郭人民只愴懷。王謝堂前舊時燕。汾陽門外夕陽槐。時移事變看灰劫。物阜民安想土堦。商嶺紫芝誰避世。小山叢桂欲尋淮。泥塗半世身將老。關塞何時眼可揩。玩易閑情思蜀肆。還丹秘術憶洪厓。燕臺豈乏黃金築。豐獄空敎紫氣埋。跌宕江山誰主客。逢迎塵世少朋儕。淸談肯許王夷甫。妙藝休誇蔡伯喈。四海知心唯簡册。一丘容膝有茅齋。蔬畦雨過栽葵韭。茶鼎灰寒撥豆稭。隨柳傍花從自得。浴沂風舞與誰偕。題詩欲叙中年事。語豈驚人殆類俳。</text>
<title>一體君臣祭祀同二十韻</title>,<text>天眷眞人運際隆。應須羣策屈英雄。商家聘幣迎莘摯。周室經綸獲匪熊。炎火正衰皇漢末。風雲欻感草廬中。方當再造寰中會。獨任三分海內功。三顧以來期報答。一言之契動昭融。金甌舊物千年復。玉壘新封萬里通。擬剪江東如破竹。將收鄴下若旋蓬。人謀豈乏良圖展。天意終敎伯業窮。雲晩九疑仙馭遠。風悲五丈將星空。興隆可待還齎志。成敗何論只鞠躬。漫有末音存付託。長留兩表見精忠。扶顚長策思光武。遺愛甘棠憶召公。古壘猶傳渭水曲。遺祠特立錦城東。三川民俗憑欽祀。一體君臣配閟宮。應有精靈九地會。故將香火四時同。丹靑窈窕衣冠肅。黍稷馨香俎豆豐。幾處淸酤供蜀婦。每年寒食走村翁。功留沒世寧無感。報切遺氓不墜風。千載遭逢想魚水。一方瞻仰並蠶叢。當年竟失呑吳計。江水滔滔恨未終。</text>
<title>贈濟州牧崔而栗 寬 六韻 進退格</title>,<text>曾向蓬萊按節行。一麾仙賞又炎溟。馬騰千里多生冀。鰲戴三山此號瀛。秋實后皇嘉樹橘。天文南極老人星。見聞應叶齊諧恠。忠信能敎海道平。世外須君尋大藥。塵中分我制頹齡。憑傳白首湘潭客。詩札纔回眼倍明。</text>
<title>磨天嶺行</title>,<text>惟天有設險。險莫如玆嶺。矗矗上磨天。名與實相傡。吾觀輿地志。厥初此路梗。有人尋牛蹤。開鑿通人境。雄蟠鎭坤軸。高聳揷斗柄。逕似虬蛇曲。縈紆一何永。鳥道與羊腸。於此論一倂。冰棧倚鐵壁。石角尖且硬。我僕告疲憊。我馬失强倞。深沉瞰大壑。難測千尋綆。肩籃歷阻折。性命在俄頃。退之咋指戒。令人發深省。谷藏魑魅妖。林伏虎豹猛。畏途儘崎嶇。到底增憂怲。叢薄纏藤蘿。樛木雜柟杏。蕭索盡萎枯。風霜逼晩景。挺然嶺上松。歲寒方知勁。譬彼正直士。摧折猶骨鯁。陰崖有巢鶻。獨立毛羽整。高飛萬里志。一瞬可以逞。嶺限南北關。盛夏尙凜冷。况我辭京國。政屬冬之孟。衝寒度塞門。幕府遙指鏡。至月始踰嶺。玄冥氣轉盛。徒旅相攀牽。凌兢涕橫逬。遂登最高頂。曠然四望騁。屹起長白山。雪色寒相映。巉巖與嶺齊。對峙如爭競。俯視鬼門關。滅沒雲霞影。高低隴樹遠。眇若參差荇。巨浸莽空濶。洋洋何處竟。倒景蘸半溟。疑開金璞礦。三島知不遠。使我空引領。北眺靺鞨墟。杳杳流沙敻。狂飈捲大漠。怒號如威令。壯心撫一劒。蕞爾彼夷憬。累朝軫備禦。憂不弛乙丙。于今刁斗絶。敵情猶難偵。綢繆倘失宜。有難誰能靖。麗代有文肅。驕虜不敢橫。先春嶺上碣。千載留名姓。本朝金元帥。盛業何輝炳。經營六鎭設。風烈起人敬。男兒生世間。誓當繫胡頸。此志成濩落。荏苒時難更。瞑投傍海堡。初月懸金餠。蕃將負弩迎。胡姬列姈娉。錦瑟間淸樽。豔冶新粧靚。鯨濤撼客枕。不寐聊中聖。念我素懶拙。端居守淸淨。閉門息交游。書史以涵泳。榮宦是倘來。通籍倚華省。志不爭名利。姿又乏諫諍。斯役乃分宜。自甘蠻貊屛。飄颻關嶺間。世味識槩梗。然吾視宦海。風浪無時靜。苟不戒冥行。一跌墮坑穽。彼此孰險夷。較來翻然惺。驅馳肯憚勞。壯觀亦一幸。嘗慕子長遊。夢想恒耿耿。今始償宿願。庶免蛙埳井。矧伊評事官。機務元無秉。身依節度營。如木之贅癭。不比二千石。分憂察民政。靑油談笑地。鎭日唯觴詠。司馬自方外。官卑尙何病。但當隨所遇。安之皆若命。叱馭九折坂。如赴周逵正。天必玉我成。增益先忍性。人宜於我行。匪唁而伊慶。題作紀行篇。排悶信毛穎。</text>
<title>走賦謝金仲翊，柳起之同舟來訪。兼寄沈仲美。</title>,<text>端居日以閴。了無車馬跡。羣蜩噪高柳。嘒嘒東西陌。好鳥求其友。和鳴集灌木。覽物懷伊人。我思勞日夕。豈無丘中伴。相過慰幽獨。求羊二仲至。歡緖一何足。把臂指竹林。敷腴色可掬。隣墻過濁醪。我蔬園中摘。湛湛江水流。臨江送遠目。晩色淨芳洲。霽景浮深酌。㗳然南郭綦。轉作玄談劇。可笑山季倫。接䍦還倒着。萬事髮已白。且覆杯中淥。驟雨一霎歸。頓覺驕暑滌。露頂迎爽氣。諷詠雜諧謔。捨馬客登舟。下樓我移席。欲起更挽衣。幽興不可極。只恨沈休文。邇來阻良覿。</text>
<title>走次灘翁韻</title>,<text>凉颸逗古槐。病葉已隕柯。狙序政晼晩。我思在伊何。白髮灘上翁。林壑閑婆娑。朗詠招隱詩。桂樹山之阿。悵望終永夕。夜久轉星河。良辰可乘興。端正月舒波。八月秋氣高。佳菊綻籬東。覽物懷我友。突兀倚窓櫳。何當命巾車。把臂竹林中。文章竟安用。鏤冰徒費功。賢達揔湮滅。陳跡但泥鴻。平生滿樽酒。獨對梧灘翁。</text>
<title>迪兒冠後。灘翁賦寄長句。次韻示兒。用申祝戒。</title>,<text>汝年長而成。汝質端且良。我友相汝冠。殷禮亦不遑。三加撫汝頂。一擧醮汝觴。勉汝行誼敦。祝汝壽祺昌。羽儀若祥鳳。挺特如高岡。九萬期汝程。圭組耀軒裳。繼我祖先業。翊我聖明王。汝惟敬恭聽。再拜訓辭將。孝悌有餘力。旁通文墨塲。無若乃翁懶。令名宜遠揚。</text>
<title>寄別晉州牧李季羽</title>,<text>秋氣日凄淸。覽物傷我情。况此搖落時。又送君遠行。齋居阻行塵。望望淸漢津。去矣莫踟躕。嶺海寧死人。</text>
<title>哭權至叔</title>,<text>昔君方弱冠。我是丱角時。行年校五歲。許我肩隨之。並榻我仲氏。夜讀匡山燈。文辭君已博。盖不專一能。至若有韻作。君嘗讓我仲。聚散迭悲歡。鴻沙跡如夢。我亡子敬琴。君愴山陽笛。逢塲輒懷舊。淚向杯心落。我伯鑒賞多。每期君遠到。年位止於斯。明徵久顚倒。脫屣水部名。翩然去遊岱。應逢我伯仲。道我蕭條在。大夢孰非幻。下壽不是嗇。達人無怛化。何爲浪沾臆。三號秦佚悲。所悲失良友。我畸罕交游。懶慢相成久。出門何所之。馬首輒南郭。驩然道平素。衮衮呼大白。淸言雜善謔。絶倒王平子。傲兀萬物表。那解皺眉事。冰壺一片心。白首以爲期。客歲我送客。共君菊花巵。此會僅閱月。遽報君長逝。痛哭寢門外。獨立人間世。荷鍤伯倫埋。輟絃子期殞。黃壚視雖近。邈若山河遠。侵晨祖馬嘶。廣陵雪嵯峨。大招君莫留。咽不成輓歌。休文寄君作。君病筒未遞。追成歎逝吟。和罷又一涕。想君知不知。哀哉脩夜閴。能憶八詠樓。春來新酒熟。</text>
<title>走次仲美秋景長句。兼示允迪。</title>,<text>節物日搖落。荏苒佳期晩。故人在灘上。幽棲聊息偃。練色淨鋪江。秋光濃染巘。風烟困驅使。筆底何曾遁。郢曲和固難。強策才駑蹇。遇我幾投轄。杯行從衮衮。同好德水子。風流是南阮。相携俯滄洲。白鷗何宛宛。朗撫中散琴。目送飛鴻遠。何當續舊會。斜日澹忘返。</text>
<title>次李白紫極宮感秋詩 以下月課○壬寅秋。居首。</title>,<text>客行似轉蓬。秋懷倚踈竹。覽物自多感。淸淚盈我掬。稅駕紫極宮。寒宵塊處獨。世味飽酸醎。身計無歸宿。漫賦屈子騷。未就君平卜。知非自今日。尙可不遠復。潯江爽氣來。引滿杯且覆。浩歌仍醉眠。一枕黃粱熟。</text>
<title>石皷 此二首。乙巳冬。</title>,<text>世代閱萬變。古物獨石皷。周宣昔蒐岐。功烈紀神武。其文何灝噩。可並典謨數。詰曲篆籀法。軒頡以爲祖。不隨陵谷遷。長賁後人覩。雖云久已訛。殘缺尤奇古。傑筆歌者誰。後軾而前愈。才薄奈吾何。續詩吟漫苦。</text>
<title>禹鼎</title>,<text>器有靈莫測。異哉神禹鼎。形包百物備。足象三德並。衆魅罔不慴。人鬼遂遼逈。乃使上帝格。玄理誰能詗。自夏歷商周。古金光逾烱。吁嗟王道衰。至治世降等。楚強問豈敢。秦垢汚不肯。終然淪泗水。暴君何由拯。</text>
<title>與鼎卿兄。泛月琴臺。醉賦。</title>,<text>自我辭洛來中原。索居抱病常掩門。客裏逢人眼不靑。幽懷欝欝誰與論。吾家惠連宰嶺南。近者作賦歸田園。隔水盈盈地相望。還往喜甚吹箎壎。欲待中秋同賞月。月色不放秋陰繁。莫嗟好會易差池。且遲數日開淸樽。朴氏亭子擅上游。相與盍簪來憑軒。不須滿酌先酩酊。興在放舟期黃昏。酒半俄看月東出。雲間灧灧黃金盆。催移坐席泛中流。四望頓滌胷襟煩。月岳嵬峩倚天起。衆山拱揖如兒孫。巨靈何時劈兩峽。水勢咆哮中坼坤。流爲北津抱州府。或淵或灘千里奔。于勒臺高但疊石。金生庵廢空毁垣。庵中落筆臺上琴。秪今往事鴻沙痕。百丈渟泓深莫測。疑藏老龍之蜿蜿。㺚水逶迤古戰塲。先朝將士爲蟲猿。惜哉不講用兵術。身殞未報明主恩。倚棹懷古一長歌。爲吊國殤傷心魂。露冷蘆葦宿沙鷗。夜深風浪吹江豚。微微遠鐘來底寺。點點踈燈知別村。隔岸漁人撑小艇。擧網得雋聞語喧。沿洄鏡裏隨所之。樂極轟飮如鯨呑。三更灝氣襲篷窓。怳見孤鶴橫江鶱。衣袂飄飄欲輕擧。如登閬風躡崑崙。坡翁逸氣凌赤壁。子長壯觀浮湘沅。玆遊跌宕追二子。况乃座上俱弟昆。江山流峙閱萬古。賢達登臨經幾番。俛仰古今增一嘅。逝者湮滅皆無存。請君試吟將進酒。紛紛世事何足言。</text>
<title>行營。次東岳出塞曲。</title>,<text>歲晏北門天苦寒。冰滿交河邊土裂。嫖姚自領二千兵。出塞戈鋋映朔雪。桔槹峯上暮烟滅。夜靜黃沙候騎絶。漢家神將不可當。單于遠遁乘月黑。明朝擬戰桑乾源。秣馬龍堆待曙色。</text>
<title>次東岳入塞曲</title>,<text>日沒雲中千騎還。壯士洗劒交河水。履胡之膓蹀胡血。奏凱歡聲騰壁壘。元戎意氣臨瀚海。滿酌葡萄玉帳裏。襁褓兒爲萬戶侯。歸來甲第長安起。可憐數奇李將軍。寂寞屛居藍田里。</text>
<title>鏡城評事衙後。栽花漫賦。</title>,<text>北邊節候春苦晩。地瘦且不蕃花木。暮春將晦首夏届。嫰色始着山躑躅。書記官閑無一事。縱欲賞花花豈得。朝來好雨正霏微。趁此爲移芳叢植。先培躑躅又杜鵑。排列庭除兩行直。危根新帶客土淺。况復陰鄕陽煦薄。未信今年開未開。留待明春詎更卜。只是殊方對佳卉。若在京國情何極。京國韶華應爛熳。胡爲尙作關山客。坡翁惠院詠棠篇。退之南州賦杏作。追思二公三歎息。詩意寓感同今昔。寄語後來同志人。要須繼我加護惜。</text>
<title>走酬仲美。兼示起之。</title>,<text>故人贈我以瓊瑤。我欲報之慙木桃。憶爾少遊翰墨塲。氣奪東方左史袍。落筆中書觀者聳。睥睨俗物誰爭豪。曩者官以諫爲名。直辭橫截岷峨高。士師三黜道不屈。澤畔遇我同吟騷。有美柳侯淸且婉。詩如謝眺賦枚臯。抗章一鳴輒見逐。世人視之若弁髦。傲骨不受流俗憐。安能下首而高尻。意氣窮途隣不孤。天敎漫浪須吾曹。興到頻成汗漫遊。揚帆直欲跨金鰲。跌宕樽前千首詩。長吟渺若奏雲璈。白雪陽春振絶響。回風大海生層濤。掀髯一笑俯滄洲。驅使雲烟歸彩毫。山翁倚醉能騎馬。吏部適意唯持螯。鼎坐三人迭倡酬。同鳴雙鳥爭翔翺。澄江練色赤城霞。詠罷爽韻炎可鏖。浮生不樂奈老何。且須秉燭停歸舠。</text>
<title>次仲美雙韻長句</title>,<text>臘後大雪增沍威。春澁早梅凝烟霏。想君湖上獨掩扉。恰似漢陰翁息機。襟期不與古人違。肯數衣馬誇輕肥。笑我仙緣老轉微。浴髮未向咸池晞。世間良友似君稀。蘭麝綴佩多芳徽。鵬方展翼不盡飛。鳳豈啄粟無嫌饑。伯玉行年已知非。我輩晩悟猶庶幾。且待春江遲日暉。聽君郢中遺音希。或棹于渚漁于磯。可飮可賦碁可圍。共辭榮祿遂初衣。微斯人也吾誰歸。秉燭前夜記依俙。詩媿珷玞聯貝璣。玄譚颺屑玉麈揮。許我東壁分餘輝。別來孤月漫窺幃。再枉傑句天葩馡。雕虫但有楊子譏。仲尼羲編三絶韋。勖君須念前修譬葑菲。</text>
<title>次酬灘翁月下觀濤短歌</title>,<text>七月濤聲廣陵來。灘叟笑倚江作罍。文章枚乘不足誇。君有傑句驪珠堆。莊篇秋水謝賦月。入窓直到深更開。獨恨淸賞未同歡。遲我命駕君應咍。中秋佳約可觴詠。爭奈病夫今退才。</text>
<title>允迪在臺山。和示仲美短行。次韻却寄。</title>,<text>眼中之人各星散。相望落落如箕斗。舊雨來人今不來。誰復繫馬門前柳。獨有灘老與臺翁。歲暮交情俱耐久。佳篇轉向晩節工。轟飮能追少日否。梧灘之渚臺山麓。除却白雲何所有。處處隨君多白雲。共對白雲傾綠酒。</text>
<title>灘翁和睡聽江聲。錯認爲雨。覺後賦得短篇。要余次韻。</title>,<text>永夏知君睡足處。高枕北窓方最妙。蝶也周也便難分。江聲雨聲元同調。我亦近學希夷翁。千日眠回谷鳥叫。不踏槐安與邯鄲。覺後香添一炷燒。有時淸夢落滄洲。篛笠携君穩把釣。</text>
<title>次灘翁題金山寺圖長句</title>,<text>金山寺形何所似。圓嶠浮空撑巨鰲。琉璃世界移西笁。有佛放光眉白毫。九點齊州萬劫塵。天又限以重溟濤。好事躋攀半帆風。李東陽詩曰。金山寺裏半帆風。 幾多品題留詩騷。絶響唯傳張處士。鐘聲樹影分兩臯。想其揮筆浪吟時。海若出沒魚龍號。屬而和者誰彷彿。世稱介甫陽明豪。君憑繪事凌古作。詩長一格風韻高。顧我駑步強策蹇。追影上駟無乃勞。若爲携君訪此境。蛙埳百年空首搔。恨無列子御風行。快登玄圃崑崙尻。卧遊須君有聲畫。君才眞如切玉刀。</text>
<title>走次灘翁江上淸風短行</title>,<text>八詠樓閣垂楊裏。三面逶迤淸漢水。主翁睡起何所迎。江上風來故人似。曾從赤壁吹不盡。更逐靑蘋起於是。灑我衣巾爽我襟。韻我床頭琴綠綺。况此朱炎爾可濯。露頂盡日憑烏几。蘭臺賦客太多事。不須强辨雄雌理。樽前亦有目寓興。擧杯靑天一輪指。百年高卧伴雙淸。應笑熱門褦襶子。</text>
