<title>對庭梅 五言絶句</title>,<text>畵梅雖盡妙。不似活梅眞。一點生生意。猶含陋巷春。</text>
<title>二月十四日。南甥妻解胎。二十二日。季婦又解胎。俱得男兒喜甚。</title>,<text>好音纔報得獅兒。庭樹又看生一枝。老病無心開口笑。忽然不覺展雙眉。</text>
<title>偶題</title>,<text>少年莫忽年老者。少年亦有年老時。老時若見少年事。他日應思今日爲。</text>
<title>訪栗里主人不遇。以一絶留謔。</title>,<text>遊筇不覺向西移。來訪仙庄空掩扉。春色似含相待意。殘紅猶在小桃枝。</text>
<title>踏春</title>,<text>長堤短麓一筇遲。正値春風芳草時。滿眼韶光收不盡。歸來惟有數聯詩。</text>
<title>李君漢老 三耉 祥日</title>,<text>此行只爲故人來。薄酒聊將奠一杯。死者豈知生者意。吾心耿耿照泉臺。</text>
<title>竹皮席</title>,<text>斑斑虎豹解新筠。林下收來作小茵。對坐淸陰仍卧穩。此翁長與此君親。</text>
<title>漁船 二首</title>,<text>漁船出沒碧波間。暮暮朝朝幾往還。看他重利輕身客。宦海風濤卽一般。渺渺茫茫不可分。狂風時起怒濤奔。世間險路無如此。子厚曾有吊賈文。</text>
<title>途中有感偶吟 時以校長赴校</title>,<text>訓迪諸生事謬悠。儒宮丈席亦堪羞。河干咏罷伐檀句。汾水皷琴終亦休。</text>
<title>送日</title>,<text>纔對朝暾又夕暉。眼前光景疾如飛。此中不覺身全老。但見平生故舊稀。</text>
<title>柬粱山倅權一甫 萬 四絶</title>,<text>憶曾相見洛城裏。兩鬢靑靑年少時。夢中顔色亦難記。我不知君君豈知。君才合置巖廊上。何事奔忙墨綬間。始信古人爲祿仕。安陽一檄亦怡顔。聞君高誼薄層雲。已把交情托夢魂。安得一塲相視笑。更憑樽酒滌塵紛。東閣官梅發幾枝。閒來正好賦新詩。陰何故事今能否。對酒看花更有誰。</text>
<title>柬東萊倅鄭道中 權 二絶</title>,<text>人道仙郞天上來。縱辭天上亦蓬萊。蓬萊靈藥能多少。救得羣生夭札灾。眼着玄花混魯魚。任敎塵積一床書。禪家說有琉璃椀。照物分明我不如。</text>
<title>老梅根榦蠧朽。尙能開花。</title>,<text>皮穿腹蠧只枯査。無復風流竹外斜。可笑春心還不死。雪中猶自放寒花。</text>
<title>寄軆演上人</title>,<text>自憐貧病老衰身。每羡閒居凈土人。香火一爐經數卷。法雲常覆鹿園春。</text>
<title>觀佛書。用其語作一絶。</title>,<text>貪水漫漫欲火環。魔王眷屬遍人寰。可憐自斷多羅木。惡果從敎滿樹間。</text>
<title>喜得目菱花</title>,<text>光沉紫石月無華。水母如今喜得蝦。不復臨文迷帝虎。拂塵披卷更摩挲。</text>
<title>草穢滿庭。使學童爬除。只留藥草檀菊數種。凈凈可悅。遂呼韻令各賦一絶。因步其韻。</title>,<text>牎前無復草盈庭。階上惟存數種靑。不是厭看生意好。怕敎荒穢亂芳馨。</text>
<title>脚病戱吟</title>,<text>扶杖難行脚自休。向人不屈膝無羞。始知木鴈俱堪喜。欣然一笑慰窮愁。</text>
<title>次府伯趙公 明鼎 韻三絶</title>,<text>黃堂無事晝簾踈。詩韻淸閒琴不如。欲爲聖朝敷德敎。時延邑子講經書。東閣秋深興不踈。最憐消渴病相如。一篇珍重千金諾。雪色華牋手自書。迂拙寒儒事事踈。任敎枯木嗒然如。忽承瓊藻生眞氣。勝讀黃庭十載書。</text>
<title>復疊前韻上府伯 幷序○八絶</title>,<text>永夜寒牎。病卧無寐。偶思杜工部和嚴中丞之詩。有曰政簡移風速。詩淸立意新。其措辭親切。出於眞情。若爲道今日事者。復疊前韻。因自傷身世坎坷。率口胡書。合得八絶。仰溷政軒。時量田量任。以儒生爲之。煥兒亦參其中。故下二絶及之。不用深文亦不踈。贒侯德政果何如。野翁皷腹閒無事。日與村童課讀書。文字因緣老覺踈。自憐童習白紛如。虗名訓長尤堪笑。却悔當年謾讀書。老來身世益迂踈。調病寬愁莫酒如。禁令偏敎貧士守。曉牕無計更澆書。交遊斷絶俗緣踈。暮境生涯淡泊如。欲草太玄門閉久。家貧無紙亦難書。迂儒手段也生踈。滿野溝塍錯繡如。到底一毫差繆處。怕他柱後按刑書。柱後。法吏所着冠。說處雖詳做處踈。人心亦不我心如。願言同事諸君子。絜矩毋忘大學書。癡兒質弱學還踈。迂拙愚蒙乃父如。庭下愧無詩禮訓。郊邊愁撿打田書。憂寒憂病更憂踈。叵耐慈天戚戚如。欲訴胷中無限意。濡毫不敢盡情書。</text>
<title>府伯復次踈字韻送之。又惠酒魚及白冠紫帽。以四絶奉謝。</title>,<text>宣城佳句耀澄江。化作明珠直萬玒。野老得之藏篋笥。神光寶氣滿寒牕。一壺紅露滴仙膏。皺面春生老氣豪。自是使君憐病渴。野人何敢賭官醪。人笑禿翁不頭。縱要頭也無。白冠紫帽忽生光。拭目隣童驚視我。周則古人皆受之。義於今日獨難辭。但慚無德當其惠。剛被傍觀識者嗤。</text>
<title>卧小軒偶吟</title>,<text>陰陽氣類各隨時。角角山間閤閤池。到處天機自然動。問渠渠亦應不知。</text>
<title>三聲優劣</title>,<text>金錯裁紈馬齕蒭。少年時節聽堪娛。老來何處偏傾耳。兒孑讀書勝管竽。</text>
<title>初二日梅花盛開</title>,<text>殘臘光陰客裡過。新年無奈舊愁何。春來消息憑誰問。花發寒梅一夜多。</text>
<title>夢銘巖崔公 公名南圖</title>,<text>昔公愛我不忘我。今我憶公常夢公。細論樽酒一塲樂。地下人間同不同。</text>
<title>聞蔣處士棄世 處士名時夏</title>,<text>林下幾年讀古書。庭前樹影任蕭疎。殘燈一夜隨風滅。誰問東都處士廬。</text>
<title>溪㙜卽事</title>,<text>泉石玲瓏似畫圖。雨餘山色益淸癯。洗心㙜上移時坐。塵慮胸中一點無。</text>
<title>巖㙜卽事</title>,<text>探興扶筇石逕危。一層看盡一層奇。還嫌境僻春猶早。不及山花爛熳時。</text>
<title>少憇道德菴有感</title>,<text>道德山高天與齊。層巖絶巘有招提。昔贒此地曾留躅。不比尋常釋子棲。</text>
<title>元日</title>,<text>倐忽年光又一過。今朝六十奈吾何。堪嗟逆旅人間路。來日無多去日多。</text>
<title>汝章訪余於玉院。一宿而歸。復次前韻。</title>,<text>樓上分明日欲低。多情山鳥向人啼。蟬聲滿耳淸如許。懷仰高風夢不迷。</text>
<title>遊靑蓮菴</title>,<text>肩輿行過小溪頭。日暖風和雪水流。探歷諸天花雨盡。靑蓮宿債喜全酬。</text>
<title>濯纓臺</title>,<text>濯纓臺古綴蒼苔。水淺沙平落葉堆。臺下淸潭無復見。世間桑海幾遷回。</text>
<title>次李聖源 憲淵 韻</title>,<text>幽壑水生棲點雪。凈如新畵活如詩。欲尋天理分明處。日出雲開鳥語時。</text>
<title>偶吟</title>,<text>一箇癡癡老病翁。不關人數有無中。只堪棄置幽閒處。古紙堆中作蠧蟲。</text>
<title>浩然亭主人李上舍安卿 如廸。不見六年。逢永陽人問其安否。則已作古人。歸窀穸矣。不覺悵然久之。因記壬戌秋。從歷路入訪。安卿見余喜甚曰曷飮食之。呼童子曰吾所飮戌酒。雖不病者。飮亦何妨。乃命酌來。親執勸飮。復曰吾輩已過六十。餘日可惜。欲與君及舜會 南君，春卿 權君 同聚一處。爲四甲之會。豈非晩年樂事。但舜會病不能遠集。欲於其近刹邀來。以做一日話如何。余曰甚善。因怱怱告別。其後連値險歲。未果踐言。而舜會先入修文之府。安鄕今又繼往。白首殘喘。獨寄斯世。不耐悲感。聊吟三絶。以寄意於冥冥中耳。</title>,<text>病亦不聞死豈知。夢中顔面只相思。逢人欲問君安否。君去靑山已久時。壬戌秋從西路回。久離懷抱暫相開。臨軒把酒慇懃勸。此酒那知永訣杯。曾說欲同四卯會。南君先沒已堪嗟。如今君又相隨去。後死孤存我奈何。</text>
<title>聞趙德觀亡逝。寄哀。德觀前府伯明澤子。相知甚厚。</title>,<text>曾將牛斗話平生。遙指天衢萬里程。才命由來亦難恃。無端奎壁晦光晶。</text>
<title>偶閱篋中。得舊尹趙公 明澤 書札數幅。書中槩憫老物涸轍之困。俯仰存沒。感題一絶。</title>,<text>嚴公沒後杜翁悲。篋裡猶存舊贈詩。華札宛然眞面對。不堪披讀淚雙垂。</text>
<title>聽村家讀書聲</title>,<text>狵卧月明門不扃。村材惟聽讀書聲。老農亦被文翁化。爭勸兒孫敎一經。</text>
<title>官送新曆。以詩謝之。</title>,<text>新年消息自何來。東閣梅花一朶開。始信陽春眞有脚。惠風吹到小溪隈。</text>
<title>値雪杜門</title>,<text>乘興欲尋戴安道。閉門還作袁邵公。不見洛陽人掃雪。卧看松竹自淸風。</text>
<title>夜坐課讀書有感</title>,<text>不遊闤闠不菑畬。虗送光陰六十餘。一盞寒燈風雪夜。白頭猶自勸人書。</text>
<title>嘲學子</title>,<text>儂是世間一棄人。百年窮餓鬢如銀。堪咍小子都無識。逐臭相從寂寞濱。</text>
<title>立春日</title>,<text>閒卧草堂眠一覺。門前綵燕又春光。小庭蕭灑無餘物。竹自靑靑梅自香。</text>
<title>春祝</title>,<text>太上年豊無疾病。其次身閒免煩惱。日與村童課讀書。時時醉卧眠芳草。</text>
<title>賣癡</title>,<text>一生癡病苦難醫。聞道歲時人賣癡。我欲賣癡癡賣我。更敎癡病入新詩。</text>
<title>題送親舊輓戱吟</title>,<text>年年馬鬣起孱顔。幾處人從送葬還。每向靑山題挽去。不知身亦近靑山。</text>
<title>聞興倫朱戚兄南翼乘化三絶</title>,<text>老去每思同老人。百年情誼更相親。酒壚邈若山河隔。花鳥那堪汶水春。故宅凄凉春寂寞。門前客馬爲誰留。淸齋閒興無人管。三百枯碁散不收。逆旅此生歸有限。忽然驚散海中漚。莫言七十人間少。七十光陰轉眄遒。</text>
<title>次金慕齋韻。奉呈府伯。李公裕身時行小學。講於明倫堂。</title>,<text>千載晦翁開後學。鑄人型範有遺編。若能於此窮硏得。可使愚蒙變作贒。正德丁丑歲。慕齋爲嶺伯時。示勸星州學徒。彝倫宇宙朱夫子。萬古楷模小學編。我悔舊迷追不及。諸生黽勉跂前賢。黃錦溪次韻。錦溪名俊良。嘉靖庚申爲星州時作。歎息斯文欲喪天。微言何幸載塵編。晴牎開卷爐薰靜。方寸常如對聖賢。</text>
<title>不動心</title>,<text>四十鄒翁不動心。我逾六十日欽欽。任敎頂上鐵輪轉。何况一時憂病侵。</text>
<title>紅桃花一枝揷壁上。數日枯萎。此下。皆在栗洞寓所。</title>,<text>爛熳紅桃錦繡枝。折來三日已枯萎。世間萬事皆如此。富貴榮華只一時。</text>
<title>次鵬路韻 時鵬路亦在寓中。作七絶以送。而詩中多苦語。故以好語排遣。</title>,<text>伯强爲鬼是何神。底事侵凌困此民。不久冥王追爾去。九泉多少訴寃人。寓居風味勝家居。適近故人山下廬。朝往暮來聯杖屨。笑談終日更論書。一庄松竹擁森羅。客去山空足睡魔。起向牕前時覔紙。戱題詩句字如鴉。客計蕭條一布囊。家庭咫尺隔參商。雖然心事無煩惱。隨處安閒興味長。寒暑推遷定不差。與時消息任經過。男子一身多旅食。此身那得繫匏瓜。寓居塵慮揔成空。桃李繁華滿眼中。獨坐兀然無一事。門前惟見麥茸茸。正値韶光爛熳餘。寓中春事在家如。靜觀萬物皆生色。何似邵翁花外車。</text>
<title>再疊</title>,<text>生死在天非鬼神。無端恇㥘彼愚民。可笑此翁同裸浴。挈身奔竄作逋人。寓客東西無定居。投筇暫托野人廬。時拈朱筆題符籙。云是天尊辟鬼書。厲氣乾坤一網羅。鴉爲靈鳥見凶魔。鴉啼應報魔消息。分付兒童莫逐鴉。無咎分明在括囊。吉凶消息細參商。人事修來天命在。休煩筮短與龜長。適來時運値乖差。春暮光陰客裡過。雷震一聲妖氛散。早歸家去種園瓜。春日遲遲輾碧空。閉門獨坐小窩中。一行兒女携筐去。報道山蔬長綠茸。長物一筇數尺餘。世間隨處是眞如。此來只紓妻兒意。不是奔忙怕鬼車。</text>
<title>三疊</title>,<text>老來不欲費精神。廢讀停吟作蠢民。僑寓也無消日事。强將詩句話來人。望山東畔是吾居。來寓望山西畔廬。恰似一庄分左右。不妨閒坐課兒書。左索編松處處羅。壁書符籙競驅魔。心安氣定吾何懼。一任墻頭噪亂鴉。一生爲業在奚囊。不作農工不作商。文字因緣猶未斷。寓中吟詠旅懷長。善惡同科無等差。雨花霜葉遞相過。看來人物自生死。天地無心如果瓜。坐看明月上靑空。雲捲白生虗室中。一氣絪縕無阻閼。雨餘春草自抽茸。客粮今日幾升餘。絶粒餐霞我不如。枉費工夫雕篆業。未曾營得紫河車。</text>
<title>得鵬路詩。喜唱酬得人。以二絶寓眷眷意。</title>,<text>山谷贈詩謝師厚。累篇相和托深知。人間此樂亦稀有。千載風流欣得之。君才倘得如太史。吾文不足比景初。詩歌相樂也相似。學業何論高下歟。黃山谷再娶謝師厚女。師厚名景初。山谷曾爲大史。</text>
<title>晏起</title>,<text>扶杖去尋水北村。蹣跚老脚苦蹲蹲。歸來困卧還甘睡。忘却扶桑丈五暾。</text>
<title>午睡</title>,<text>慵來喫罷古人糟。渴睡初酣午枕高。山鳥一聲驚喚起。滿簷踈雨竹蕭騷。</text>
<title>敬次御製大報壇詩韻</title>,<text>皇壇高處香烟篆。咸仰吾王事大心。况又時當長養節。苑中紅紫揔天心。</text>
<title>次孫友韻</title>,<text>谷口藏名有子眞。隱居風味愛淸眞。浣花溪上草堂客。自笑老來狂態眞。雕蟲小技愧儒眞。拙態難藏老見眞。多感故人勤厚意。每將毳飯話玄眞。</text>
<title>留別栗洞同遊諸友 幷序。時撤寓歸家。五月初二日也。</title>,<text>吾與栗里翁。交契甚厚。抵老逾篤。今年春。我以材患。來寓翁近地。翁喜曰就我遊。時朱君叔通亦以寓客。來在同閈。日相就爲樂。歷數朔如一日。計吾與翁五十年遊從。未有如今日之穩且久者也。誠暮境不易事。玆非幸歟。但吾年多翁四歲。而較其筋力。自度不能久於世。他日翁得期頤設賀筵。遍請賓客。叔通亦隨鄕耆老在座。而不見此老禿翁。諸君能無感舊懷耶。能不念今日事否。漫草五絶。以寓不忘之意。談今說古更論詩。餘外紛紛揔不知。厲鬼逐人非惡事。盍簪親友得佳期。六十君年亦已多。吾添四歲復如何。桑楡光景眞堪惜。喜得團欒數月過。禿翁相對兩忘形。更有阿連眼共靑。他日應思今日事。莫辭携酒醉還醒。又有故人贒第在。百年情誼更相親。虞翻不恨無知己。免使靑蠅作吊賓。少年同樂與忘年。歎我殘輝迫暮天。君到老時無此老。那時正憶舊狂顚。</text>
