<title>次沈楚賢</title>,<text>養拙山深處。仍爲無事人。阿誰還錯認。謂我葆天眞。</text>
<title>李友 慶久 有來訪之約。而雨不克至。</title>,<text>柴門晝掩少逢迎。細雨浮雲陰復明。梅蘂欲舒山下塢。柳枝偏舞水邊城。淸樽延佇誰同酌。芳躅虛徐不自輕。朝日快晴溪路淨。試乘春興作閒行。深感吾君倒屣迎。一罇相對兩心明。南鄕已老傷時誼。北闕誰徵處士城。危道共嘆浮世薄。交情還覺泰山輕。狂歌數曲來歸路。細雨長洲信馬行。次韻</text>
<title>卽事</title>,<text>飛鳳山高近列辰。平臨珠崒俯城闉。谷鶯乍出聲猶澁。樹葉初齊色未匀。勝日攀躋隨老伴。良辰光景屬閒人。深杯衮衮饒風味。分付羲暉暫駐輪。</text>
<title>寄李正字 慶一</title>,<text>萬事無堪只任眞。席門窮巷少來賓。誰知擧擧靑雲士。肯顧昏昏白髮人。傾盖已欣心若舊。聯床更覺義相親。一宵淸話何當繼。回首荷堂魂夢頻。浮世滔滔眩僞眞。惟君務實不爲賓。日邊軒冕無歸夢。物外煙霞作主人。千里神交期莫逆。一宵情話轉相親。他時會面誠難再。剪燭華堂敢憚頻。次韻</text>
<title>呈南監司 銑</title>,<text>幾度桐鄕泣舊氓。十年華節到山城。橋頭竹馬兒童候。棠下壺漿父老迎。鵲錦生花方面重。龍㫌增彩紀綱行。先將雨露霑枯槁。處處郊原時物生。又千載煙霄憶我侯。我侯歸後邈風流。塵凝拄笏絃歌寂。草沒奇亭杖屨休。憑寄夢魂尋往事。幸逢㫌節更來遊。氷軺且莫怱怱發。昔日溪山次第搜。</text>
<title>聞兪萬里還南伯書舘。余伻書請暫留叙別。而行忙徑去。故聊此戱之。</title>,<text>珠履華簪稱上客。春風意氣肯低垂。貪趨玉節催高駕。不爲桃溪住少時。王粲吟詩何足數。馮驩彈鋏更堪嗤。古來知己誠難遇。似子登龍豈易期。</text>
<title>聖林寺。逢南公允詠懷。</title>,<text>倒卧塵床懸馬鞍。男兒豪興已闌殘。病來每㤼深杯酒。靜裏時拋舊釣竿。且養餘年蒲柳質。不辭衰鬢雪霜寒。逢君說盡平生事。交道渾忘老少間。又浪遊湖海解歸鞍。偶入琳宮訪懶殘。夾路淸陰松萬盖。拂窓疎影竹千竿。論詩說法心無累。裸體閒眠夏亦寒。莫向家山勞遠夢。欲將身世老菴間。</text>
<title>寄示公允</title>,<text>藏蹤耽靜厭囂塵。騁辯羞稱緩頰秦。千卷芸篇忘日月。數間茆屋過冬春。苔生謝老尋山屐。雪滿淵明漉酒巾。古貌古心談古道。百年江海一閒人。又墐戶深冬類蟄蟲。雪舟無興棹江風。高標杳杳遙天隔。良會悠悠幾日同。點檢淸篇皆活虎。緘封情素又歸鴻。別來多少相思處。無限湖山朗月中。</text>
<title>寄趙君實</title>,<text>剩恨雲山萬疊廻。憶君爭得鴈書來。聖林寺裏誰携手。新浪亭前獨把杯。靑眼何時陪笑語。白頭當暑苦低摧。秋風病骨能蘓醒。一棹滄波任溯洄。</text>
<title>和金鳳谷謝梳之什</title>,<text>霜筠細櫛利仙爪。一片輕凉靜裏投。和月試將梳短髮。驅風當得快渾頭。昏花去眼精華動。紅暈生顔潤色浮。從此無違千下法。白間應有黑絲抽。</text>
<title>次全州李正字 代僧作</title>,<text>早歲登龍卧別庄。雲林曾聽姓名香。幽蹤偶出山門外。淸範欣逢野水傍。政爾塵埃能自表。故應儒佛不相妨。新詩十襲靑藤篋。恐有仙官下取將。</text>
<title>鄕老以孝行蒙棹楔之典</title>,<text>恩命新㫌孝行門。鄕閭顒望久慇懃。從來懿德人無間。坐使仁聲世共聞。褒美豈徒榮爵位。觀瞻何幸忝賓員。永言誰不高山仰。行路爭看揭板文。</text>
<title>秋思</title>,<text>病骨羸然鬚帶霜。貧居寂寞一書床。淸飈乍起心神醒。白粲新炊秔稻香。分外此身逢快活。人間隨處有炎凉。東林會待中秋約。笑擲筇枝步石岡。</text>
<title>辛卯初度感懷</title>,<text>今日當年初度時。白頭曾是弄弧兒。零丁永痛三春謝。衰老空添寸草悲。殘喘豈知猶此世。餘齡敢恨少前期。臨筵不覺霑襟血。强爲親賓進一巵。</text>
<title>白馬江船遊作</title>,<text>潮頭催送木蘭舟。暮過滄灘十里洲。千古江山餘舊態。九秋風月摠新愁。落花巖畔歌聲咽。淸隱堂前夜色幽。不解當年多少恨。水烟深處有沙鷗。</text>
<title>寓居求道書齋</title>,<text>飄飄西北與南東。有似鶢鶋避海風。十夜江湖遊夢裏。三旬山郭度愁中。埜僧乞句詩猶澁。鄰友携杯道敢通。落葉空階歸思促。卧看殘日照窓紅。</text>
<title>金暉吉時還湖北。更向嶺南。</title>,<text>歲暮羈懷送夕雲。可堪南北與君分。崎嶇嶺路將何度。珍重音書未易聞。白首殘年悲遠別。靑眸幾日更同羣。臨行愧乏仁言贈。瞻望徒然感淚紛。</text>
<title>偶吟</title>,<text>神昏眼暗耳全聾。老倒林廬養拙憃。門外蓬蒿回俗駕。夢中雲水躡仙蹤。春貧已分旬三食。秋穫纔營畒一鍾。依舊心情消未盡。每逢風月便歡悰。</text>
<title>懷錦城詩友</title>,<text>白頭靑眼杳前期。千里相思信使稀。蘆嶺雲霞迷遠望。沙湖煙月憶淸輝。秋風淅淅驚塵意。商思悽悽詠夕暉。歷歷江南曾識路。夢魂時復到郊扉。</text>
<title>寄呈澤堂李判書 植</title>,<text>少而迂拙晩尤癡。百事無堪與懶宜。白首常安貧賤分。靑冥猥荷雋贒知。倒來不是求持國。通問何曾待器之。感戢深恩還自愧。漆雕猶未信吾斯。</text>
<title>擬康節首尾吟</title>,<text>莫言郊老老耽詩。詩是吾家累世資。風月佳時添興緖。溪山勝處會心期。十分幽寂無人占。一味淸眞獨我知。天籟自鳴羣物外。莫言郊老老耽詩。</text>
<title>歲晏懷李友</title>,<text>好在天涯李慶久。別來愁鬢幾多絲。窮通有命吾誰恨。淹速隨時子可爲。渺渺音容雖間阻。依依心抱苦相思。暮冬風雪千山外。何處關門獨詠詩。</text>
<title>憶姜京叔 鎬</title>,<text>高山鐵嶺關門北。底事名郞此宦遊。一葉風波任飄泊。千程驥足尙夷猶。邊鴻杳杳無來札。秋夢依依動別愁。想得胡天三丈雪。忍寒猶着弊貂裘。</text>
<title>次從弟就之雪帖</title>,<text>六英如絮暗西東。隨處人寰景不同。愁凝白屋淸貧倍。喜溢豪家氣象豐。梅花昨夜春心漏。吟客終朝酒盞空。惠連詩思生鄒律。起我寒眠寂寞中。</text>
<title>江月亭。期錦溪梁上舍誠之 九思 同會遊賞。而跫音竟寂。敗興殊甚。</title>,<text>强扶衰病作閒行。水國初寒晩景淸。千里故人違命駕。一江新月自多情。賞心寥落罇空滿。吟思悽悲句未成。良會睽携還有數。不須惆悵望東城。</text>
<title>次陽山南上舍叔</title>,<text>衰晩昏昏昧後前。一生流浪似虛船。已知世事徒爲爾。可歎人生大抵然。嗜酒耽詩非實地。困眠飢飯卽全天。逢君欲吐胷中氣。一夜塵床恨未連。</text>
<title>江亭。留寄公允。</title>,<text>鷰鴻飛處奈相違。江渭迢迢夢亦稀。林寺燈前思軟語。湖亭月下發遐唏。我生欣得蓬麻益。此地何當玉樹依。不是山陰淸興盡。可堪回棹獨言歸。</text>
<title>贈扶風宰閔君 光熽</title>,<text>厭直承明佩左銅。絃歌來化古扶風。瀛洲仙近鶴笙響。梅閣詩淸塵意空。坐使仁聲彌海甸。更分情味及山翁。尋眞儻得相招手。醉趁雙鳧杳靄中。</text>
<title>懷趙君實</title>,<text>好在長安趙倚樓。紛華叢裏獨淸修。簞瓢有味貧猶樂。窮達關時老不憂。千里相思仍白髮。百年知己孰靑眸。秋風病葉蕭蕭處。好在長安趙倚樓。</text>
<title>贐金暉吉昆季海西之行</title>,<text>壎箎酬唱韻淸深。驚起窮山老倒心。自昔家聲何藉藉。卽今蹤迹混林林。論才不合長貧賤。吹律誰當變沍陰。千里相逢還送別。可堪回首短長吟。</text>
<title>江鄕懷趙亨伯</title>,<text>令弟相逢問令兄。病來風韻减平生。感我中年炊臼夢。憐君垂老叩盆情。遼鶴獨歸人盡換。水鄕寥落月空明。何當倚玉湖亭上。酬唱新詩酒盞爭。</text>
<title>酬公允述懷之什</title>,<text>萬緣於世更何思。疎淡生涯老去時。嗟我心情同槁木。羡君文艶似靈芝。春殘湖海違相訪。興盡杯觴懶賦詩。魂夢不知雲樹隔。也隨風蝶赴佳期。</text>
<title>寄趙亨伯</title>,<text>逸韻淸標想未衰。把杯吟句更能爲。湖鄕耆老人誰在。浪里風光歲自移。舊會茫茫靑眼處。新情落落白頭時。何當共酌盈罇酒。重與江山作好詩。</text>
<title>柳陽城汝挺 之豪 挽</title>,<text>碧落天罇晦。重泉閉壯夫。北堂萱草老。南嶽鳳雛孤。永隔新琴瑟。空餘舊酒壚。平生歡宴地。封樹已榛蕪。</text>
<title>朴部將 籕 大夫人挽</title>,<text>住近芳鄰久。深知母道宜。艱難成一子。勤儉致多貲。惆悵萱花落。荒凉宰木悲。尊年兼懿則。鄕黨孰如斯。</text>
<title>或人 失名 挽</title>,<text>少者而長逝。哀辭豈忍吟。追遊雖未數。契分則相深。短筭眞堪惜。高天不可諶。殘生曾瘞夭。爲爾更沾襟。</text>
<title>成友 失名 挽</title>,<text>我友今何在。鄕鄰失所尊。傳家欣有子。承祀歎無孫。舊跡同流水。生涯逐去雲。傷心異域土。秋月照初墳。</text>
<title>鄰人 失名 挽</title>,<text>美酒盈深巷。天倫樂更全。爲言俱白首。忽復間黃泉。栗里空遺蹟。陽坡返舊阡。哀哀七子稚。淚滿鳲鳩篇。</text>
<title>成而獻輓</title>,<text>病入東山裏。誰知死別離。几筵無子奠。鞍馬與人騎。後事那堪說。平生不忍思。淸秋一掬淚。灑盡菊花時。</text>
<title>宗弟 百源 輓</title>,<text>早歲零丁劇。中年寂寞加。一身玄晏病。四壁馬卿家。筭催憐無命。生休痛有涯。哀哀嗣子穉。行路亦咨嗟。</text>
<title>鞠進士夫人挽</title>,<text>生自冠紳閥。歸于德先門。諧和友琴瑟。明信薦蘋蘩。年筭纔中壽。傳家盛後昆。所天嗟老病。白首哭秋原。</text>
<title>金公 鏡 挽</title>,<text>百歲纔强半。胡爲有此行。田園已蕪沒。墻屋任頹傾。後事憑孀婦。孤兒託老兄。鄕閭投分久。回首更沾纓。</text>
<title>追哀兪萬里</title>,<text>空谷幽蘭萎。吟魂上玉樓。平生詩幾什。風韻世無儔。白首憐知己。靑眸憶舊遊。桃溪春欲暮。淸淚灑寒流。</text>
<title>雲梯林僉樞挽</title>,<text>純孝君家世。相承祖有孫。平生無㤪忤。行己儘和溫。爵秩徒優老。㫌褒未到門。餘芳終不泯。善善付公言。</text>
<title>任君 泰元 挽</title>,<text>一病緣哀毁。三年只此心。方藥終無驗。精靈遽已沉。舊好那堪說。餘生愴不禁。白首盈襟淚。憑風灑北林。</text>
<title>尹金相繼淪喪。又聞閔殿中仲瞻之訃。</title>,<text>二友淪亡後。秋風又哭君。交親相顧盡。世事更堪云。江月悲無主。汀鴻叫斷羣。扶蘓舊遊處。誰與叙慇懃。</text>
<title>完山金參奉挽</title>,<text>貌古言忠厚。官卑行義純。白頭兄弟樂。靑眼友朋親。夢罷三千界。年虧八十春。琴書宛如昨。嗣子類公眞。</text>
<title>柳就之輓</title>,<text>久病違相問。聞悲未赴哀。舊情無處所。遺恨杳徘徊。已矣逢迎隔。茫然笑語陪。黃山若箇畔。長望淚盈腮。</text>
<title>李上舍 基肅 挽</title>,<text>蓮榜魁多士。僑居久閉門。晩開中否運。遽哭永歸魂。玄宅遙先隴。靑氊付外孫。寂寥空舊迹。感淚灑荒原。</text>
<title>任退之 進 挽</title>,<text>諸老凋零後。如何又送公。八旬非不壽。萬事已成空。白首獨存巋。靑眸何處逢。荒凉鍊溪月。依舊影寒淙。</text>
<title>族姪仲蕃挽</title>,<text>可惜吾宗秀。門庭稱家兒。長才當有遂。短筭遽如斯。久客思歸夢。先阡返宅時。無涯天喪慟。寧盡此哀辭。</text>
<title>黃君 以厚 輓</title>,<text>世分由來重。知君自丱時。靑眸雖間阻。白首共相思。已矣生涯盡。茫然復會期。幽明無限恨。衰疾負長辭。</text>
<title>金君 聲咸 挽</title>,<text>病裏承君訪。多君老未衰。閒酬風月債。共結水雲期。幽討依如昨。存亡遽至斯。傷心玉溪洞。花酒暮春巵。</text>
<title>宋上舍 錫命 挽</title>,<text>晩年司馬榜。才器竟何施。家業靑氊久。朋酒白首期。云胡无妄疾。遽爾死生離。寂寞空樑月。淚盈薤露詞。</text>
<title>吳子美挽 長篇</title>,<text>昔君病在床。我往看君病。君病不大段。胡爲負人境。當時飮泣語。丁寧猶在耳。託契三十載。交道忘年記。論文翠巘寺。對酒淸溪沚。幽明遽爾隔。吾與誰遊樂。北堂有鶴髮。愛子纔三尺。天乎此何人。天意老冥漠。凄凄遠日促。丹㫌映寒雪。已矣勿復道。一哭靑山夕。</text>
<title>趙金浦 希軾 挽</title>,<text>壽富多男子。從來古所稀。我丈兼有之。鄕黨增光輝。早年樹佳政。去思今依依。白首卧江湖。漁樵爲生涯。謂言長春壽。如何而至斯。靑山當遠日。門掩落花時。舊客爲酸辛。最蒙情親知。揮灑一掬淚。幽明無限悲。弔鶴向南飛。江國愁雲垂。</text>
<title>哭沈友淸之 沆</title>,<text>小少投膠漆。交情老益彌。頻逢常共喜。暫隔則相思。永擬黃河斷。深憑白首期。誰知旬日別。遽作死生離。遺語那堪聽。當杯不盡悲。風神森若在。眉宇杳何之。已矣官榮闕。嗟哉世業隳。共誰論素志。無復似當時。漠漠乾坤老。悠悠歲月移。佳城當遠日。靈櫬落荒陲。痛結綿芻展。哀連薤露詞。盈襟一掬淚。更灑柳溪湄。</text>
<title>姜復泉挽</title>,<text>痛哭天地間。天地老冥漠。憤憤無皁白。奪我仁贒速。其意果難測。慟惜吾最獨。依歸三十載。懿行曾佩服。歎公早聞道。所好非俗學。灑落心不染。特立氣靡折。杜門善一身。卷懷藏於密。守約語精要。主一功切實。幽蘭香自馥。玉蘊山輝發。暫隨出峀雲。三辭言責職。非無格君志。世已讐忠直。放逐豈違性。處窮還有樂。山林日月長。煙霞老齒髮。孜孜日有富。所就非一節。通介肯隨時。內葆天然質。與人無畛域。亦不妄交接。以我從遊久。時時加警策。博雜雖未祛。豈少蓬麻益。永託道義契。堅貞指松栢。云胡吾道非。意長人代促。誰知經歲離。因成生死別。病未執手訣。斂不撫尸哭。追呼竟何及。此恨千古極。矯矯鸞鳳姿。明明秋月色。世豈有此人。無由見彷彿。竹易凝塵滿。瑤琴餘響絶。九原不可作。微言誰復續。人家寶筆跡。其能如好德。靑霞鬱已沒。紫洞愁雲結。一杯送將歸。永慟幽明隔。春風丹㫌遠。歸卽終天宅。臨渡更失聲。淚滿荊江曲。</text>
<title>脩竹趙承旨 邦直 挽</title>,<text>天地窮吾道。時危失此贒。降生夫豈偶。奪去一何偏。醞藉名公藪。聲華多士先。模楷行已矣。溫稚尙依然。瑞日雲開鳳。祥風玉有煙。九重常眷注。十載起聯翩。臺閣通丹地。簪裾近紫躔。恩紆五馬貴。親養一城專。撫字仁聲洽。煩苛政令蠲。解龜何待滿。拂袖謝拘攣。歸路惟雙屨。行裝欠一錢。江湖安放浪。魏闕益誠虔。胡虜忽猖獗。神京還棄損。孤城危玉輅。修道阻戈鋋。烱烱葵忱切。沉沉疾病纏。憂時思尙寐。齎志卽長眠。永負門閭望。終無定省緣。靑氊遺令子。玄宅倚先阡。仁愛人皆惜。淸眞我最憐。微言曾佩服。華舘早周旋。剪拂增光價。揄揚倍償延。依歸存晩計。報答在誰邊。牢落將安放。餘生亦苟全。時爲步兵哭。已斷伯牙絃。亂後江山在。人亡歲月遷。何堪問遺事。誰與叙當年。古匣蛟龍動。空亭水月娟。凄凉餘物色。寂寞閉重泉。病隔綿芻展。哀傳薤露篇。憑將一掬淚。揮灑白江邊。丁丑春。公以全州大尹。棄官西歸。余往拜於參禮。則行李蕭然。足着芒鞋。故詩中及之。</text>
<title>從祖禮山公挽</title>,<text>老星昔未晦。吾宗生耆耉。有德兼有爵。康寧仍壽考。蔚蒼松栢姿。森然禀秀骨。早年已自立。學優陳力列。無華貴悃愊。行峻慄潔白。柏臺再乘聰。桐鄕多去思。田園享素封。晩節饒生涯。落拓昏冥逃。負抱世莫識。兩手杯酒用。餘事不掛目。得客輒投轄。沉飮送日月。時辟子房糓。已厭何侯肉。以余勝公榮。日置罇俎側。每醉說平生。衮衮彌激烈。白首映紅暈。春風吹煖律。形神老而壯。要自得酒力。號公酒仙翁。祝公雞窠年。庶幾無疾病。如何隨逝川。風流杳何許。往事風中煙。凄凉花樹會。寂寞鄕飮禮。誰分義庄粟。汝南風陵替。里巷掩無光。親賓痛稠疊。餘生最孤露。依依竟何託。賴有賢子孫。家聲繼敦睦。所嗟官位卑。雲路終堙滯。例蒙優老秩。何曾分揭厲。不做知必做。歸來耀門閥。佳城遠日促。丹㫌霜曉發。一杯酒不盡。非復平生日。呑聲勿復道。幽明已永隔。獨立向寥廓。蒼茫迷所適。憑將滿襟血。更灑蒼山麓。</text>
<title>黃上舍時彥 名世 挽</title>,<text>死生猶晝夜。壽終乃其理。如公無可憾。世間纔一二。高年躋八袠。子孫幾五十。何必富與貴。然後方稱福。中年司馬科。晩節藏蹤跡。心正筆亦正。身老行峻潔。知公卅載餘。幾多高山仰。回首龍巖遊。至今猶俍俍。睽陪歲月久。隔山勞夢想。憂患早衰老。每羡公康莊。庶幾無疾恙。遽爾聞訃章。耆舊失斯人。那堪增永惜。顧惟公所安。呑聲强慰豁。公歸日旣吉。病未相執紼。悵望題此辭。公乎鑑余臆。</text>
<title>藍洞從叔哀辭</title>,<text>人事不可期。天意亦難測。公年不至耄。公病初未劇。如何奄一去。影響雲變滅。棄此歡宴地。歸卽重玄宅。奠觴公不御。哭辭公不識。脩夜無時陽。永作終天訣。白首病獨存。牢落將何托。從今藍洞畔。誰共看花竹。忍見栗亭下。蒼苔滿行迹。已矣人間世。淚盡情不極。獨立更長慟。洞壑松聲咽。</text>
<title>沈拙齋挽</title>,<text>碧落文星墜。丹霄彩鳳藏。生來初豈偶。奪去更何忙。早悟誠非福。長途或自妨。羽儀先快覩。精爽已沉光。短筭人皆惜。無兒命可傷。靑霞埋鬱鬱。素業墮茫茫。舊好何由展。餘芳恐不揚。通家同孔李。托契異陳張。孰謂斯人夭。從知吾道亡。雅音猶在耳。粹表竟難忘。寂寞詩書囿。蕭條翰墨塲。阿誰同臭味。不復奏峨洋。浮世身牢落。高天意莽蒼。拂塵尋玉札。掩袂拾蘭章。洛北孀妻病。江南故宅荒。人心有今昔。時序改炎凉。豈比常情痛。偏令老淚滂。呑聲迷哭處。回首白雲長。</text>
<title>果川從叔哀辭</title>,<text>叔姪殊行列。心親若弟兄。少來交得意。老去轉輸誠。歎我先衰謝。多公享富榮。强康宜壽考。疾祟遽纏縈。孰謂丹頭服。長休鬼手爭。年齡雖免促。七十未全盈。豈獨親朋慟。還敎遠邇驚。烏啼舊臺栢。雨泣二城氓。白首誰知己。靑眸最有情。砌花春自落。樑月夜空明。已矣追遊處。茫然喜笑迎。門闌頻悵望。涕淚每交橫。祖道靈輀戒。先阡宅兆營。攀號惟此夕。重見卜他生。舊事嗟何說。哀詞不忍成。公乎知我臆。泉下亦沾纓。</text>
<title>宋上舍化之挽</title>,<text>與君相別久。鬒變成華髮。蒼茫湖海濱。幾多遙相憶。養疴資養性。靜壽幾八袠。誰知在世別。遽作幽明隔。知應喪明痛。入骨就淪沒。聞道小曾孫。薾然繼衰絰。想君存沒懷。使我神慘怛。所賴兩賢子。妙年才傑立。區區故人心。以此聊慰豁。衰病卧窮山。無由瀉一哭。和淚寫哀辭。辭終意不絶。丹旐向何之。寂寞寒溪月。</text>
<title>挽林生桂鸞</title>,<text>昔君失長兒。我未知君悲。及我哭季子。惟君知我悲。兩家情一般。相對論深悲。君今又長逝。誰將知吾悲。豈徒哭君爲。亦自悲吾悲。淸淚落奠觴。君其知此悲。邱原無起日。此別悲莫悲。撫孤吾所願。永爲泉下悲。君歸逢吾季。道我終天悲。</text>
<title>金上舍 涵 挽</title>,<text>生公才者天。屈公才者誰。生之初不偶。屈之復何爲。違天責有歸。於公何病焉。所幸靜者壽。謂至雞窠年。運氣亦有限。壽命理難恃。雄文與健筆。不朽猶在此。進士寫其㫌。此痛那忍說。銘公墓中石。執公喪車紼。何足報公知。秪自增永惜。嗚呼難重陳。遲回更慟哭。</text>
<title>尹上舍 失名 挽</title>,<text>去年哭令兄。傷慟恒在己。如何歲再朞。上舍又不起。恂恂古人風。矯矯豪士氣。卷懷何處去。使我增感慨。交義自上世。孝行尤所仰。年事雖有間。心親無貌敬。喜公老愈健。風神猶少壯。誰知未百年。遽爾乘化逝。孤兒誠孝切。壽命竟難繼。於公縱無憾。故情能不慟。佳城遠日促。一哭來相送。門前柳臺水。曲曲聲幽咽。已矣更何言。灑涕靑山夕。</text>
<title>咸羅宗老輓</title>,<text>有美吾宗老。恂恂饒古風。晦跡鄕閭間。優遊田野中。半生歎無嗣。晩來多子孫。無憂復無疾。高年躋八旬。將期壽無疆。如何生有涯。杜谷先塋麓。全歸葬於斯。子子與孫孫。永護南陽阡。嘆我衰病久。執紼無由緣。西望更長吁。和淚寫哀篇。</text>
<title>或人 失名 挽</title>,<text>舊遊歲寥落。幾度呑聲悲。斯人更云沒。此痛尤可涯。人間若夢寐。八十眞暫時。平生醉吟處。寂寞寒溪湄。一去杳無期。夜臺陰風吹。二男病負土。哀哀筋力羸。傷哉貧不相。幽明情義虧。哭奠祖道酒。詩鬼知不知。落日雲梯路。回首行遲遲。</text>
<title>尹寧海令公挽</title>,<text>大老生斯世。人稱地上仙。有文兼有德。高位更高年。天下三尊達。人間五福全。淸閒千日醉。陶冶幾詩篇。永擬陪罇俎。何曾離宴筵。云胡隨逝水。忽復間重泉。世亂生涯盡。人亡歲序遷。凄凉餘舊客。慘憺向新阡。未忍思平昔。將誰述後前。盈襟一掬淚。灑盡暮江邊。</text>
<title>尹寧海令公挽</title>,<text>二百人中第一名。小來公望許公卿。年餘八袠鄕閭敬。身歷三朝德位榮。天落玉棺辭濁世。地要金骨啓佳城。善流報施當如此。更覺浮生浪死生。舊學端宜王者師。新恩優老竟崇資。江鄕洛社盈樽酒。煙月風塵幾首詩。德卲年高人所仰。死安生順孰如斯。典型尙爾班班在。坐待賢郞拭淚絲。</text>
<title>金參奉 失名 輓</title>,<text>弔鶴孤飛海日斜。一聲哀輓起誰家。惆悵塵埃百年事。春風寂寞舊堂花。</text>
<title>哀嘉林趙僉使 求仁</title>,<text>壯士驚魂鬱不沉。錦江津北曉雲深。深寃未雪天無語。誰向安陵削礪尋。</text>
<title>哀嘉林趙僉使</title>,<text>負譽矜前鎭北風。公卿歷詆息夫躬。哀魂汚血歸何處。錦水無情日夜東。</text>
<title>林上舍 瓘 挽</title>,<text>去年君惜古琴燒。今也吾嗟人共亡。一曲峨洋誰更奏。鍊溪煙月獨蒼蒼。</text>
<title>哀再從弟以和</title>,<text>命耶非命尙何言。淚灑春山送斷魂。無限世人皆有死。似君從古抱深寃。</text>
<title>挽任生 大老</title>,<text>蘭摧玉折謝芳年。慟爾長才閉九泉。萬疊荒山雲霧裏。不知何處是新阡。</text>
<title>任退之大夫人挽</title>,<text>曾拜儒先床下塵。蒹葭依玉謝庭春。久知令德宜家室。慣聽仁聲洽里鄰。八十年齡躋上壽。三千車乘送靈輴。母儀女憲俱無愧。留得徽音與後人。</text>
<title>挽或人 失名</title>,<text>年少如何遽至斯。彼蒼冥默意難知。庭前無復烏雛戱。堂上空餘白髮悲。琴瑟舊音長寂寞。蕙蘭新茁未葳蕤。遺蹤滿目增惆悵。說向行人淚亦垂。</text>
<title>哀李昌平仲深</title>,<text>風生談論氣凌霄。湖海曾看拔俗標。魚躍龍門遭點額。鸞棲枳棘隔聞韶。滿城花月絃歌遍。一夜秋霜玉樹凋。漢北天南迷哭處。滄洲添淚暮江潮。</text>
<title>鄰老挽</title>,<text>七十之齡嗟未滿。棄捐塵世卽松阡。醇眞風味傳諸子。冷落生涯過暮年。鄕飮追遊如夢寐。花篇酬唱憶團圓。丹㫌去去無歸日。淚灑攀躋洞裏煙。</text>
<title>李上舍 德顯 挽</title>,<text>識君曾自十年前。末路還欣有古贒。亂後追歡頻捧袂。老來罇酒幾同筵。仁人竟未膺遐壽。良友如何逐逝川。臨送可堪偏下淚。憑風添灑錦江煙。</text>
<title>輓李時白</title>,<text>京山門閥舊繁昌。豈意雲仍未自强。栗里投依悲世業。壽村窮獨類他鄕。生前寒餓何堪說。身後遺孤更可傷。聞道荒阡當遠日。不禁衰淚滿哀章。</text>
<title>南處士 鶴松 挽</title>,<text>白首窮經友古人。溫溫風味可書紳。孝親終始存誠敬。樂道平生忘貧賊。行義頻登鄕郡薦。徵招不到𤱶畒身。年齊大聖非無壽。更惜沉理志未伸。</text>
<title>哭表弟金相之</title>,<text>哭君何忍寫哀辭。欲說當年淚已滋。四壁長卿貧寂寞。一生玄晏病支離。誰知塘草相思夢。竟作泉臺永隔悲。白首老兄猶此世。哭君何忍寫哀辭。</text>
<title>季父竹牖先生哀辭</title>,<text>先人連氣我尊行。同長同衰若弟兄。文苑少時嘗企景。詩壇晩歲幾追賡。年高每賀神猶爽。運去誰知病匪輕。竹牖開陽更無日。忍看殘帙暗塵生。</text>
<title>哀沈司諫信叔</title>,<text>玉操氷襟耿絶塵。居今猶幸有斯人。經𧗱深期補衮職。忠言不憚批龍鱗。靑史流傳名獨壽。明時沉滯道長堙。雨暗雲昏迷嶺嶠。哭君無路問蒼旻。</text>
<title>朱鴈宋公 覃祚 挽</title>,<text>白首田園享素封。休休宛似古人風。江山勝處身無事。花月佳時酒不空。剩喜高年幾大耋。可嗟沉病竟長終。朱陳契分從來久。欲寫哀辭淚眼濛。</text>
<title>金僉樞 失名 挽</title>,<text>幽居靜寂占山川。釣月耕雲樂事全。齒德遙天明極老。身閒平地作神仙。詩書述業諸孫秀。孝友承家兩胤賢。生順死安誰似子。病夫無用更潛然。</text>
<title>柳在中 瓚 挽</title>,<text>陽坡諸老摠荒墳。衰葉秋風又送君。少日追遊雖間阻。暮年情好更慇懃。八旬未滿塵中夢。萬事蒼凉隴上雲。一曲哀詞替執紼。不堪雙涕落紛紛。</text>
<title>嘉林趙僉樞挽</title>,<text>湖鄕耆舊幷凋零。齒鬱兼尊獨我兄。運行有限生涯盡。子姓盈堂福履成。江山歷歷渾依古。人事茫茫秪愴情。白頭從此過從處。無復罇前兩眼明。</text>
<title>鳳谷金陽城挽</title>,<text>劬書耽道古心傳。歲晩山林學力專。薰腴滿室摳趨盛。泰宇長春靜壽延。情親豈但朱陳好。景仰端由行義全。白頭今日長辭處。淚濕新阡萬壑煙。</text>
<title>哀鄕友</title>,<text>我後公年六七歲。我已鬚白公玄髮。蒲柳先衰理固然。每羡鬱蒼松栢質。暮年强壯有如此。謂君壽考過八袠。豈意先我遽至斯。天意茫茫果難測。好學如今誰復是。可憐至死猶誦讀。惜無一名寫銘㫌。平生辭賦俱寂寞。病夫於世無知音。酒席詞塲竟疎濶。酷見人間膝下痛。雖未卽死心已折。此生能復久此世。時有早晩同就沒。君歸得葬父母側。勝我瘞夭他山麓。一杯酹君君不飮。萬事已矣那忍說。奠罷彷徨日欲暮。獨立荒原更痛哭。</text>
