<title>日 乙酉</title>,<text>太陽全體明。蓋有君人象。品彙莫逃形。恠奇森萬狀。</text>
<title>芙蓉亭。賞花釣魚。疊前韻。幷小序</title>,<text>內苑賞花。歲以爲課。而是歲之會。與筵者特多焉。識慶年而賁休象也。予御暎花堂。召諸臣入。兪左揆彥鎬，蔡右揆濟恭 並原任提學，金判樞憙，李判樞秉模 並原任直提學，沈煥之 提學，徐有防 檢校直提學，徐龍輔，鄭大容 並原任直提學，李晩秀 檢校直閣，金勉柱，尹行恁 並原任直閣，南公轍 檢校直閣，徐有榘 檢校待敎。閣臣也。徐有隣 有防兄弘文提學， 沈頤之 煥之再從弟守禦使，李時秀 故提學福源子戶曹判書，蔡弘遠 濟恭子承旨，李儒慶 濟恭甥姪前承旨，鄭尙愚 原任提學民始姪應敎，徐有聞 原任直提學鼎修從姪前校理，金近淳 原任直閣祖淳族弟前校理，徐俊輔 有防子副司正，李田秀 福源姪，兪漢寬漢宅 彥鎬姪，漢寔，漢守 彥鎬從姪，蔡希恭，倫恭 濟恭再從弟，弘定 濟恭從姪，弘進 濟恭再從姪，李儒尙 濟恭甥姪，趙鎭球 故提學璥子，金在明，在新，在善 憙子，李魯益，魯任 秉模子，鄭性愚 民始子，致愚，㝡愚 民始姪，沈繼之 煥之從弟，能性，能愚 煥之姪，徐有本，有樂，有棐 原任直提學浩修子，鄭東晏 故直提學志儉子，徐任輔 有防子，有聲，有民 鼎修從姪，金載琬檢校直提學載瓚弟，徐應輔，鳳輔 龍輔弟，鄭基翼 大容子，基植 大容姪，金魯賢，魯興 勉柱姪，尹應鉉 行恁姪，閔章顯 行恁甥姪，南星耇 公轍從姪，沈應奎，承奎 原任待敎象奎弟。皆閣臣之若兄若弟若子若姪也。蓋昔之秖及其兄弟子姪者。今則推及於從再從。而予猶以爲少焉。洪元輔樂性。以齒爵。歲輒與筵。其子義榮 承旨，大榮，姪世榮，孫奭周。皆從焉。直赴李始源。以文學特召之。而其父敏輔 判敦寧，弟肇源 承旨，子鳳秀，鶴秀，姪龍秀。亦與焉。予奉慈駕。還自奉壽長樂之筵。指授諸臣。櫽栝簿書。編爲一部徵遠之書。與其事者。閔鍾顯 禮曹判書，李家煥 工曹判書，李益運 前參判，洪仁浩 行副司直，義浩，李相璜，金煕朝，丁若鏞 並前承旨，李錫夏 前校理，洪秀晩 兵曹正郞，嚴耆 修撰，安廷善 兵曹佐郞，權晙 副司果，曺錫中，李勉昇，柳遠鳴，姜浚欽，黃基天，李東萬 並副司正。 在內閣編校。亦並召入。而是會也。閣臣主之。故非閣臣者。皆班于別行。惟始源。特班之閣臣之下。以示意焉。史官吳泰曾，閣屬官朴齊家，柳得恭，李集箕，成海應，李旭秀。凡與筵九十八人。皆乘內廐馬以從。由靑陽門前。東逶西迤。賞花于望春亭，尊德亭。宣餻于太淸門之內。所至地爲之窄。旣又射帿于春塘臺。釣魚于芙蓉亭前池。環池而張綸者。匝池之廣袤焉。夥哉。此之謂與衆樂乎。遂用洗心臺臺字韻。賦一篇。與筵者皆賡載之。軸旣滿。復列其名于卷端。俾覽者知是年是遊之意。在於識慶賁休也。葳蕤簪珮簇春臺。酒氣花香錦帆開。寄語諸臣家子弟。平生能忘此筵杯。</text>
<title>夜登芙蓉亭小樓。復申甲寅詩令。與舟中嶼中人分韻口呼。</title>,<text>留與諸君飮。居然月上竿。莫如今夜好。同此太平歡。花暈千重樹。燈張九曲欄。金吾仍放夜。和氣遍長安。</text>
<title>挹淸樓。步板上韻。二首</title>,<text>南出淸樓意豁然。杏花春酒大江前。笑看多少迷津客。盡日徊徨水一邊。故領議政金壽興韻。牙檣錦帆畫圖間。簫鼓中流任往還。蘇子千秋先獲我。相逢有味是偸閒。故大提學宋相琦韻。</text>
<title>永興本宮躋享日聯句 幷小序</title>,<text>桓祖大王，懿惠王后。躋享于永興本宮。遣大臣宗伯行禮。是歲乙卯四月十八日子時。先行殿內修理告由祭。第二室移安。二十一日子時。還安。卯時第一室位版造成。二十六日丑時。奉安後行大祭。各於祭夜。祇詣景慕宮齋宿。奉安日。與陪從諸臣聯韻。以伸慶幸之誠。賡載諸臣。領議政洪樂性，左議政兪彥鎬，右議政蔡濟恭，領府事金憙，提學沈煥之，檢校直提學徐有防，原任直提學徐龍輔，檢校直閣李晩秀，金勉柱，原任直閣尹行恁，檢校直閣南公轍，直閣李始源，檢校待敎徐有榘，承旨洪義榮，任希存，兪漢寧，李肇源，蔡弘遠，史官趙台榮，鄭文始，具得魯，吳泰曾，弘文提學徐有隣，知事李敏輔，別雲劒沈頤之，尹蓍東，李時秀，鄭好仁，藝文提學李秉鼎，兵曹參判趙鎭寬，摠管鄭存中，柳焵，申光履，權恢，判敦寧金持默，兵曹參議崔守魯，參知沈鏗，佐郞申潊，鄭㝡成，玉堂李遇濟，張至顯，工曹判書李家煥，副司直李益運，洪仁浩，洪義浩，金煕朝，李相璜，丁若鏞，抄啓文臣金近淳，安廷善，嚴耆，姜浚欽，李勉昇，李東萬，曹錫中，黃基天，崔光泰，徐俊輔，權晙，申鳳朝，申絢，洪樂浚，洪奭周，洪命周，宋冕載，尹致永，柳遠鳴，金處巖，金煕洛，柳台佐，景慕宮令洪樂綏，金在明，趙鎭宣，判府事李秉模，禮曹判書閔鍾顯，都承旨李祖源，香官趙萬元。咸鏡監司趙宗鉉馳驛傳韻。使之追賡以進。生員金履永。以摛文院齋宿日。應製居首及第。特命尾賡。八回寶甲河淸期。三炷心香漏徹時。御製。 原廟吉辰昭慶禮。閟宮齋夜格誠祇。臣樂性。 琮璜允叶先公祀。衣幣皆從御手齎。臣彥鎬。 千里仙輧如左右。三宵宮燭照恭寅。臣濟恭。 中春御韻曾馳驛。今日宸章又在丌。臣憙。 聽位齋官欽降俯。瞻光社老布邐迤。臣秉模。 塵埃舊蹟攀宮樹。雨露遺恩及野萑。臣祖源。 金尺界均登黍稌。赤池波晏樂魴鯔。臣鍾顯。 潔牲淸酒香紛郁。瑞日祥雲影旖旎。臣萬元。 每歲連洲殷夜鼓。幾回歸洞長春蘪。臣宗鉉。 岐山棫樸徵歌頌。漢邑風雲起籥龡。臣煥之。 象設地嚴儀敬梓。蒲蘆政敏勝栽榿。臣有防。 秩宗是曉虔牲幣。喜雨崇朝集鷺鷥。臣龍輔。 禮竝咸宮神理叶。義遵完廟聖謨貽。臣晩秀。 吾王孝思方膺慶。昭代彝章自得師。臣勉柱。 魯廟方騰三壽祝。邠居猶想夕陽耛。臣行恁。 三王上配源公季。七聖相傳曁哲伊。臣公轍。 天籙誕垂郊鳦緬。邦庥昭薦漆魚比。臣始源。 抃鼇禮擧新休荐。走馬基留故事追。臣有榘。 宏達洪圖光𥳑策。坦平王道奠康逵。臣義榮。 華筵纔獻需雲酌。薄海同傾向日葵。臣希存。 恭識先庥昭啓佑。矧玆春物正葳蕤。臣漢寧。 升曦耀瑞瞻嵎谷。潔藻登馨自㵎阰。臣肇源。 舊社惠民捐粲白。禮圍延士好衣緇。臣弘遠。 儀隆周祫寅三禮。樂奏堯章作一夔。臣台榮。 謨啓承華緜寶籙。歡增長樂奉金巵。臣文始。 慶如有待申天命。禮本緣情仰聖爲。臣得魯。 習曲兒童比豐沛。薦騂文武尙瀍洢。臣泰曾。 歲虔籩豆登腒鱐。月出衣冠襲茝蒔。臣有隣。 陟降皇靈昭帝座。葱蘢佳氣滿宮㮰。臣敏輔。 躋禋遠叶軒皇禘。肇跡還同漢祖蘄。臣頤之。 禮幣遙傳仍象斝。齋衣移宿儼龍跜。臣蓍東。 精誠穆穆凝鑾駕。茀祿洋洋薦楅犧。臣時秀。 侐廟圭璋彝典備。明廷簪紱賀儀隨。臣好仁。 陶漁舊是潛雷澤。冠帶今猶湊澠淄。臣秉鼎。 河水報淸天降聖。岐山用享路云𢓡。臣鎭寬。 遵先孝摯儀無觖。溯本禮成基啓丕。臣存中。 宥密周謨追奕業。煥新殷典耀邊陲。臣恢。 姬公成志由追孝。文德垂昆本止慈。臣焵。 宸夢凝誠方日曒。近臣將命載星馳。臣光履。 儀圖煥備遵家法。卿士詢同酌禮宜。臣持默。 宗祏千年奠磐泰。林葱八域摠期頤。臣守魯。 妥靈盛擧鏘鏘樂。助祭羣工濟濟緌。臣鏗。 祀典邦家斯最首。春嘗寢廟必先脾。臣潊。 逶迤鳳蹕移齋幄。腷膊雞人報曉塒。臣㝡成。 祼席駿奔登梡嶡。耆筵魚藻詠桐椅。臣遇濟。 九重是夜恭齋沐。千億斯春奉禴祠。臣至顯。 揚烈升歌兼下管。發祥悉直近東暆。臣家煥。 樓桑瑞氣春生葆。伊洛明禋夢協蓍。臣益運。 緜籙源從陶復野。靈籌剩取洛書棊。臣仁浩。 誠通鐵嶺傳郵遞。惠養豐樓及庶耆。臣義浩。 田祖祭成同我稼。生民詩詠種維秠。臣煕朝。 精禋漢廟陳糝酏。遐福周家筮葛虆。臣相璜。 工賷淸朝罍與襨。伻來是日鬯兼𪎭。臣若鏞。 朱絃疏越歌皇矣。玉瓚黃流頌右之。臣近淳。 邦禮肇稱由報本。天休滋降驗聽卑。臣廷善。 降康慶湊先登麥。篤祐誠深祇薦粢。臣耆。 雲護仙鄕天不遠。月臨齋殿夜何其。臣浚欽。 擎傳祝帖榮趨走。莊誦雲章仰悅怡。臣勉昇。 商寢丸松方陟景。衛園猗竹怳瞻淇。臣東萬。 凝情齋曉瞻星斗。率禮祠官錯履綦。臣錫中。 明德繼承馨黍稷。雅音孚格奏塤竾。臣基天。 先河後海郊兼禘。酌古通今胾又胹。臣光泰。 淸酤載蠲雲社稻。多魚同薦釋王梨。臣俊輔。 享成奏必馳宵馹。誠篤齋常到曉鸝。臣晙。 禮洽旅楹承祼鬯。慶流崇巘樂耘耔。臣鳳朝。 肇禋肅穆千官慶。盛服齊明五采施。臣絢。 黃髮登筵霑惠澤。靑衿觀國詫恩私。臣樂浚。 禮隆淸廟升蕭稷。時値明堂薦麥鶀。臣奭周。 聖祖肇基猶有柘。詞人撰頌豈歌芝。臣命周。 楚茨頌播欣禾積。慶善歌成緬竹騎。臣冕載。 兆驗唐宗時屆甲。祝深漢帝晝添匙。臣致永。 齋儀每仰凝珠冕。盛禮遙瞻奉玉齍。臣遠鳴。 義大闡休歌漢馬。誠存祈壽貢唐獅。臣處巖。 三呼雷動歡加額。八彩春融喜動眉。臣煕洛。 觀德如今追舊烈。登歌自古頌良䂓。臣台佐。 歲回星甲光于古。慶自天申德祇台。臣樂綏。 螽羽詩成千歲祝。燕毛筵設萬人嬉。臣在明。 枌楡舊社香凝飶。菫荼膴原味似飴。臣鎭宣。 蕪句敢叨賡載盛。金閨新籍聖恩滋。臣履永。</text>
<title>慈宮周甲誕辰。奉觴上壽。恭述志喜之誠。眎與筵諸賓。</title>,<text>吾東初有慶。花甲萬年觴。是日虹流屆。如雲燕賀張。含飴長樂殿。被管老萊章。觀華仍餘祝。覃恩曁八方。</text>
<title>北倉在北營後越數麓。步輿登臨。池閣有唫。閣名。東曰凝香。西曰挹淸。</title>,<text>曲曲停輿意轉長。北山臨眺漢之陽。天時地利與人和。兼以千箱萬庾藏。</text>
<title>題第一樓</title>,<text>第一江山第一樓。挹淸餘興又芳洲。太倉米數誰料得。博取今行意內籌。</text>
<title>贐原任直提學李秉模赴燕 幷小序</title>,<text>乾隆六十一年正朝。傳位於嘉慶。專价進賀。卿膺是行。中原方有事。專對更勞卿。福壽稀前牒。傳禪受大名。出疆仍熟路。覘國最今行。跋涉須珍重。綏玆隔歲情。</text>
<title>贐原任直提學徐有防赴燕 幷小序</title>,<text>乾隆傳位於嘉慶。卿爲進賀副价。是日受表咨啓行。賦五言近體以賮之。星文動帝所。冠蓋入幽燕。使价詩三百。華夷路四千。風波憂畏際。軒陛夢魂邊。萬國新元會。奎躔步武聯。</text>
<title>綾恩君具允明四世同朝。九耋懸車。親臨宣麻。申以一詩。丙辰</title>,<text>生老升平九十年。福星長照北辰邊。華銜更許添三字。好做淸時地上仙。</text>
<title>廿一何日。來省象設。履玆濡露。孺慕彌切。還次華城。關雨停蹕。夷猶適願。坐且明發。歷駐遲遲之臺。行行路轉。而陟岵之思。耿然如結。瞻望久之。志感以一律。</title>,<text>晨昏不盡慕。此日又華城。霡霂寢園雨。徘徊齋殿情。若爲三夜宿。猶有七分成。矯首遲遲路。梧雲望裏生。昔年溫幸時。駕過本府。而服色例用軍服。伊時有影幀草本。而色渝不敢移摸。近來園幸服色之用軍服者亦此意。而圖寫御眞。藏于園所齋殿。以寓瞻依之思。第六句及之。</text>
<title>春仲朔日。頒公卿近臣尺。修中和節故事。帶詩以寵之。</title>,<text>頒尺中和節。紅泥下九重。拱星依紫極。絫黍叶黃鍾。漢帝提三日。陳君臥百容。裁來五色線。許爾補山龍。</text>
<title>左揆摠理城華之役。每歲拜園也。軫其年高。輒令先往後歸。歸輒有詩。詩輒盈軸。徵其軸。軸抽兩韻以還之。四首</title>,<text>霜露桑鄕歲幾飜。寸心無處答隆恩。經營屹屹雉墉壯。拱護重重象設尊。萬戶橫臨湖右路。三軍氣湧鎭南門。人和此地予何力。盛德猶傳昔幸溫。右和長安門樓韻樓櫓居然起。山河頓與新。多卿摠理力。爲我指揮神。旗鼓超乘士。閭閻樂業民。厥田元上上。疏漑擬來春。右和迎華亭望見華城府治韻○以上。甲寅軸。皇皇瞿瞿更依依。若覿如聞未忍歸。岨矣高山天與宅。怳然原廟月遊衣。烟花袍笏羅千嶂。鏁鑰金湯冠兩畿。歷騁霸陵還有意。城隍少駐六龍飛。右和駕巡洪範鳳鳥諸山夜還華城行宮韻新豐樓下路逶遲。爲誦南來北望詩。長樂鐘聲知不遠。那堪回首寢園辭。右和回鑾日韻○以上。丙辰軸</text>
<title>題南小營</title>,<text>駐蹕南營裏。登臨一快哉。天回兵氣肅。地壓海光來。奇正龍韜變。縱橫虎壘開。江樓餘興在。元帥此高臺。</text>
<title>皇壇親享日。敬次兩朝御製韻。</title>,<text>玉輅東巡怳見親。依依壇木寄王春。山河極北淪諸夏。牲醴吾東享肆陳。數十麟經淹日月。三千鰈域葆冠巾。齋衣肅穆監明水。萬折餘誠志事遵。</text>
<title>贈突兀空蕩墅主人歷覽狎鷗諸勝。將向楓嶽之行。</title>,<text>日長山下望淸塵。馹騎遙頒內劑珍。暮歲懸車樞密使。春風繫纜廣陵津。尋眞轉向金剛入。觀俗猶勝玉節巡。途道起居宜愼護。歸期須趁聽蜩辰。</text>
<title>迎春軒。奉觴志喜。用洛南前韻。</title>,<text>椒塗衍慶自光前。綵舞重開獻壽筵。軒敞迎春春不老。恭將此會又年年。</text>
<title>御摛文院。恰過一旬。次朱子詩韻。要承候大臣閣臣和之。仍許聯書揭楣。</title>,<text>芸香開讌坐。高閣轉深幽。可愛三淸勝。仍成十日留。豐年民事好。佳節菊花酬。志喜將今夜。雲需更卜遊。</text>
<title>奎閣，銀臺，玉署宣饌聯句 幷小序</title>,<text>每歲三餘之工。輒課一帙之書。機務雖繁。莫或間曠。近來經史子集之有選。選必開印。蓋爲嘉惠於來許。兼欲資益於自強。用是孜孜。不知爲疲。乃命銀臺，玉署諸臣與豹直騎省者。考校經書句讀。儤宿禁中。亦旣勞止。際此奎選講製。兼夜責程。而宮雪開花。座燭分蓮。倣煖爐會故事。紫衣擎傳。滿架殽醽。帶以聯韻詩句。直提學李晩秀，檢校待敎沈象奎，承旨李鼎揆，洪仁浩，申耆，李勉兢，李肇源，金啓洛，史官洪致榮，李毅采，尹命烈，卜台鎭，馬思人，金景煥，金珍恪，金初燮，金良倜，兵曹參議李尙度，參知丁若鏞，前承旨李翼晉，玉堂趙弘鎭，尹序東，尹悌東，洪秀晩，鄭來百，金煕采，鄭東榦，尹益烈，抄啓文臣金近淳，權晙，李存秀，徐俊輔，曹錫中，李勉昇，柳台佐，洪樂浚，柳遠鳴，金煕洛，宋冕載，申絢，姜浚欽，洪命周，黃基天，李東萬，金履載，金煕周，金處巖，李英發，洪奭周，吏曹佐郞李明孚，兵曹正郞呂駿永，閔命爀，佐郞金秀臣，奉常判官李東埴金華經說耀奎章。粉署書聲及玉堂。御製。 虎觀鴻儒叨地分。龍圖豹直惹天香。臣晩秀。 讀於中祕琅函鉅。處以西淸寶扁煌。臣象奎。 跡忝銀臺慚右列。銜兼藥院效先嘗。臣鼎揆。 期門章句追皇漢。學士瀛洲軼盛唐。臣仁浩。 三夜不眠聞禁漏。六仙多暇對經床。臣耆。 奎躔宋運千年屆。絺繡虞廷五色彰。臣勉兢。 是日仙班隣鳳省。自天恩命曁龍驤。臣肇源。 梁園雪晩詩催𥳑。唐館宵分帙閱緗。臣啓洛。 聖代笙鏞方日聞。近臣冠珮喜齊蹌。臣尙度。 籌傳閶闔金魚靜。鈴動罘罳苑鳥翔。臣翼晉。 繡梓共添宮線永。燃藜每到院鐘鏜。臣若鏞。 硏丹炳若心酬報。紛白慚無命對揚。臣弘鎭。 十日繙經臣職忝。三餘典學聖謨洋。臣序東。 連宵幸備金鑾直。趁曉同趨玉珮鏘。臣悌東。 蓮炬光搖分院路。梅房香綻傍宮墻。臣秀晩。 紫衣催召恩逾渥。靑瑣聯班學愧荒。臣來百。 瓊軸煒煌攀寶什。黃封瀲灩霈榮光。臣煕采。 共將耿耿西垣燭。滿挹深深北斗觴。臣東榦。 暖氣蘇回南至後。耿光依近上淸傍。臣益烈。 曾書幾講修齊治。虞曲重賡喜起康。臣近淳。 龍扆端臨治有象。兕觥齊獻壽無疆。臣晙。 欣逢豈樂依魚藻。敢道思皇集鳳岡。臣存秀。 文敎均沾三物育。聖工爭頌寸陰長。臣俊輔。 瀼瀼夜露沾浮白。濟濟朝紳響水蒼。臣錫中。 宴赴釣魚稽宋閣。詩登呦鹿邁周庠。臣勉昇。 極知眇末歸陶鑄。肯忽斯須勉敬莊。臣台佐。 秩秩肆筵同珮芾。孜孜攻業寓囊箱。臣樂浚。 工專絳袠仍三昧。節屆黃鍾又一陽。臣遠鳴。 雲氣蓬壺看尺五。雪華梧掖過尋常。臣煕洛。 蕪詞自幸賡宸韻。綵線何由補衮裳。臣冕載。 小子譽成周棫化。家人禮異衛筵張。臣絢。 右文瀛閣回仙李。毓慶姬家頌邑姜。臣浚欽。 藝苑翺翔人共得。春臺造化物皆昌。臣命周。 幸爲待詔金門朔。豈曰能詩太史黃。臣基天。 宛是靑帷雙日直。飜成白戰八叉場。臣東萬。 精微理蘊搜濂洛。灝噩文宗溯帝皇。臣履載。 斯世幸看回古俗。眞儒誰是佐明王。臣煕周。 蒐英日闢圖書府。躋治風行禮義鄕。臣處巖。 肅穆威儀瞻御座。便蕃寵錫耀村庄。臣英發。 菁莪聖化重重運。葵藿微誠滾滾慶。臣奭周。 雨露沾脣傾白獸。文章遍體愧丹凰。臣駿永。 輝山瑞彩非崑玉。協律希音憶嶰篁。臣明孚。 遮莫管蠡窺象緯。敢將瓦缶和鸞簧。臣東埴。 奬勞恩遍擎珍錯。識喜詩成溢錦囊。臣命爀。 眞氣已驚奎藻降。小春先賀雪花颺。臣秀臣。 省中校字羞螢爝。格外沾恩聳鷺行。臣致榮。 重入脩門非夢想。偏蒙聖澤際辰良。臣台鎭。 才慚考閱三墳蠹。身幸追隨五總羊。臣思人。 醉以瓊漿觀厥德。擎來寶軸世其藏。臣景煥。 恩榮此夜知何極。句讀當年愧未詳。臣珍恪。 天覆無私收一藝。年豐爲瑞頌千倉。臣初燮。 今宵倍覺奎華朗。此事將看汗竹芳。臣良倜。 職攝起居猶僭越。書探丘索奈繁穰。臣毅采。 光華日月三淸界。五十四人拜激昂。臣命烈。</text>
<title>巡城至訪花隨柳亭。射的以示尙武之意。予適三獲。內外使亦各如之。第三句。引周禮五射箋註以紀實。丁巳</title>,<text>歷遍春城日未斜。小亭雲物轉晴佳。鑾旂慣報參連妙。萬柳陰中簇似花。</text>
<title>和蔡左相華城丙辰軸韻 三首</title>,<text>駐轡臺前路。迢迢望華陰。稻秔千畝闢。桑柘萬家深。已見城爲鐵。思聞俗讓金。先王富敎意。一曲想薰琴。右遲遲臺望見華城韻萬雉矯雲直。雙虹駕水成。勤勞衆御事。經始子來誠。天地䂓模遠。山河體勢呈。行行來眼界。輦路大堤平。右洛南軒韻江南都會遝蹄輪。春入新豐四海樽。未老閒亭如許好。雙宵高燭更凝神。右夜遊韻</text>
<title>賜領議政洪樂性 幷小序</title>,<text>卿位躋上台。年至八耋。親宣几杖于初開胄筵之堂。公私之吉祥善事也。詩以志慶而識喜。集福外軒講後筵。徠卿於此几筇宣。春長卄四中書考。星合三千下釣年。淸燕倚高黃閣裏。畫鳩扶出赤墀邊。恭知慈德難名處。沁水觀津喜氣連。</text>
<title>賜奉朝賀金鍾秀 幷小序</title>,<text>聞卿作三釜行。間經暑雨。甚關念。憑問起居。髭髮勝昔。傾嚮之餘。豈勝欣釋。昔錢若水拂衣遊華山。羅倫夢見范文正。而寄跡於山水烟霞之間。此二子者。謝事遊方外。其年不過四十或六十。至今爲人所歎賞。况卿以稀有之齡。客秋入金剛。今夏訪鐵圓。通計一歲三百有六十箇日。巾車挐舟。強半在名勝之境。而寢噉無損節。豈不异哉。日長如年。我思悠悠。發之爲詩。要博一粲。毋慳金玉之音。以爲瓊琚之報。洛陽春社記前遊。君子于今盡白頭。綠野投閒金相國。靑山留約鐵圓州。潛龍臥弄三淵雨。飛鶴飜成萬壑秋。蓮燭紅樓遲笑語。更將詩句願言酬。</text>
<title>曉次龍驤鳳翥亭</title>,<text>迎華官道大江南。上有名樓鏡面涵。萬舳龍驤成紫陸。十洲鸞鶴漾靑嵐。旗含宿霧增帆飽。虹飮明河倚鼓酣。極望遲遲臺近遠。更敎前驅不停驂。</text>
<title>題陽川官閣</title>,<text>江漢秋濤匹練橫。虹橋踏過萬蹄輕。爲看四野黃雲色。一舍陽川少駐兵。</text>
<title>敬題章陵齋室</title>,<text>往歲長陵謁。德音怳若聆。禮隆周廟饗。慶驗漢亭銘。灓水由天感。高山效地靈。洋洋陟降在。秋日拜玄扃。</text>
<title>金陵恭和先朝御製</title>,<text>記昔先王望八年。宸章猶誦下江船。今來郡閣攀遺墨。孺慕依如昨日然。</text>
<title>題金陵館</title>,<text>靑烟萬竈宿豼貅。蟹戶鹽邨一望悠。匝地農謳渾四野。中天月色最三秋。港連揚子仍漕舶。波湧金輪更水樓。長夜抵年遲不發。却聽歸鴈過江州。</text>
<title>金陵掘浦橋</title>,<text>秋蹕開花大野來。誰將淮泗注黃堆。不須枉費夸娥力。會看三湖水勢廻。</text>
<title>富平府治。晝停呼韻。</title>,<text>桂陽山色極嬋娟。百里秋登上上田。民富政平斯可矣。誰能更續武城絃。</text>
<title>過仁川路中有唫。命揭府衙。使邑倅黃運祚書之。</title>,<text>風旂獵獵海門廻。秀色蘇來眼忽開。君子峰高入指點。儻非中有隱淪才。蘇來山。有君子峯。第三句及之。</text>
<title>夜御安山衙軒</title>,<text>地勢盤如萬朶蓮。尋常魚蟹不論錢。生居最說安山好。况復穰穰大有年。</text>
<title>南陽路中</title>,<text>地以遺祠重。山廻有臥龍。大名垂宇內。何處訪隆中。微管人其左。從周道遂東。永淸曾寄感。英爽儼三忠。</text>
<title>少駐南陽鷗浦</title>,<text>鷗渚敞行殿。海門來秋色。波動魚龍唫。野曠禾稼積。兵氣迷草樹。人烟亘阡陌。邨邨多嬉笑。傴僂雜髫白。雖媿仁政及。喜玆安耕鑿。齊王幸朝儛。羽旄遵江曲。漢帝感宵夢。珠露下陵柏。花山知幾許。望望不盈尺。士馬亦勞止。欲抵華城夕。</text>
<title>老來堂口占</title>,<text>老來堂裏好開顔。苑榭重扁未老閒。恒居不敢言稱老。竊比萊翁尙衣斑。</text>
<title>凝鑾軒。望南漢。</title>,<text>萬馬雄都百雉墉。山樓層翠望重重。辛勤寄語南城尹。萬折毋忘立馬峯。南漢將臺。扁以毋忘。故結句及之。</text>
<title>安養撥舍。書此。命揭南充之富林軒。</title>,<text>南充父老慣相迎。九載之間幾此行。車馬羽旄欣有色。愧無仁術濟民生。</text>
<title>始興縣齋</title>,<text>易知始興縣。公館似林莊。園擁楓松靚。門臨稻黍香。江山氣自好。民物運方昌。宿弊全蘇否。咨而長吏良。</text>
<title>和左議政蔡濟恭華城詩韻 四首</title>,<text>畫櫓粉城意氣誇。此中常見五雲遮。高樓直聳爭秋色。萬象俱明泛月華。景物偏從今夜好。山川元有四時佳。庭松不妨遲遲長。長繫淸輪相國家。右東將臺中秋翫月韻萬年堤上路。遲日駐鑾聲。吉慶輸金粟。豐穰對玉秔。豳風來午饁。周旅聽新氓。朋酒如春解。爭將舞袖呈。右萬年堤觀稼韻乘晴笳鼓上雲梯。南北羣山入檻低。高處始窮千里眼。秋烟九點問靑齊。三都推第一。八達務懷來。蹔試經綸手。旋求鎖鑰才。樓依天宇迥。城抱野門廻。料理自深淺。官樽聽醱醅。右八達門樓韻</text>
<title>贈奉朝賀金鍾秀俗離之行 三首○幷小序</title>,<text>客秋金剛之訪。今春鐵圓之遊。閔其老而喜其勇。輒贈詩寄意。以志卿髮短心長。而日者俗離之行。因行期之聞晩。旣失延討。又闕詒詩。念湖山數百里之遠。極勞瞻往。玆將醪脡。走人山中。付以三韻。兼訊起居節。金剛携酒鐵圓詩。離俗之行又俗離。滿道黃花秋意晩。冥鴻天畔問歸期。聞說俗離山上泉。依如石乳玉漿然。朝朝滿酌歸之肺。知是人間綠髮仙。宦海風濤二十秋。至今幽興伴沙鷗。適來適去何須問。且得湖山物外遊。</text>
<title>社壇祈穀日。和昌黎辛卯雪詩韻。幷小序○戊午</title>,<text>躬詣社壇。肅將祈穀祀事。黍鼎若鐘鳴。爲大有之徵。而屢驗如期。時且旣雨而雪。萬樹生花。社雨報年豐。有宋人之詩。而昔昌黎製辛卯雪詩。以紀豐兆。其歲果斗米三錢。至今傳以爲奇事。遂取辛年韻。和之於辛日。恭寓祝豐之誠。又按月令。春事之興。輒祈農於戊元。而今歲歲次戊午。月屆元正。第四亦云。仍命諸享官賡之。方壇牲幣又年祈。百福由來頌式幾。辛後秋功徵社雨。戊元春事肅齋衣。天時欲占犂星出。地脈先融瑞雪飛。鼎響更如鐘感理。心香一瓣繞深幃。</text>
<title>和左議政蔡濟恭華城軸三韻 幷小序</title>,<text>連歲華城之幸。左揆輒有詩。予每和之。今春啓蹕。戒在无妄。三夜調將。始於翼朝拜園。其間爲日雖無多。幸仙寢之瞻依。悵慈闈之離違。欲詩以言志。不但病未果焉。蓋有待於左揆之起予。及回鑾。有所示。遂步而還之云爾。調痾夜夜漏壺傾。明發瞿瞿不盡情。始寓微誠園廟近。旋將喜報殿宮呈。餘寒曉入旌旂影。協氣朝隨劒佩聲。慈德無量覃一府。生生嘉粒萬年更。逌覲橋邊路。花風曉拂鞍。農功將大有。春色自長安。行殿猶知穩。戎袍却不寒。城池如此好。先務得民歡。大有。北屯之坪名。長安。北城之門名。坪寓屢豐之義。門由京師之路。故三四云。一望梧雲萬疊深。羹墻無處效誠忱。碑陰水飯遲遲發。降格年年小子心。</text>
<title>命文正公尹煌不祧。詩以志感。幷小序</title>,<text>是日行望拜禮。風泉激感。因想斥和諸臣抗疏爭死之烈。宛若隔晨。其中首先倡義者。文正公尹煌是已。昨歲伻酹。略致愾念。而際聞不祧之典。獨闕而不擧。甚是欠事。特命勿遷。遂題一詩。用替侑廟之意。世謂八松節。靑靑孤竹如。同心三學士。明義萬言書。北海名猶在。東牕計奈疎。方禋延百歲。肇自拜壇餘。</text>
