<title>畫</title>,<text>梅梢老鶴立。顧眄意何如。萬里秋空闊。飄然逸翮舒。</text>
<title>挽詞[李奎五]</title>,<text>文章德業重吾南。東有止淵北懼庵。二公幷赴瑤皇召。寂寞儒宗慟不堪。</text>
<title>挽詞[李鼎儼]</title>,<text>名利關頭賺幾豪。冥行肉走噫滔滔。微茫大雅千年後。文學吾林一士高。居是山臺君子壽。災於木稼衆人咷。水流花發今何夕。獨立番風白髮搔。</text>
<title>挽詞[權德煥]</title>,<text>三達人間獨得尊。文章餘事不須論。忠臣故宅贒孫在。晦老遺鄕丈席存。先子昔年歌白雪。後生今日泣丹旛。芳隣杏社將安仰。泰華山愁月弔原。</text>
<title>挽詞[李鼎基]</title>,<text>家庭儒雅豔鄕閭。華佩繽紛襲瑀琚。本地慈良存赤子。工夫敬義在丹書。汝南標榜元超了。陋巷簞瓢自晏如。八十四年猶一日。文章咳唾是其餘。僻矣山南寒士家。洞照重天日月華。招旌自是無因至。圈玉終能有隕加。五福康寧宜爾厚。一方成就賴誰多。吾林士友驚來集。嶺運今年大耋嗟。噫噫渭陽萬事非。靈光近日我爲歸。詩因寡和偏容拙。書就多疑幾剖微。每道居常衣不勝。旋看遇境筆如飛。從今耆德惟龜老。病枕殘懷倚夕暉。</text>
<title>挽詞[李奎鎭]</title>,<text>不睹常存戒懼情。更要觀省揭庵名。文章舊業承先子。誘掖眞工啓後生。心有淸凉希邵老。樂夫天命賦淵明。厖眉郞署何須歎。令德人間永有聲。</text>
<title>挽詞[權東鎭]</title>,<text>金精玉潤淨無塵。留作懼庵席上珍。當世文章傾地望。自家言行任天眞。徵贒異數九重陛。優老恩光八十春。臺社百年同契誼。招䰟今日倍傷神。</text>
<title>挽詞[鄭夏源]</title>,<text>一𣌑芹忱賦遂初。晦翁鄕裏守竆廬。任他分數常咬菜。收爾心身獨抱書。天爲達尊增壽爵。士推文丈式門閭。前冬面誨仍成訣。哭我公私涕滿裾。</text>
<title>挽詞[鄭雲休]</title>,<text>皎潔風猷頌達尊。淸安家學自成門。嶠南雅望今徵士。魯泮高名舊壯元。好把簞瓢安素履。且將經籍養眞源。堪嗟運氣都衰歇。連戚私哀未暇論。</text>
<title>挽詞[南鳳陽]</title>,<text>居今之世古人如。蕭灑林園處士廬。誰遣姓名登薦剡。獨將心眼寄殘書。東都擧仰模楷久。後學咸嗟丈席虛。鄕里少年今白髮。春風攀紼涕盈裾。</text>
<title>挽詞[崔玉]</title>,<text>柳暗花明百五節。懼庵夫子欲何之。想應化鶴靑城路。且道揮毫白玉楣。鄕乏文章空寂寞。士無楷範共漣洟。杜巷深深春晝永。茅廬淡淡淸風吹。淳眞氣貌辭邊幅。疎雅襟懷恥詭隨。木榻欲穿當膝處。簞瓢自樂養心時。騷壇執耳人咸誦。蓮榜掄元士共推。富貴元非人力致。孝慈惟有天翁知。鳴騶入谷旌招至。皋鶴聞天好爵縻。退守東岡安素履。歸來北海設緇帷。待人接物心肝討。處世居家敬謹持。掠美眩能皆俗士。安常守拙自天姿。臞眉皓髮誠難老。紫帶銀纓若有期。淸案好看陶玉集。勝筵頻誦塤篪詩。弗流弗劌由情性。匪惠匪夷合矩規。御衆敦親家政美。課忠責孝孫謨詒。文瀾滂沛言符實。筆勢淋漓理勝詞。顧我鹵姿多埴。賴公嘉訓牖聾癡。吠雲願作淮南犬。附尾曾隨涓市騏。龍院連槧偕老少。玉山講義分毫釐。絲麻菅蒯無相棄。玉樹蒹葭多倚毗。幸得龍潭楣上記。能爲鯫子卷中師。微誠只祝神精旺。是日飜驚極宿虧。八十餘年非曰嗇。二三吾黨更依誰。從今不復開蒙吝。自此無人質晦疑。門下幾多築室士。庭前幸有稱家兒。竆村病伏違攀紼。題送征鴻涕自洏。</text>
<title>挽詞[李儒祥]</title>,<text>我佩之長我服華。旌忠閭外讀書窩。稠中澹澹風儀見。靜裏惺惺氣味多。先子同庚誰大耋。昌朝徵士獨名家。東都考德今無地。寒食西郊聽䪥歌。</text>
<title>挽詞[李必祥]</title>,<text>杜巷故徵士。黌堂老宿師。簞瓢安素分。冰玉暎襟期。陳陛承恩奬。解經釋衆疑。東都今寂寞。先誼可堪悲。</text>
<title>挽詞[李岳祥]</title>,<text>君子東都國。高風此老傳。膠庠騰早譽。剡牘薦遺贒。活計書中粟。淸標地上仙。吾林安仰慟。先契倍潸然。</text>
<title>挽詞[徐致勳]</title>,<text>文章連世自成家。踐履平生又不瑕。論到敬誠先輩證。訓因節愛聖王嘉。林園獨善躋耆耋。木稼爲災慟邇遐。咳唾猶看留篋裏。知應嘉惠後生多。</text>
<title>挽詞[李泰祥]</title>,<text>故國山川淑氣長。降生贒士斐成章。高年好爵尊三達。玉操蘭姿集衆芳。依賴後人看魯殿。慕從先契拜龐牀。儒林自此蕭條甚。回首東風淚滿眶。</text>
<title>挽詞[趙曾燮]</title>,<text>雅襟容末契。半世許心期。名行宸聰達。文章後學師。急流能勇退。衡下任棲遲。仙鶴歸華表。家聲付胤兒。</text>
<title>挽詞[趙廣燮]</title>,<text>憶曾梅塢草堂前。一拜龐牀識雅贒。才合經綸廊廟剡。學究詩禮法門傳。昭融義理披雲日。淡泊襟期暎玉淵。可惜儒林依仰處。飄然臞鶴遽登仙。</text>
<title>挽詞[徐活]</title>,<text>不待師承學自成。白頭豪士坐竆經。留心淡泊塵機斷。持己矜莊道氣亨。閑署推贒因地望。西樞優老豈公榮。後來應有子雲鑑。好將遺書考乙丁。</text>
<title>挽詞[趙龜燮]</title>,<text>東都大夫士。無不禮於門。學行先王眷。文章後輩尊。小成題柱馬。高尙賦初孫。但恨蓮臺下。未遂聽語溫。</text>
<title>挽詞[金觀進]</title>,<text>儒學流傳信有源。文元鄕裏見斯贒。溫恭望表仍知裏。酬酢推誠不餙邊。一命潛郞非滿德。重褒崇秩寵高年。歸來恨晩藏珠櫝。書卷空留几案前。</text>
<title>挽詞[權]</title>,<text>空花曼浪未嘗裁。水態山光本面開。腹飽詩書粱肉去。心甘理義豢芻來。蟬秋薄宦堪辛壈。彪世雄文止乙魁。壽爵雖榮難塞望。蒲輪安得到泉臺。</text>
<title>挽詞[權度稱]</title>,<text>白髮蕭然望若仙。故人稺子拜牀前。平生踐履淵冰篤。餘事文章錦繡鮮。昭代一啣違碩望。僉樞三品慰高年。公亡實係吾南運。末學提撕更孰傳。</text>
<title>挽詞[孫星寀]</title>,<text>山河淑氣降鴻儒。鳴世文章範世模。聲在九皋聞北闕。望尊三達重東都。恒臨棐几貧猶樂。時叩洪鍾有若無。南極前宵光忽閟。相逢多士涕盈鬚。</text>
<title>挽詞[李在恒]</title>,<text>琅玕爲質蕙爲裾。徵士高風老讀書。身與簞瓢藏歲暮。名將簪紱等雲虛。玄亭寂寂生涯薄。疏屬洋洋講說餘。先契舊遊零落地。忍翁把手恫潸如。</text>
<title>挽詞[李蓍祥]</title>,<text>小子三加記昔年。禮容溫雅見初筵。自慚鹵莽忘賓祝。多喜光輝繞壽躔。文藻忽空徵士宅。風流誰賦耆英篇。滿隅一胤能承述。依舊靑氈說太玄。</text>
<title>挽詞[門人權周煥]</title>,<text>忠勳故里先生宅。學半家庭後進師。性理長時茶飯在。行藏聖世葛裘宜。塢梅晩託成眞趣。梁木晨歌慟哲萎。吾輩從今安仰望。將歸入揖涕漣洏。</text>
<title>挽詞[門人崔璛]</title>,<text>朝廷鄕黨及居家。竊覸先生動靜何。醫國術因宣聖訓。接人氣帶伯淳和。文章做得淸寒耐。誠敬論成踐履過。欲學未能安不學。終摧梁木淚如波。</text>
<title>挽詞[門人辛學成]</title>,<text>一辭郞署臥茅廬。終古簞瓢樂有餘。四字嘉謨提孔訓。兩輪眞訣得朱書。能於耄耋箴猶篤。不以愚蒙敎或疎。此日山梁難耐痛。追惟髧髮束脩初。</text>
<title>挽詞[崔宗卨]</title>,<text>白屋琴書意味淸。一牕梅月小塘晴。播名藝苑尸牛耳。降渥天門徹鶴聲。溫潤光聯頭上玉。提防工篤意中城。贒哀幹蠱收遺稿。也識奎文不閟精。</text>
<title>挽詞[孫綸九]</title>,<text>戒懼平生志。自非外慕人。但傷曾抱玉。先擧舊傳薪。司馬方酬債。靈龜自任眞。詩書知活計。德業利安身。俯仰能無怍。飢寒亦不貧。心潛千聖旨。聲徹九重宸。千里馹騎召。一言時務陳。所存學力是。誠好聖褒因。臧氏焉能沮。儒居自有珍。三年羞志穀。一命謝恩綸。怵惕懷章奏。歸來修佩紉。執經戶屨集。存省壁圖新。歌詠康衢月。簞瓢杜巷春。甘棠設飮禮。刺史邀嘉賓。孝友家爲政。模楷世所掄。仁齡必壽考。平地乃神仙。人爵從天爵。韋紳換紫紳。達尊皆我有。令望復誰倫。且誦淇三興。猶期衛九旬。生薑何處樹。觀化太平辰。後學投疑箚。相逢攬涕巾。顧余聯戚契。憶昔貳齋茵。丈席得陪久。黌堂承誨頻。後來凡幾歲。進見不多廵。虛走藻葩臼。又違䪥露晨。悲歌追一曲。故宅鎖松筠。</text>
<title>挽詞[尹秉頤]</title>,<text>擧世趨營拙自守。一生堅坐讀書茵。肯爭科第方爲貴。只道文章卻失眞。定力看他長矍鑠。工夫做得極酸辛。悠然觀化公何感。付與靑氈且有人。</text>
<title>挽詞[族弟運斗]</title>,<text>吾宗老夫子。儒雅古家風。閱書百紙盡。論文八斗豐。弱冠刷勁翮。蕭灑出寰中。獨步數十年。詞林有主翁。八叉符溫氏。一場冠王公。再拜辭闕下。還守古坡東。盧屋只數間。蘇飯或二紅。手把聖贒書。澹然不醜竆。文章非纂組。學術到磨礱。仙鶴下人間。淸唳徹蒼穹。曉日摛文院。下士禮數隆。造膝論時弊。一言動宸聰。聖代無遺逸。淸啣付繕工。上林秋色晩。翩翩伴冥鴻。荒凉三姓國。淡泊一畝宮。箇中何所樂。銖寸積眞功。望尊志益卑。年卲德彌崇。晩被優老典。鬢玉自玲瓏。桂坊皆年少。杞院已衰癃。舍達元有命。眞襟只是冲。實工從豎腳。質行見操躳。閒居八十載。一箇赤子衷。老來猶勉勉。今去太怱怱。玉樓催長吉。山篴送馬融。憶昔花樹會。余在少年叢。蕭然儒者象。老鷟坐梧桐。屹若中流柱。吾黨賴帲幪。棟梁今摧折。嗚呼萬事空。寂寞靑山路。音信絶不通。宿舂地非遠。相紼事未終。空餘江上骨。秋風兩鬢蓬。俯仰成陳迹。泣涕灑空濛。</text>
<title>挽詞[三從叔象贒]</title>,<text>吾儒風味最淸臞。薰德令人鄙吝無。巷裏簞瓢尋至樂。篇中芻豢喫眞腴。榮名不是吾求者。仁壽從知可必乎。臺榭門楣今寂寞。病違攀紼涕沾鬚。</text>
