<title>夢作</title>,<text>長風九萬里。吹月度千門。何處一聲笛。東方欲破昬。</text>
<title>聖章歸後。疊隱庵所拈韻。寄來卻和。</title>,<text>積雪千峯繞寺門。使君携客訪靈源。剡溪來去渾閒興。南嶽登臨可比論。酒動官樽兼野勺。絃鳴石室作琴軒。歡深四座同無寐。吾醉三更亦永言。右隱庵名家篤出聘賢門。忠義文章儘有源。向友誠深澆俗愧。憂時意切古人論。千年地下難消血。萬事城東易主軒。天地無情世無識。空山靜夜與君言。啓元。是聖章妹婿。城裏舊宅。今爲他有故云。右悼啓元山接松楸家對門。數村墟共一溪源。眞追程子同岡法。可並張公九世論。情話每團傳酒席。好詩成軸詠梅軒。他鄕窮獨何爲者。重感南川太守言。右贈品谷諸友雪中分手出柴門。纔到寒溪不辨源。遊境依俙何處是。別懷怊悵與誰論。東岡草草披簑騎。南岸遲遲擁盖軒。回想前宵如一夢。佛燈山月照淸言。右歸路遇雪</text>
<title>鶴來一旬矣。余行還自楸下。則其間已半馴。朝夕戲翫。殊慰窮獨。所欠靑白二鶴。俱不成雙。聖章次余謝送鶴詩寄來。又依韻還奉。仍請卒惠。</title>,<text>窮獨有鶴子。新歸立候扉。淸音當問事。緩步似牽衣。投飯已能受。開籠自忘飛。何時成兩影。溪路月中歸。</text>
<title>李大諫元亮輓 幷小序</title>,<text>昔在丁巳冬。與元亮邂逅於泛波亭上。飮酒賦詩。一塲跌宕。其後不相見久矣。去冬遽聞客歿於西州任所。不覺怛然失聲。重發舊詩。爲之一涕。遂用其韻。叙此悲臆。天佑聖心啓。人言賢路開。此時題輓去。何處得君來。西舘孤魂復。東岡旅櫬迴。淸詩更逬淚。曾共泛亭杯。</text>
<title>與安國賓遊藥水巖</title>,<text>濩落洪溪守。僑居橫東。罷官無業藉。得酒與人同。道妙騎牛訣。文高搏虎風。相逢話今古。經史滿胷中。</text>
<title>龍門寺。疊前韻。</title>,<text>寤寐龍門側。頻繁馬首東。人生衰壯異。山色古今同。老大千年樹。淸和四月風。明朝迦葉頂。身入白雲中。</text>
<title>洪君敬夫 禹敎 來訪。贈余以詩。奬與之盛。多有不敢當者。遂步韻謝之。</title>,<text>王在靈臺翫躍魚。彈冠幾處起樵漁。隣朋盡室歸京漢。老子幽居獨看書。其二江湖感戴聖明君。異數華褒古罕聞。他日報酬如有地。北山吾不愧移文。</text>
<title>獨坐</title>,<text>愛君同愛父。憂國似憂家。微悃惟橫草。衰顔已落花。竹風吹午枕。江月照晴沙。強欲出山去。無如幽興何。起句。卽向日筵中大臣奬余之言。虛譽可愧故云。</text>
<title>急雨</title>,<text>急雨時鳴樹。驚風暮撼樓。遙瞻天際日。獨立水中洲。咄咄書空字。悠悠命駕遊。無人知此意。橫渡有孤舟。</text>
<title>射帿次敬夫</title>,<text>年來我好射。暇日輒成會。今得敬夫詩。嫉惡語由內。勸我於帿上。畫檜而射檜。旣不射其人。射影亦一快。而我之好射。不過欲警懈。况今檜也多。欲畫不能畫。不如空射之。使我病心解。</text>
<title>末伏日。會李景淳 普祥 宅。用樓字。</title>,<text>吾子多風義。賓朋又樓。酒材取松澗。詩韻用棃洲。數見常輕別。相期每共遊。秋江明月滿。移興駕扁舟。</text>
<title>權景賀 𥛚 投詩兼約楓嶽之遊回簡和寄</title>,<text>幽齋病起試遊瞳。八月霖炎覺已空。江漢以東新有歲。戊申之後久無戎。文明治飾朝廷上。淸肅氣生天地中。吾輩得閒惟勝翫。楓崖萬瀑掛銀虹。</text>
<title>次韻觀水樓八詠 兪展甫樓號</title>,<text>非煙非霧起崇丘。映日和雲處處浮。爲是五陵佳氣在。朝朝瞻望倚江樓。右珠丘佳氣 憂國石室崔嵬聳半空。東方百世亦淸風。由來立懦廉頑節。咫尺江樓爽氣中。右石室淸風 慕賢輝輝落照遠橫津。畫出層崖奇且神。林鳥城鴉歸欲盡。危樓更望西方人。右廣津落照 戀君渼水連空一色秋。古人不見月橫洲。漁翁獨帶淸輝去。靜夜明沙繫小舟。右三洲朗月 懷友多少懸帆巖下淵。西風吹過水樓前。主翁不是無心者。底事虛橫野渡船。右巖淵暮帆 濟世微微遠唱雜風湍。箇箇疎燈點水寒。知有白魚來入饌。漁人半夜集王灘。右王灘夜漁 孝親急風吹掩水邊關。飛雨森森自遠山。一陣已霑千畞遍。須臾霽色映雲鬟。右丹山驟雨 潤物瓊樓粉堞忽天成。突兀晴空百丈城。政念苦寒多白屋。朝來雙鬢雪俱明。右南城霽雪 憂民</text>
<title>月夜有懷。聖章倚其皮枕。檢其贈詩。一慰一悵。吟寄求和。</title>,<text>獨夜懷親友。高空掃薄陰。孤生百感在。一別九秋深。支枕依依夢。看詩脉脉心。此時江月上。松際已三尋。</text>
<title>一鶴</title>,<text>一鶴野禽裏。秋天白雪毛。同遊見其潔。獨擧見其高。</text>
<title>前宵䨓電。又係變異。今日江行。日未落而聽鵂鳴。可恠。率成一律。</title>,<text>沙寒水黑蟄魚龍。野濶陂空叫鴈鴻。比歲饑荒偏域內。前宵震燁又江東。凄凄古木鵂呼雨。颯颯陰崖虎嘯風。病客孤舟成獨坐。數村殘杵夕煙中。</text>
<title>次昌黎燈花詩</title>,<text>歲暮幽齋內。燈花一盞中。夜塘涵月白。秋水泛蓮紅。點綴含珠鳳。參差吐穗蟲。閤梅同放蘂。雪裏伴衰翁。</text>
<title>訪範友于州村。恭甫在座。聞有一婆自花城來者。善謳。招使侑酒。遂命彈琴奏歌。頗可聽。翌朝。幼文 李奎鎭 追到。聯句記事。</title>,<text>相逢不語促琴彈。太白。 靜聽峨洋動指端。小閤春生梅蘂燦。恭甫。 明燈夜永酒杯寬。樑塵暗墮淸歌席。君範。 山果兼登細菜盤。歲暮江湖聊取樂。幼文。 浮生此會亦云難。太白。</text>
<title>和君範與恭甫。用聯句韻。見寄之什。</title>,<text>病起新年冠自彈。故人何日返朝端。乾坤開闢威儀整。日月光華政令寬。恩綍疲氓皆鼓舞。仁聲隱者孰旋盤。江湖非樂吾將仕。誰道人間行路難。</text>
<title>李極美寄詩。報以近當借騎來訪。喜次。</title>,<text>象老詩來日。漁村酒熟時。高吟月皎皎。細酌夜遲遲。恰有靑春意。渾忘白首悲。柴門馬嘶處。煙柳綠如絲。</text>
<title>忠烈祠。拜林將軍遺像。</title>,<text>婦貌雖形容。英眸難恰似。何况靈臺中。尊周之大義。</text>
<title>安國賓宅。夜呼韻。與國賓及其諸子同賦。</title>,<text>故人遺世事。散髮卧朝昬。末宦輕山縣。幽居喜水村。有兒傳翰墨。看客具杯樽。明月亦多意。深宵照晤言。</text>
<title>還家</title>,<text>沂川二月水平沙。山甕新開不用賖。欵欵啼禽如有喜。庭梅欲發我還家。</text>
<title>牧友舟訪。誦其來時作。却次。</title>,<text>雲鶴不隨野喧。有時飛下戀其羣。沙邊飮啄休輕叫。或恐淸音弋者聞。範作。比余於鶴。故反而比之。</text>
<title>聞雉城李持平 載亨 訃</title>,<text>簞瓢不改樂。富貴如浮雲。獨恨㫌招日。嘉言阻聖君。</text>
<title>次李中甫 嵩鎭 見寄作</title>,<text>無事李中甫。不妨長醉昬。罷官歸澗墅。得句寄漁村。枕藉書千卷。平生酒一樽。狂歌時自放。肯與俗人言。</text>
<title>寒碧樓。次板上冲庵韻。</title>,<text>冲老詩高揭。溪山萬古幽。淸風灑絶。健筆壓層樓。大澤蛟龍氣。流年蟋蟀秋。浮生有感慨。獨立俯寒洲。其二海左生夫子。山中有此樓。道將一身否。詩與大名流。世路何時好。林泉在處幽。千秋志士恨。江水共悠悠。</text>
<title>隱寂庵呼韻</title>,<text>走魚山赤盡霜楓。隱寂庵高近碧空。九日淸樽醒醉裏。十年幽逕去來中。壇邊水石仙源接。峯頂雲霞帝座通。夜久月沉羣籟息。卧聽禪梵匝松風。</text>
<title>渼湖吟。奉觀水樓主人。</title>,<text>水舍布衾薄。村厨麥飯凉。毋論揔百揆。自足首羣陽。身守東岡固。心懸北極長。至諴無不動。上有聖明王。</text>
<title>還過渼湖。疊前韻。</title>,<text>聖心新覺悟。世界欲淸凉。縱道順勝逆。終然陰混陽。孤舟橫渡晩。尺霧障天長。野老還流涕。何緣入告王。</text>
<title>次君範松坡失期追寄之作</title>,<text>靑雲冠盖滿都城。誰遣漁翁駐去程。極目煙波人不見。傍舟津柳獨多情。</text>
<title>送春日。登淸楓溪之太古亭。會者八人。但恨一源有約未赴。席上拈韻率成。</title>,<text>壬戌送春日。楓溪太古亭。高山長自在。流水豈曾停。花落林禽語。簫鳴野客聽。故人期不至。斜日更凭櫺。</text>
<title>一源用亭字見寄。卻次。</title>,<text>白髮槎川子。靑春嶽下亭。杯樽幾年濶。鞍馬暫時停。古貌疑初見。詩談不盡聽。楓溪留後約。紅葉映山櫺。</text>
<title>雨後卽事</title>,<text>北里東隣刈麥歸。西疇南畞揷秧時。老夫獨坐無餘事。閒課兒童剪樹枝。</text>
<title>戊午秋。李君範按嶺南時。投其永川朝陽閣詩。余旣和之。後三年庚申。尹季章 鳳五 守是郡。惜此閣頹廢。修而新之。名其門曰覽德。書來求扁字。余樂聞而書副。又成一絶。並前作錄。往要揭君範詩板之左。盖恨不獲登覽。竊願載名其間云耳。</title>,<text>鳳去臨臯問幾秋。朝陽名在但虛樓。使君自是丹山羽。雕飾朱欄映綠洲。</text>
<title>壬戌七月十五日。到臨津。李兄君美 瑜 父子。與簫客從焉。夕後與諸君。爲泛舟遊。以明日陰晴難卜故也。月色如晝。江光接天。呼韻各賦。</title>,<text>壬戌之秋七月時。泛舟三五月如期。昔人已去吾儕在。此地由來赤壁奇。遊賞今宵宜盡興。陰晴明日也難知。煙波極目連天濶。欲擧匏樽有所思。</text>
<title>次李進士存吾 在 韻</title>,<text>好是良宵遊興深。奚論廣岸與坡岑。江山風月終天地。壬戌光陰等古今。吾取地名元好事。子誇年甲亦多心。人生夢幻神仙妄。都付樽前一醉吟。吾遊尋赤壁李年同蘇仙。故頸聯云。</text>
<title>哀所騎馬斃</title>,<text>憐渠馴健可乘驂。十五年前自濟南。關嶺拖鞭臨巨海。白山停轡俯深潭。貧家莝豆腹難飽。長路驅馳力不堪。老子支離還覺苦。半生騎鬣已埋三。</text>
<title>自林里復路。次晦材贐章韻。</title>,<text>天地無私意。神明有赫臨。如何九原下。寃恨廿年深。絶海餘殘命。窮鄕秪苦心。去留難盡意。寒日動悲吟。</text>
<title>登拱北樓。次板上韻。</title>,<text>袞袞時憂欲白頭。遲遲行邁自南州。寒天馬繫岸邊柳。落日人凭城上樓。將子慈鴉歸野樹。忘機白鳥泛江流。逌然一笑新詩就。歲暮猶堪慰倦遊。時余得兒還鄕。故第五云。</text>
<title>領新得兒還家。用丙辰南遊還家韻。志感。</title>,<text>無兒固傷悲。有兒亦傷悲。老親在堂日。常悲兒無兒。</text>
<title>無騎歎。疊前哀馬斃韻。</title>,<text>老夫無力出無驂。向者東西又北南。駿馬不來空死骨。眞龍閟跡只寒潭。詩書敎子坐還可。杖屨尋朋行亦堪。但恐煙塵疆內動。手持雄劒發歎三。</text>
<title>次牧谷子和丹丘守十月望鳳亭分韻之作</title>,<text>今年秋七月旣望。老夫手弄赤壁月。赤壁淸江似黃州。連夜扁舟任飄突。豪情壁勢兩爭高。醉興江波共不竭。更闌枕藉舟中睡。不覺江天已明發。後遊曾期牧谷子。黃驪亦名山水窟。不意同病不同遊。誰道吾儕有仙骨。空敎老婦藏斗酒。愁見明月上林樾。丹丘太守牧谷弟。是日公事擺卒卒。三年修鍊服丹砂。一夜歡娛生黑髮。佳人前導愛子後。鳳棲亭上歌聲滑。江流有聲月輪高。木葉凋霜山影𡵉。樽前分韻賦長篇。朗吟驚起危巢鶻。郵筒傳來牧谷和。鏗如鐘撞應鼓伐。而我名區宿債重。久逋那辭百杯罰。江湖一疾逼竆陰。幾歎山川苦難越。神仙物外期晼晩。歲月人間去飄忽。佳辰又負歡會團。獨夜那堪愁坐兀。舟遊不必用秋冬。白月淸風長不沒。雙潭春水泛汗漫。十洲笙鶴來怳惚。牧翁晩節欲懸車。漁老中年已還笏。相携亦有好詩伴。勝遊何曾一事闕。風流使君笑迎處。二樂樓頭山雨歇。翩然振衣千仞岡。俯視塵寰足甕蠍。</text>
<title>望北亭。次姪孫相定投示韻。</title>,<text>人間要路已難思。戀主誠存視扁楣。是處三年曾望北。今來十日更憑危。風波漢水何嘗定。舟楫斜陽杳所之。一紙傳時開老眼。吾家小子亦能詩。</text>
<title>淸心樓遣悶</title>,<text>江湖觸目揔憂端。是處登臨乍解顔。襯檻澄明千里水。當簷嫰綠幾重山。炎天赤日簾㫌外。亭午淸風几席間。安得手飜波萬頃。灑沾枯畞桔槹閒。</text>
<title>贈新昌守郭載雄 鎭緯</title>,<text>前歲哭吾姪。歸途訪子衙。重逢惟涕淚。陳迹有山河。東閣淸樽酒。西風黃菊華。明朝相別後。何處更相過。</text>
<title>謝恩副使柳陽輝 復明，書狀兪大哉 宇基。各送牋。求別語。率爾寫贐。</title>,<text>悠悠萬古一丘塵。富貴消沉凡幾人。君去試看淸聖廟。首陽山色碧千春。右副使悲歌慷慨語成陳。行李平安祝不新。但願吾君持晩節。歸裝如洗鴨江濱。右書狀</text>
<title>悼閔掌令士衛 翼洙</title>,<text>時事堪流涕。如何子又亡。傳家有詩禮。閱世幾滄桑。爽論長河决。高標美玉藏。從今好義理。誰與更商量。</text>
<title>哀洪盛仲 幷小序</title>,<text>冬初。余歸自湖西。易安子之訃書。已留案矣。設位一慟。仍思昨年聞橡亭子之訃。與子會哭於近汀。而同有悼亡之作。今又哭子。里閈之知音盡矣。獨余白首巋然。當作何懷。聞葬期在近。而病不能臨壙。遂步昨年韻。遣致靈筵以替薤歌。子其知也耶。其不知也耶。嗚呼。痛矣痛矣。前春溪上百花香。與子長號二橡堂。此日獨悲風雪裏。異時誰復悼吾亡。</text>
<title>丹守以詩招隱。盖悶余孤寄欲還驪上也。答之。移寓酒泉時。</title>,<text>旅泊那無屋。登臨况有樓。始焉爲歲計。終欲忘吾州。水接仙巖近。山連桃岸浮。煩君莫招隱。遲我飮淸流。余之此來。盖爲飮泉治疾。三年留住計。故末句云。</text>
<title>自橫亭 卽船上彩閣。</title>,<text>不作濟川用。徒爲遊客供。春天愁倚檻。風水暮重重。</text>
<title>夜聞兒子讀書。有感。</title>,<text>昬眸白髮厭燈明。病枕無眠夜幾更。萬卷腹中平日願。卧聽兒子讀書聲。</text>
<title>將向邀仙巖。路上。家奴跌。碎酒壺。</title>,<text>病餘倍惜春將盡。興發渾忘歲大無。造物似嫌遊事侈。小奴顚碎酒泉壺。</text>
<title>李煕卿哀章</title>,<text>身退名高人仰止。學成行立世推之。聖時歸化君何憾。只爲儒林世道悲。</text>
<title>次蔡君景洪 希範 錦城壇韻</title>,<text>溪上愁雲覆古壇。空山鵑哭數聲殘。遊魂定在淸泠浦。門閉遺墟夜月寒。</text>
<title>聖考諱辰。年年有雨。今日則久雨新晴。於昭在上。益用感歎。用前日諱辰韻。</title>,<text>旱則甘霖霖則霽。深仁等是念民艱。嗚呼今日知何日。白首孤臣淚自潸。</text>
<title>醉石鄭聖瑞 羲河 吾黨所倚重者也。余與晩交。世分旣篤。情好亦深。今遽傾逝世運之厄。豈但私慟。病阻奔哭。遂成一絶。送置靈筵。少洩余悲。</title>,<text>陶翁醉老學俱優。衰世高標冠士流。並奪同時天底意。斯文一脉恐長休。</text>
<title>酒泉舊居。次唐韻。</title>,<text>中秋晩野芳稀。江上霜高木葉飛。最愛手栽庭畔菊。笑迎林下主人歸。</text>
<title>春川道中。偶吟。用梅月堂韻。</title>,<text>久欲休吟詠。終難吟詠休。出門見山色。下馬聽江流。裏亭臺敞。溪邊花鳥幽。此時無好句。何以答淸遊。</text>
<title>次說澤。用淸陰高山驛鐵嶺兩絶韻。</title>,<text>溪上靑林林下屋。高山驛在鐵嶺隅。古人不見磨天外。到此已言風土殊。白頭衰涕又登危。尙憶離親去國悲。兒輩欲知吾謫處。天涯極北亂雲垂。</text>
<title>途中呼韻</title>,<text>千里尋眞興。飄飄入碧空。山明一雨後。路過百花中。駐馬聞流水。披襟受晩風。金剛雲外聳。詩句欲爭雄。</text>
<title>自摩訶衍。送少輩。向毘盧峯。獨踰鴈門岾。</title>,<text>五宿摩訶衍。歸途首每回。他時紅葉裏。佩酒可重來。</text>
<title>石林幽居。次姪孫相翊題壁韻。</title>,<text>勝地無常主。由來居者閒。吾知汝胷內。自有一江山。</text>
<title>奉和內兄韻</title>,<text>旅舍兄飢日。炎天弟病時。淸風向夕至。疎雨立秋期。鵲睡靑林靜。蟬鳴白日遲。悠悠置不問。無事弄孫兒。</text>
<title>慶安驛西。見汝五台入地。感吟。</title>,<text>風露凄凄星隕空。五更臨壙白頭翁。遠來一哭非私慟。此世何由得此公。</text>
<title>訪虞令于東營口號</title>,<text>客到轅門不道名。閽人急報野人行。元戎手拂長髯笑。滿座春生細柳營。</text>
<title>疊</title>,<text>老夫於世已無名。山水中間自在行。謾興詩篇亦多事。年來漸不費經營。</text>
<title>野鸛</title>,<text>野鸛如雲鶴。近之麤醜見。君看邪渾賢。畢竟露眞面。</text>
<title>扶江李君定甫 文祥 新齋。其從兄儀韶 鳳祥。亦至。用唐韻。</title>,<text>新齋小築水之濱。花樹重回舊日春。倘起爾爺同唱和。故都興廢不悲人。</text>
<title>承別諭進住東郊。次兒輩韻。</title>,<text>深宮虛席日。荒野降綸辰。豈忘君臣義。曾無學業新。王家多吉士。漁社一閒人。三䟽仍辭退。江湖凈不塵。</text>
<title>住郊一旬。不得入見。留䟽將歸。胷中若有慨然不豫者。適簫客李德萬來見。携到望北亭。使吹一曲。又一慨然。用陽明妙高臺韻寫懷。</title>,<text>堯舜君民早唾拳。白頭難得一瞻天。隨來簫客聲如怨。望北亭高夜不眠。</text>
<title>夜卧不寐。疊賦。</title>,<text>曾無大踢與麤拳。廉節粗思保我天。反省此心還可笑。徑歸何事不能眠。</text>
<title>江陵閔進士載文。書求詠芝窩題詠。賦寄一絶。</title>,<text>放浪江湖三十春。瞻天有路卻逡廵。歸來怵惕心如病。遠愧商山高卧人。商山。卽其所居山名。</text>
<title>舟還上游。次尹梓韻。</title>,<text>遲迴一棹倚滄波。回望終南霽色和。縱有微誠天不照。也知臣罪積來多。</text>
<title>疊</title>,<text>梧翁昔日釣淸波。屛處危時氣象和。仰德名村知不偶。祗今喬木夕陽多。</text>
<title>韓奉事謙甫 光朝 輓</title>,<text>宦途蹭蹬一科難。詩酒風流兩鬢斑。旅櫬扶歸孤子哭。故鄕無宅但靑山。</text>
<title>次原牧李近甫 光運 舟中見思作</title>,<text>扁舟無補聖明朝。三十年前舊憲僚。白首不知君父面。黃金豈稱野人腰。駑才不足追騏驥。俚唱何能答濩韶。惟有一心繫京闕。送君西上更增怊。</text>
<title>讀凝軒 李陽伯號 稿。有壬寅南竄時。懷余北謫一絶詩曰。土門江水日東流。萬里孤囚對白頭。當日封章拚一死。茂山何異漢南樓。令人吟諷感涕。遂步韻。</title>,<text>南荒北塞昔同流。君已黃泉我白頭。死者何悲生益苦。幽吟歲暮倚江樓。</text>
<title>愛蓮亭。感吟。用板韻。</title>,<text>瀟灑官亭昔賞蓮。玆州賴有使君賢。十年人事還堪涕。四月池光尙可憐。落筆淋漓詩入板。浮波㶑灧酒盈船。今來行樂無尋處。惟見隨風柳絮顚。曾於庚申首夏。遊此。其時故友宋聖章爲地主。遊事甚樂。與余俱有詩。手寫入板。尙在壁上。令人一涕。</text>
<title>水原東軒次板上韻 是州。卽祖考曾莅處。</title>,<text>先朝才雋盛儔朋。吾祖玆州任股肱。遇事自能別盤錯。爲治曾不局䂓繩。威鋤吏惡如除草。仁雪民寃似釋氷。在抱兒孫今已老。桐鄕此日感懷增。</text>
<title>宋聖欽 堯輔 輓</title>,<text>古來榮祿世爭憐。老得腴官孰脫然。看子箕城投紱去。高風眞不忝名賢。</text>
<title>至月二十日大雪後。又大䨓雨。卽開霽。</title>,<text>雪後飜盆雨。雨中掀地䨓。雲空俄霽色。星漢正昭回。天變何曾盡。人爲有召來。惟祈我聖主。深拱檢靈臺。</text>
<title>除夕。用蜀州韻。</title>,<text>除夕曾多墓下眠。晨興霜露氣凄然。如今衰病江邊卧。香火空山又一年。</text>
<title>到甓寺。直登東臺。</title>,<text>寺畔高臺面勢團。瓊林琪樹滿江寒。山僧莫掃階前雪。留待今宵月上看。</text>
<title>夕飯。參齋僧數十人。吾年最老。</title>,<text>齋飯禪房一席團。老夫參坐磬聲寒。大監俗號非吾願。爾輩從今首座看。</text>
<title>槎川李一源輓</title>,<text>莫道文章一小技。槎翁名字滿吾東。百年身世詩中老。二品官銜度外崇。</text>
<title>舟下廣津</title>,<text>輕舟晩下廣陵津。霧罷終南氣色新。堯舜君民虛宿志。狂歌一曲太平春。</text>
<title>淸心樓。用牧隱韻。奉李侯 衡萬。</title>,<text>靑靑野麥際天端。喜動男聲與女顔。何處老翁繫舟楫。新來賢守管江山。千家綠樹軒楹外。四月淸風几席間。政著愛民民不捨。休言田里賦歸閒。李請寫淵明歸去賦。余辭焉。</text>
<title>夕到甓寺。諸君俱會可喜。疊前韻。</title>,<text>徑轉遙瞻老檜端。亭亭白塔倚孱顔。高臺擬償淸宵月。快閣先看薄暮山。賓友盡傾水南北。磬鐘時響寺中間。浮遊方外皆君賜。一任漁舟來去閒。</text>
<title>陰竹宰李元靈。用端字投寄。卻和。</title>,<text>滿紙雲煙落筆端。幾家屛壁爲生顔。爲人自有神仙骨。隨我曾遊太白山。淸靜宜居民吏上。溫良難得士流間。採薇一幅要君手。此意須知非等閒。要元靈畫西山圖故云</text>
<title>陰竹宰期不至</title>,<text>當軒綠竹欲成林。近戶靑蕉已展心。溪上待人期不至。夕陽高樹一蟬吟。</text>
<title>又次陰竹宰</title>,<text>何曾一事掛心端。雲去鳥來揔好顔。經世無才惟閉戶。瞻天有路遽還山。生涯不出三農外。浪跡將收一壑間。爲向雪城使君問。使君何似此翁閒。</text>
<title>射帿罷。出見秋耕。歸看家中婦女舂租。</title>,<text>時平𤱶畞老無功。才拙經綸但事農。日暮石田看播麥。歸聽山婦夜深舂。</text>
<title>枕戈亭</title>,<text>中州胡羯尙紛紛。老將橫戈氣吐雲。烈士何關身後事。三忠北塞死無墳。</text>
<title>送說兒龍門遊觀之行</title>,<text>龍嶽看楓我後時。憐渠逸興往如期。山僧相見如相問。來歲花開去賦詩。</text>
<title>東臺歸路。煑花笠巖。樂村子李幼文以小艇。領季弟及兩郞追至。</title>,<text>鳥語煙林鷺起沙。故人知自水西家。纔看小艇回孤棹。已見輕輿度百花。</text>
<title>卽事</title>,<text>耆所新來燈節米。又兼藥債靑銅緡。不爲遊樂更何用。好是綠陰芳草辰。</text>
<title>聞家人織聲喜賦</title>,<text>朝來觀稼野中行。歸聽閨房有織聲。我欲以玆遺我後。不須塵世慕浮榮。</text>
<title>舟上淸樓悶旱。用牧隱韻。</title>,<text>今玆之旱緣何端。我欲問天時擧顔。安得手傾銀漢水。不堪憂並終南山。勤勞聖主春秋晏。奔走諸公夙夜間。遊食遊衣知有愧。江湖三紀飽淸閒。</text>
<title>疊</title>,<text>羣賢濟濟滿朝端。胡使民憂上聖顔。幾度郊壇趨袞冕。八方牲幣走河山。精誠可格神明際。哀痛頻形敎令間。𤱶畞微臣亦有罪。但瞻雲漢賦詩閒。</text>
<title>喜雨連日。又疊前韻。</title>,<text>萋萋野色碧無端。非復焦枯昨日顔。浹洽夜來千里雨。微茫天際幾重山。民憂已釋龍樓上。邦慶應揚鷺列間。門外水田謀去草。老夫身世未全閒。</text>
<title>牧友用前韻。略述近日悚懼之情。殊得詩人溫厚之意。遂感而次之。</title>,<text>古人紳笏立朝端。百僚肅然爲整顔。獨恨吾君遲作相。未令邦國重如山。忠看北闕鞫儒日。公著西藩考績間。自謂經綸非我事。江湖欲保暮年閒。向年庭鞫䟽儒也。以判金吾䟽諫見罷。爲西伯時。貶下當宁私親不治之吏。故五六云。</text>
<title>喜晴又疊</title>,<text>田家一雨洗憂端。色色新晴揔好顔。樹杪浮來還白日。天邊簇立幾靑山。農人笑語平蕪裏。舟子行歌浩淼間。甘澤雖遲豐可驗。老夫高卧小堂閒。</text>
<title>和牧窩昆仲憂慨時事之作</title>,<text>羽衛行宮䨓雨繁。回鑾是日恐侵昬。江湖白首危明主。負罪曾無進一言。</text>
<title>疊</title>,<text>明庭議謚節文繁。曉入諸公退逼昬。獨有元臣招不起。倘非緣病或難言。聖上以私親加謚。會諸臣庭議。獨兪相命招不進。自上震怒。特命付處。旋因承旨李之億匡救反汗。仍加之億一資。以其月廿七日。親行告由祭于新宮。是夕䨓雨非常云。</text>
<title>疊前韻。奉牧友。</title>,<text>事關追報豈嫌繁。聖德曾無大義昬。可惜老臣憂愛切。不趨君召又無言。今番加謚事。雖未知爲第一義。亦不知其大有累於聖德。爲大臣者。必欲引君當道。則正言匡救。不然則承召議謚。宜無不可。而不彼不此。無端違召。近於占便宜。前詩語有含糊未暢。故有此追作。未知高見以爲如何。</text>
<title>癸酉七月二十七日。牧窩，樂村，蟾村 閔遇洙 三君子。與士景 李星鎭，叔平 金坦行，順之 閔百順，簡材。自州岸同舟而來。先是。余與三君子。議欲遵宋時洛陽耆英會故事。爲驪江耆會故也。先會敝廬者。亦依耆英第一會。會于富韓公宅前例也。其設座進案行酒。俱以年次。其朝夕食。各不過五味。亦用耆會前例。而午饌亦不過五味。以耆會前例。器數太繁。故減去六分之五也。金汝仲，申匡仲 㻒，金哲行，李宜敬，金致大諸君。亦來在座。竟日盡歡而罷。有詩二十餘首。余用富韓公古絶兩韻。牧窩用文潞公律絶兩韻。蟾村用溫公律韻。序文則屬蟾村。亦依耆會溫公作序之例也。</title>,<text>吾鄕古黃驪。上游最勝地。山水極秀麗。人士所都會。然求年齒尊。其人亦稀貴。下不出梨湖。上不過甓寺。其間得四人。書名以齒次。昔有耆英會。今爲吾輩事。吾輩契好深。半生同遊藝。余年適七十。耆司霑君惠。何處可成會。水濱與山底。何物可助歡。蔬果間酒醴。會從今日始。循環期無止。年齡讓一老。德行推三子。圖像有前例。詩序非徒爾。堪與洛陽會。幷傳千百祀。高梧嘒嘒蟬聲滿。小閣翩翩燕舞雙。此會年齡吾稍長。三君德行世皆降。</text>
<title>二十八日早朝。四老同舟。將向老牧宅。舟中用溫公韻聯句。</title>,<text>溫然四座欲生春。退漁。 篷底披襟樂更眞。疎雨送凉還自適。老牧。 扁舟買醉豈云貧。滄波沿泝消長日。樂村。 談笑聯翩會衆賓。梨浦餘歡成次第。蟾村。 風光隨處好留人。退漁。</text>
<title>用溫公韻</title>,<text>諸老團圍一座春。相看氣味揔淸眞。歡遊未肯辭衰疾。薄具何曾道窶貧。白髮蒼顔誰是主。靑山綠水互爲賓。營堂未敢留形可。詩序同傳示後人。</text>
<title>蟾村會對案余落齒。牧谷戲以褻語。主人獻䂓。牧谷謝失。微失亦䂓。䂓卽摧謝。儘是美事。不可無記。遂用雙字。</title>,<text>初筵秩秩終筵肅。侍立擎杯童子雙。諸客整襟無雜語。蟾翁䂓失牧翁降。</text>
<title>又和蟾樂投示。次文潞公排律之作。</title>,<text>蟾樂先生曾罕出。同鄕不見七年春。一朝忽起閨中秀。幾處來爲席上珍。水濶江湖憑棹迥。泥融野路跨牛頻。閒居久悟流通理。勝集多延老大賓。危坐不欹如對塑。警言時發足書紳。何徒賁我耆英會。所樂能推以及人。喜蟾樂能靜而動。與人同樂而作。余常病其過於守靜。戲以閨中處子。故第三云。</text>
<title>甓寺耆會。以賞心樂事分韻。余得賞字。</title>,<text>高眠丈室中。飽飯禪樓上。好月東臺明。五更吾且賞。</text>
