<title>丁未八月。夷山邑人來送于終浦驛。口號贈別。</title>,<text>邑子隨我來。送之終浦驛。臨分不忍分。相對淚雙滴。</text>
<title>二月十八日夜。夢到一友家醉歸。得一絶覺記。</title>,<text>客散樽空日暮時。爲搜餘酒故遲遲。醉歸不覺烏紗落。怕有攔街拍手兒。</text>
<title>二月二十日夜。夢見亡室。宛若平昔。覺後不堪悲悼。感成一絶。</title>,<text>夢裏容顔覺後悲。笑談猶記少時姿。可憐偕老平生約。捴入重泉不盡思。</text>
<title>是夜倚枕。旋又着睡。亡室復來入夢。</title>,<text>一枕中宵再夢君。夢中誰識死生分。嬌容嫩語醒猶記。淚入春山滴曉雲。</text>
<title>次地主吳德斗宬 見示韻</title>,<text>攢翠奇巖隔世喧。鬼呵神護鎭山門。化工若費雕窪巧。可使遊人不用樽。右攢翠巖韻白日傳燈布地金。妙香消篆想淸心。秋風倘遂尋眞計。天棘江蓮爲一吟。右贈上人韻</text>
<title>楊掌令子瞻 顯望 栽菊滿庭。間植白鶴翖數三叢。作一絶以寓興。盖以鶴譬菊以示。因和其意答之。</title>,<text>鶴擧冲天菊地生。憐渠受性儘皆淸。固知動植元他物。恠底何人混作名。</text>
<title>送濟州牧伯李君瑞 喜龍。甞見佔𠌫齋公集中。有乇羅歌二七首。卽其意衍之。爲三七首。</title>,<text>憶曾淪謫在箕城。喣沫相資若弟兄。存沒百年牢落盡。兩家喪戚一般情。玉節前年鎭海東。厲堦何事簇讒鋒。嗟嗟行路難如此。公論由來亦不公。孤島微茫海國遙。仙山萬古欝岧嶢。壯觀自是男兒事。莫把離魂枉自銷。盤錯由來利器分。磨崖幾處播遺芬。平生忠信神明鑒。已覺滄溟捲瘴雲。世故駈人苦未擠。幾多中歲久離睽。驪駒一曲三年別。淚落尊前惜解携。東國南爲中國西。漢挐山與華山齊。試登第一峰頭望。蒼翠依依逈不迷。甞聞海客談瀛洲。烟浪微茫不可求。自是君身有神骨。雲帆直掛到仙邱。海外名山有漢挐。蒼蒼萬古鎭耽羅。何須買骨千金費。天馬年年自渥洼。楸島蒼茫浩渺中。往來於此候便風。㐫徒枉自憑天險。千載猶傳上洛功。毛興三穴地鍾靈。太史當年奏客星。才俊本無南北異。幾多鴻漸賁王廷。朝天仙舘壓滄溟。來往年年閱使星。想得紅粧呈百媚。解敎新伯醉魂醒。飛閣流丹天半橫。不知何代始經營。揭名弘化誠非偶。要暢仁風及遠氓。弘化閣南觀德亭。敷文閱武意丁寧。試看鯨海狼烟息。包虎從今不用兵。南北三千里有餘。山長水遠少來魚。堪嗟兩地平安信。祗是春秋鴈足書。千林柑橘帶霜寒。包貢年年侈御盤。自是封餘分故舊。幸因估客寄金丸。貝闕胎寒老蚌精。琢成鸚鵡色玲瓏。煩君寄與淸狂客。異日何妨共醉醒。惟疾之憂久未醫。鹿茸鹿角最爲奇。長安藥肆求難得。珍重深恩倘遠施。靑陳枳朴與桅香。天地精英萃一方。兒病年來吾亦老。肯分良劑起膏盲。仙山春菜綠敷腴。㝡愛香簟臭味殊。野老慣知蔬筍美。一封能寄故人無。無灰珍木海中生。入手鏗然玉有聲。腰下佩刀堪作欛。爲煩須寄兩三莖。琪樹連雲處處皆。㝡聞山柚絶稱佳。削如紫玉堪爲九。宜對琴書靜裏排。</text>
<title>夜坐呼韻口占</title>,<text>雲散天高霽月流。爲邀從事自靑州。金風玉露將分夜。丹葉黃花欲暮秋。</text>
<title>校生李義善携酒來見。題詩以贈之。</title>,<text>落日秋風酒一樽。悠悠世事不須論。語闌分手好歸去。明月澄江江上村。</text>
<title>仲秋二十日。赴橫江諸人之邀。舟中呼韻。走筆。</title>,<text>紅葉漫山浸碧流。主人多意辦奇遊。明沙竟日醺醺醉。何似山陰雪夜舟。霜落蘆花鴈背風。晩秋楓葉妬顔紅。別有龍眠難畵處。暮江踈雨淡烟中。橫山居士儘風流。白酒黃雞喚客遊。報道前山霜葉好。一江風浪艤孤舟。鴈帶秋聲落晩風。水烟山靄爛靑紅。沙頭酒盡歸來暮。倚棹行歌玉鏡中。田家風味㝡秋風。魚蟹肥時棗栗紅。新稻穫來新釀熟。一村烟火太平中。庭菊含霜葉語風。淺黃深碧暎殷紅。天公忽送催詩雨。剩欲添盃落酒中。</text>
<title>自漣城松楸。路歷楊州松山。省謁外王父母墓所。入京遇雪。路中有吟。</title>,<text>危棧崎嶇石逕微。朔風吹雪灑征衣。此行不是騎驢興。只爲新年省墓歸。</text>
<title>聞尹得任家園。山花盛開。要一賞翫。題送一絶。爲借人馬。</title>,<text>聞道山花爛熳開。日移紅影上樓臺。倘邀詩老尊前飮。醉倒何妨帶月廻。</text>
<title>尹生得任送馬邀之。乘夕往叩。則趙仲卿次前韻留之。復次寄示尹生。遞與趙重卿。</title>,<text>簾㫌斜日拂花開。萬朶紅房暎石臺。珍重三杯酬酢罷。袖中贏得露香迴。一花纔落一花開。幾箇風流幾處臺。吾欲醉時君已去。可憐乘月不同廻。</text>
<title>柳靈山萬春 長元 以阿咸 名缺。得司馬。喜甚邀余。爲先生弄新來戱。以爲一日之娛。旣進作戱之後。作一絶以賀。且冀其大成。</title>,<text>萬朶芙蓉暎禁池。柳郞新得摘花歸。仙娥更報春消息。月殿新抽桂一枝。</text>
<title>柳萬春作莖字韻。以硬難押。要試和之。走筆戱示。</title>,<text>君家垂柳蚤擅名。歲歲春風長幾莖。流慶自將春不盡。一科應看一枝生。</text>
<title>次萬春寄示韻</title>,<text>香街雨洗凈無泥。楊柳梳風綠滿堤。盡日下簾春晝靜。短簷閑雀伴人啼。</text>
<title>尹泳甫 涵 園林。紅桃碧桃粉桃相間盛開。邀李粹夫 璾 及余來翫。仍與粹夫並轡而進。花下設席小酌。座中有呼韻者。醉中走筆留題。三首</title>,<text>三色仙桃小苑陰。暖霞晴雪一春深。無言各自無相妬。安得人心似爾心。雨餘晴旭轉花陰。紅碧交輝淺復深。祗恨繁華無十日。請看松柏歲寒心。花影相烘媚綠陰。重重簾箔鎖春深。殷勤爲報靑衣女。莫遣封姨起妬心。</text>
<title>柳萬春憶閔漬巖舊遊。寄示一絶。衍爲二篇答之。</title>,<text>玉作峰巒石作㙜。萬松陰裏鶴徘徊。重遊會待山花發。分付東風早報來。一派飛泉遶古臺。金砂玉礫影徘徊。山靈亦喜尋眞客。故遣殘花泛水來。</text>
<title>李上舍 涑 卜居于湖右藍田。自誇有泉石之趣。依朱晦庵武夷九曲詩。作十絶見示。和其韻寄呈。但足未甞履其地。其所吟詠者。率得之於怳惚模象。其於勝地眞面目。必不能彷彿其萬一。此何異於望長安而東笑。適楚越而北轅者乎。旣承勤索。不敢厚負。謹此步韻以博粲。強其所不知。雖犯聖人之戒。而高明之亦宜恕諒。未知如何。</title>,<text>濺沫跳珠響殷空。灣洄九曲一條通。欲知活潑流無盡。須識眞源本不窮。一曲明湖入遠望。浪頭如雪白茫茫。漁人設網隨潮上。戢戢驚魚撥剌忙。二曲淵澄匯碧潭。金砂玉礫影相涵。海門落照江村路。一抹靑烟間翠嵐。三曲花峰別有天。水衣生纈漾淸漣。還如子美靑溪住。瀼岸高齋見一川。四曲應經鬼斧開。雨淋蒼壁鏡光回。窪樽剩酌松醪滿。抔飮何須碧玉盃。五曲泓澄潭水平。忘機鷗鷺不相驚。垂竿盡日無餘事。千古桐江幷擅聲。六曲盤巖境㝡殊。道經詩卷捴書厨。興來杖屨逍遙處。玉立峰巒護碧湖。七曲蜿蜒勢若龍。奇形宛在畵圖中。草堂睡罷吟梁甫。只有知心水鏡翁。八曲玄裳刷碧池。玉簫淸囀彩烟霏。金剛臺古仙蹤斷。琪樹千年獨自飛。九曲通天有洞門。桃花流水別乾坤。朱陳故事今宜繼。倘許衰翁作一村。</text>
<title>李監司君實 世華 坡州溪堂四詠次韻</title>,<text>面面峰巒色色屛。乍看淡墨乍深靑。也知造化裁成意。爲護高人偃蹇形。右前山活屛數椽茅屋澗之濱。千古高名乃實賓。今來拭目爭先覩。盡是當年泣別人。右左街佳賓一區桑柘暮朝烟。驀起平郊翳碧圓。遮莫爲雲工蔽日。秖宜黔突驗豐年。右後村炊烟肯許樽前替戾岡。笮頭新釀剩飛觴。醉來莫怕西暉短。添線纔聞過一陽。右西崗落照</text>
<title>菁陽君堂叔年滿八耋。康健無恙。作一絶句。使諸子姪孫和進。其筆勢流動遒健。無異少時。玆敢奉次以進。</title>,<text>自少陪遊共一燈。固知神氣有淵凝。筆端力尙千匀健。地上仙應萬歲登。休言百歲若風燈。從古眞仙至道凝。桑海一籌應滿屋。碧桃長向壽筵登。看書何待數桃燈。賭博爭驚着手凝。若使朝家能尙齒。猷詢黃髮合先登。窮年兀兀費書燈。中歲摧頹坎止凝。也知造物慳高位。秪許他時壽秩登。三花樹映九枝燈。丹鼎功成絳雪凝。定看雲旗王母下。萬年瑤海許同登。據梧南郭印心燈。柱史東來紫氣凝。始信老仙元不死。肯容吾輩共攀登。</text>
<title>己巳寒食。爲省墓往漣城。諸從弟姪。迭相呼韻。口占以答之。</title>,<text>病眼昏眵隔霧重。却羞明鏡照衰容。猶餘一寸雄心在。匣裏時聞吼劒龍。臨溪擬欲起書樓。且向隣家賃小牛。山下石田宜種秫。濁醪麁飯度春秋。草草浮生閱幾時。蠛蠓人世不須悲。他年倘遇磻溪獵。也過前頭二十期。來日無多去日多。強要村酒答年華。醉餘春物挑詩興。起拈枯毫字半斜。南村北里與東隣。逢着人人盡所親。昨夜一犂甘雨足。及時蒔稼告余春。月入虛窓影漸移。淸宵痴坐獨多時。村醪味薄難成醉。裁破閑愁強覓詩。於此先人舊卜居。趍庭當日學詩書。松楸畢命眞吾分。却恐蹉跎計落虛。旅舘燈殘半壁陰。小庭明月爲相尋。也應知我無塵侶。照此平生一片心。</text>
<title>成禹鼎 重器 酒席。次叔九韻口號。</title>,<text>少年豪氣撫靑蛇。麟閣功名未足多。棄置卽今衰朽甚。一盃聊醉故人家。</text>
<title>尹泳甫 涵 家。有梅竹琴鶴之勝。徐佐郞致度 宗憲 分作五絶。次韻寄與泳甫。</title>,<text>雪裏淸香不怯風。仙葩肯與百花同。天公定奪玄冥力。饒却東君第一功。右梅階上曾栽竹數竿。瘦枝淸影剩排寒。丁寧莫道屛中物。恐被終敎㥘懦看。右竹綠綺絃中白雪吟。竹窓梅屋月沉沉。最憐風露三更夜。指下泠泠太古音。右琴九臯風唳響三霄。月下徘徊子晉簫。駕向淸都應不遠。定看仙侶笑相邀。右鶴冬靑元不怕嚴冬。暖屋爐薰養鹿茸。知是雪中春色動。洩陽偏向此間濃。右冬白</text>
<title>次尹直長靜源 泓 韻</title>,<text>布糓催春鳩喚晴。樹梢鶯語轉分明。自憐病客無情况。起聽槽頭醡酒聲。</text>
<title>柳萬春酒席。呼韻走筆。</title>,<text>第一橋東官路斜。行行乘興不言賖。天公亦識騷人興。分付寒梅欲放花。裘弊衝寒寒欲侵。漏頻催夜夜將深。歸來興滿山陰棹。靑眼高歌白雪吟。莫問梅花開未開。一春消息雪中來。奚兒報道更籌促。爲惜良宵又把盃。</text>
<title>堂弟進士禹卿家。臨城南大道。紅桃盛發。適値淸使。見而艶之。掠折一枝而去。禹卿醜而惡之。見示一絶。戱和却寄。</title>,<text>苧羅嬌艶出吳宮。旋復還魂向北風。一笑定敎胡運盡。范家何惜嫣然紅。</text>
<title>扶蘓鄭奉事益相醉默軒八詠次韻</title>,<text>彭澤歸來手撫松。偃盖童童反走龍。風至若聆淸籟韻。夜深還愛白雲封。杜詩。偃盖反走蛟龍形。○右苔庭老松簇立叢篁蔭石泉。風前踈響玉琤然。高吟大酌看淸影。不是詩仙是酒仙。右石甃風竹綺錯溝塍接短橋。農謳亦足採風謠。野人不識高低韻。只祝玄都玉燭調。右午橋農唱商船賈舶塞津迷。浦樹汀烟日欲西。爭道上灘風色惡。共依蘆岸落帆低。右馬津賈舶蘭若迢迢隱翠微。萬松陰裏四山圍。禪扉剝啄闍梨迓。凹坐蒲團話道機。右西庵訪增十里平田入遠望。晩風吹送稻花香。歸來大噱催新釀。博帶臍團䆉稏黃。雌蟹。謂之博帶。○右北亭觀稼崔崒危峰細逕通。揷雲翔舞若驚鴻。祗應咫尺淸都近。笙鶴依然下遠空。右飛鴻遠山十頃西湖墜鏡淸。縠紋纖浪岸齊平。最憐烟渚移舟夜。月在天心倒水明。后山詩。平湖墜鏡淸。○右江鏡明湖</text>
<title>過李淸州遠伯 弘廸。醉後走筆。</title>,<text>浮世功名儘倘來。一樽聊對故人開。城南此去應多地。分付斜陽且莫催。</text>
<title>聞文谷臨死吟成一絶。其詩曰。昨夢龍墀拜至尊。覺來哀淚有餘痕。今君奉旨宣恩藥。怳若當時御酒分。 吟來不勝慨然。於是步其韻以志感。</title>,<text>卄載黃扉德業尊。平生雅操玉無痕。精忠抱㤪天何故。世道汚隆自此分。</text>
<title>西谷柳友來訪。袖示一絶。步韻奉謝。四首</title>,<text>縮頸吟寒已浹辰。席門窮卷少來人。感君高義勤相訪。交道于今更覺神。去速來遲各競辰。楊子辰乎辰。曷來之遲而去之速。君子競諸。 豈知俱作老頹人。卽今落托還多味。靜裏工夫養谷神。可憐跬步若參辰。蘓軾詩。今爲參與辰。曾子固詩。相望若參辰。參卽商星也。 西谷回頭有故人。散帙時時還自慰。短篇長律捴精神。海內風塵生不辰。請纓鳴劒問何人。漢庭莫道無中策。睿筭由來動若神。</text>
<title>壬申春。來住漣川庄。歸去來辭集字。五首</title>,<text>不問泉西與壑東。出門扶策倚春風。老夫自得田園趣。日日耘荒命僕童。日向春田問老農。倦來携杖憇雲松。尋常自有琴書樂。人世何憂不我容。老不爲憂貴不欣。怡顔獨酌眄松雲。乘晨命僕尋泉遠。來去荒田獨自耘。春來時物盡歡顔。日入荊門任不關。木老遠柯猶鳥得。雲迷荒逕少人還。萬事無心感有形。倚窓還羡鳥飛庭。歸田已得樽前趣。今始知非往日經。</text>
<title>雨中。訪洪得如 九齡。酒席命韻。口號。</title>,<text>爲訪情朋冒雨來。滿江風浪眼中開。歸時秖怕纖纖濕。更促厨人進一盃。</text>
<title>春夜</title>,<text>雨洗春空月破顔。一村桃李霧烟間。眼前景色皆詩料。揮灑花牋醉墨斑。</text>
<title>晩春。與從弟侄。登屋後北麓。橫山諸人。携酒來會。</title>,<text>簇簇山花錦繡圍。爲乘春興一筇飛。隣翁亦解騷人意。故泊輕舫喚酒歸。雨餘江漲水生鱗。紅綠漫山處處均。無限風烟供活畵。故將淸料媚詩人。</text>
<title>是日。權選以八十老人。亦來會。題贈。</title>,<text>野老籬邊係小舟。漁簑釣笠最風流。吾今已作歸田賦。日夕携樽約共遊。</text>
<title>圓覺寺途中。馬上口號。</title>,<text>風輕日暖暮春時。處處韶萃步步移。自是騷人耽翫賞。何須馬上苦吟詩。</text>
<title>與沈參議汝器 枰 諸友遊佛巖</title>,<text>佛本空空石本頑。寓形生象寄孱顔。人間萬事看看燮。爾獨無心自在閑。</text>
<title>柳生 碩昌 次前韻錄示。復和却寄。</title>,<text>里斧神斤巧斲頑。風打獰胷雨打顔。空山風雨無虛日。愁雨愁風亦未閒。</text>
<title>大殿端午帖子</title>,<text>祥雲連北極。疎雨滿南城。一氣乾坤轉。三階日月明。風來琴有語。疏入皷無聲。着處繁華節。揄揚頌泰亨。</text>
