<title>冬月 七歲作</title>,<text>一片團團月。高懸萬國燈。風力雖云壯。淸光滅不能。</text>
<title>南草歌</title>,<text>牝馬行地再索來。紅鳥弁冠何崔巍。潑血餘精復胚胎。炭燄歊赫神罏開。屹屹化工費力多。瓊皇俯視興咨嗟。乃令土媼勤護呵。申命雨師時經過。會趁陽春布澤時。呀然甲坼如趍期。奇功告成代者誰。祝融鞭龍任驟馳。南維炎序好遭逢。得其氣者增歡容。陽輪轉去節幡從。玉爛砂焦金液濃。烈烈之光照欲徹。凝成一脉叢間滑。流行支節無少遏。榮衛旺張羣痾絶。發外方知美在中。背面盎粹生春風。休言禀賦嗇不豊。元氣由來此貫通。憶昔炎帝御中州。聖轍未曾廵南陬。川芎山朮盡剔搜。獨使靈芽不見收。扁佗所見似管窺。草經安能補闕遺。或者培厚生故遟。不逮當年神聖醫。世人但知臭味好。文字無徵未可考。爲是初從南方到。其名喚作南方草。人間不乏良冶氏。狀得鵝頭與鶴觜。離象實外虛其裡。楚竹得之形相似。金精復畏讎家兒。胡越一家共維持。居然制度巧且奇。肯比荼甌曁酒巵。盈園翠色逐刀飛。案上初看團露晞。入手芬芳暗菲菲。瑤凾頓覺增光輝。喬松漏却吸氣法。故者纔吐新仍納。無端唇頰乍開闔。一道靑煙生翕翕。戈鋋詞壘未成行。朱墨公堂堆在傍。導出文源潤焦膓。助瀾頹波流更長。虛帷夜月㤪婦樓。落木秋風遷客舟。破散胸中百端愁。歡伯兵威此可侔。別是頑痰恣用事。病在膈間其名痞。百脉不通四軆憊。呵欠相隨兼噎噫。醫言本源祟於濕。血行失度成滯𤁧。薑朮力微不能及。鍼師瑟縮艾師戢。勢似奸䧺蔽江旗。劉備孫權魂欲飛。枯柴燥荻自神機。八人可解萬人圍。馮夷窟上走回祿。天地東南煙一色。坐敎氛陰盡掃滌。斬敵何須煩釰戟。始知幺麽一微物。遠追吳下諸英傑。餘薰外襲是末節。尙云奇勳同覇烈。如令鍊液聽用去。白日何難生腋羽。蓬萊鰲頂縹緲處。等閑金光也不數。飜嗟視驥如視駑。鞭策尋常困隷奴。截梁爲稅計何愚。觚哉觚哉觚不觚。西方有人眼孔明。覽察多知草木名。安得與渠一題評。隨材定品同衡平。刀圭應擅第一良。海內終當傳竗方。春臺壽域百物昌。永除吾民夭札殃。謾辭豈敢著之篇。請君去看老人躔。草在南土星南天。生得其精非偶然。</text>
<title>悼權河東 緝○二首</title>,<text>暮春淸洞萃同年。上設河東太守筵。盃瀝未乾驚薤唱。欲將生死問蒼天。丹桂輝輝筒十三。天敎兩朶耀吾南。咸寧半夜霜風急。第一芳枝忽閟馣。</text>
<title>哭宋正字 履昌</title>,<text>君去何以送。天地此一慟。曾分巷南北。兩家寒溪共。已喜蓬托麻。還羞雞比鳳。壬午花發時。聯翩充歲貢。十九金始鑌。二十有五宋。少時氣如虹。直射三淸洞。小成安足云。明時當大用。手中靶故長。次第靑冥縱。人間饒是非。朝著日以閧。孤舟怵風波。泊岸不敢動。局促如斗城。三刀是何夢。聞道韶川頭。僦屋閉牖瓮。平生六經書。虛負螢牕誦。陰陰院裏槐。悵望和露種。非無太倉儲。尙阻權知俸。誰知千里駒。合着靑絲鞚。粘箕腹未充。夜齕弊櫪凍。天上樓初成。珠桷而瓊棟。疇能助擧樑。待君興善頌。修文得信人。聲價瓊班聳。回頭東海頭。日夕寒雲擁。奈何下土虛。瓊皇速汝寵。來去太忽忽。欲向天門訟。玄空福善權。老矣不善弄。當時顔子淵。千古不幸俑。歸來習爲常。累纍埋才塚。爲善乃如此。惡人不須恐。忍令乃家兒。哀哀擗且踊。兒俱未長成。長者猶角緫。况爾在世時。白髮雙親奉。他時甘旨盤。庶幾三牲捧。春輝報無緣。此恨將焉控。哀猿膓不鐵。有淚如泉湧。我聞卜子夏。親炙聖師孔。學力非不至。病眼尙瞢瞢。况無過不及。鍾情情益重。精靈想彷徨。飮別增悲痛。我欲歌此曲。不忍再吟哢。</text>
<title>輓鄭參奉 重元</title>,<text>寬如滄海重如山。頭角崢嶸不可攀。氣像遠窺懷葛際。文章高闖漢秦間。賢人自古時難遇。濁世于今路又艱。廊廟大材終草莾。士林哀涕只潸潸。脩眉廣顙自精神。天賦聦明也不貧。甘露世皆知美瑞。深淵人豈測潛鱗。桐溪詩禮傳爲業。竹嶺雲煙管有人。報道小微星彩晦。公悲私慟兩沾巾。丈夫華髮曉霜齊。蘭畹凉生語鴂鶗。楡塞蒼茫騏驥夢。竹溪蕭瑟鳳凰棲。自聞天上仙輧遠。祗恐人間正路迷。滿座春風無處訪。披帷他日耳誰提。</text>
<title>輓沈判書 檀</title>,<text>秋霜颯孤竹。星月動精神。烈烈男兒志。娟娟未䯻身。乾坤▣▣日。風雨落花辰。一死如不足。千秋有幾人。</text>
<title>輓李都事 遂大</title>,<text>曲江公議也曾聞。第二斯人第一云。文苑幾回容我輩。淸都忽作列仙羣。奚囊冷馥金剛月。蠟屐殘痕木覔雲。猿泣廣陵魂忍聽。秋風撼樹日西曛。</text>
<title>輓張錦江 璶○二首</title>,<text>鳥馴階上栗收園。錦里先生學避喧。家世只傳詩禮業。居平唯誦聖贒言。三尊俱達官差屈。百行均修孝最敦。從此千年無笑語。靑山何處掩溫溫。洛口遙違座上春。錦江消息片藤因。丁寧靜几收心訣。屬托塵樊走肉人。言中膏盲眞藥石。書留粗粕更精神。深慚孤陋都依舊。圭復如今淚滿巾。</text>
<title>輓李直長 誠中</title>,<text>悲哉晦老之贒孫。科止小科官直長。四十六年石火忙。杜宇夜哭寒江上。</text>
<title>輓成護軍 文夏</title>,<text>名祖賢爺復好兒。弟兄夫婦揔黃眉。玉懸白髮齋郞頂。春入斑衣太守巵。九五福疇來似引。一雙仙鶴去如期。彬彬章彙盈帷藿。餘馥人間也不衰。</text>
<title>輓李松沙</title>,<text>嶺樹蒼蒼海色迷。出關驄馬倦移蹄。歸來三逕松猶在。仙鶴如何厭舊棲。豸冠當日立淸朝。不說功名此寂寥。今去帝鄕香案近。只應公道在璇霄。酒債尋常行處謀。人生七十古來稀。此詩合贈詩魂去。雪滿花庄月又輝。</text>
<title>權晴沙輓 四首</title>,<text>朙時▣▣▣。南國最悲傷。故我持平宅。元同校理鄕。秋霜千古凜。朝露一時忙。地下應相賀。堅氷近遇陽。憶對高山老。其言苦似荼。權知但紅紙。持憲又黃壚。驅馬關雲暗。聞鴻塞月孤。知公愛兄篤。胡不小踟躕。貳相先生業。相傳二百霜。雲仍近大振。兄弟孰能當。酉谷詩書地。春陽水石庄。公歸又何憾。堂搆有贒郞。千里同覊宦。元來十里人。公能去城府。我乃倒倉囷。酒暖橋頭夜。詩傳海曲春。餘生猶滯洛。今日倍沾巾。</text>
<title>松月齋李公 時善 輓</title>,<text>曾聞麟趾播詩篇。華胄遙遙代有贒。左嶺落波天漢脉。南州耀彩小微躔。山河自孕淸純氣。造化寧慳賦與權。韻格孤松昂絶壑。襟靈片月印澄淵。天皇乍失含香吏。人世俄看泣玦仙。冰玉貯壺爲素履。詩書盈篋是靑氊。夢回枕上嫌偸李。起下床前恥問錢。名利一關生不識。風雲萬態思無邊。猖狂豈效竆途阮。漫浪聊追太史遷。鶴駕鸞驂齊出沒。喬儔松侶共蹁蹮。平朝晞髮扶桑日。薄暮停筇若木天。飄拂怳騰雙腋羽。蒼茫笑視九州煙。斂將剔勝搜奇跡。耕得無霪不暵田。太白山南多桂樹。永嘉城北卽楓川。寓棲却伴歸林鳥。堅坐眞同入定禪。別界不容塵半點。名園猶護屋三椽。琅玕冠曁芰荷服。蘭蕙蒔兼杜若搴。几靜牕間初旭照。更深榻側小燈懸。在天富貴身何與。從好工程志自專。手閱古文三萬軸。口評前事數千年。病猶不釋衰猶勉。寢與俱眠食與咽。擣扤春秋刪或筆。雲孫墨子後仍先。是非歷歷歸誅賞。成敗昭昭任泝沿。直討淵源希灝噩。高開壇壘黜華姸。文章正得江山助。志業渾從筆舌宣。莊叟室虛生了白。楊雄門閉草他玄。神朙龜筭爭穪緫。嚮砉牛刀未見全。霧漲晩峯成豹隱。波寒秋水學龍眠。誰知櫝裏藏良玉。堪哂街頭售澤鞭。盎粹已看春氣像。淸幽永斷俗因緣。從知科目元非願。自至朝衣亦不穿。古殿靈光留在獨。老人星宿照來偏。居然急景馳如馬。忽報虛棺蛻若蟬。百載浮生何草草。三淸行色劇翩翩。風吹靜樹無竆慟。荷死殘香不朽傳。天必福仁言足驗。兒能讀禮業應綿。祗今末學迷岐路。安得斯人起九泉。宦海十年愁醉夢。講帷千里阻周旋。一書當欬床留玉。萬事傷心壑斂船。斜日異鄕東望哭。落花啼鳥感徒牽。</text>
<title>輓權正字 一夔</title>,<text>造化茫茫與奪機。何君才命故相違。風來乍展垂天翼。霜下俄凋滿畹菲。君寵母恩俱未報。子孤妻寡更誰依。傷心曉日靑山路。想得精靈不忍歸。</text>
<title>悼孫察訪 萬重</title>,<text>母髮如霜兒作客。傍人未忍報兒亡。高堂曉日聞烏鵲。猶道兒行近到鄕。傷心忍過貞陵路。萬事如今欲白頭。只有五更寒月色。尙含遊子看時愁。</text>
<title>輓朴護軍 施春</title>,<text>弓冶相傳說肯堂。喫來詩禮似膏粱。高年玉映雙眉雪。少日蓮凝兩手香。孝子難功留逝景。佳賓猶夢醉榮觴。春山寂歷梨花落。那忍如今過別庄。</text>
<title>輓朱上舍 二首</title>,<text>平生矻矻業縹緗。藉甚名聲翰墨塲。關嶺以東豪傑士。滄溟之上水雲鄕。月朙蓬島盃淸露。春暖蓮池袖艶香。銀漢茫茫槎影逈。祗應今去覿天皇。香枕每憑夢必東。強將何語誄仙翁。鐫銘恁地看工篤。詩禮傳家認業崇。壽靳靈龜仁莫驗。名潛司馬命緣竆。全歸猶有人間恨。忍聽虀歌父子同。</text>
<title>聞權蒼雪 斗經 戚兄訃志感。三絶。</title>,<text>太白山之下。而無蒼雪翁。今年又在巳。吾道果然竆。活水雲天影。徘徊知爲誰。巖亭千古月。蕭瑟五言詩。白玉闌干曲。君王初賞春。無人隨法駕。獨召舊詞臣。</text>
<title>蒼雪齋輓</title>,<text>太白何蒼蒼。盤迴三百里。芝蘭蔘茯𦬸。杉檜桂梓杞。靑蛟與白鹿。猛虎仍封豕。積氣故扶輿。生物宜豊侈。所以冲翁後。乃有蒼雪子。藍田朝日出。藹藹煙光紫。聦明男子身。天質固已美。况復得賢師。蔚爲豪傑士。深交托古書。與之同生死。爲文去雕餙。萬折東歸水。猗蘭不掩香。風度幽谷裡。河陽二三月。灼灼桃與李。齊言五彩禽。不合棲於枳。磊落靑雲志。豈以白首弛。果然矍鑠翁。上馬騁䧺視。天池杳空濶。大翮倐南徙。霜蹄血成汗。周道直如矢。三弟已着鞭。四弟復接趾。高門私桂枝。擧手皆珠蘂。是時東海國。聖人開新理。天生二三臣。幷世若相俟。淸朝卿相位。坐者復誰是。擧人似𥳽楊。在前揔糠粃。紛紛丹轂者。能不靦然恥。中間錫豸冠。曾未終朝裭。逖矣高山舘。何事獨憑几。晩被瀛洲選。一言媒讒譭。名雖編邇列。身未登玉戺。平生經濟志。寂寞酉溪涘。閒中無俗物。左右唯書史。名高未或攀。道廢天所使。傷心雙棣華。中道相繼委。獨也靈光殿。巋然人仰止。如今又哭公。萬事長已矣。玄機乖福善。奈何蒼蒼彼。世人多狹中。對面九疑峙。安得公襟袍。灑落無塵滓。世人多嫉妬。百端毁勝己。安得公好善。人技若己技。世或冒儒名。往往背宗旨。豈若公行誼。實地躬踐履。溪門弟子編。足以示千禩。世或學爲詩。剽竊堪唾鄙。豈若公竪幟。嵯峩壯城壘。五言蒼而古。駸駸昔人軌。川城諸學子。文圃失耒耟。山南七十州。誰復執牛耳。神鱗去大澤。鰌鱔沾沾喜。靈鳥藏九霄。鴟梟恣張觜。凉風吹九畹。厚霜欺蘅蕊。羣芳日變化。荃蕙與茅比。金橘幻爲枳。香亦不可恃。良田蕪不治。寧望頌薿薿。節莠偏雨露。無計快芟薙。公宜厭此世。此世難托只。天帝獨召公。仙官捧詔紙。空中八琅璈。引商雜流徵。迢迢碧雲路。蕩蕩平似砥。不似世道險。逼側而碨礧。雕欄十二重。春色今何似。花香襯鸞輿。前席詞臣跪。淸平奏新曲。歡樂正未已。有時睨故山。寧無悲緖起。君看太白峯。明月孤輪倚。</text>
<title>輓孫持平 德升</title>,<text>旗皷崢嶸翰墨塲。少年高價擅長楊。乘驄忽若前生隔。友鹿初非此世忘。起傍崇阿惟有桂。卧聞滄海累爲桑。傷心書幌塵埃滿。南國于今戴氏亡。</text>
<title>輓丁寧海 惟愼○二首○道沒商州</title>,<text>忠原道上馬如飛。十載容顔咫尺違。望裏征鳧秋渺渺。別來歸蝶曉依依。商山二去隨黃綺。華表重回是令威。南國風流今寂寞。可堪吾道日看非。名閥巍科發軔初。不言腰下但銅魚。近來此路人間狹。自是君家嶺外居。才未大施長已矣。仁無遐壽果何歟。福田尙種綿綿慶。寶樹三枝見善餘。</text>
<title>輓張上舍 瑢</title>,<text>春遊玉井擷英旋。文彩堂堂未易肩。大老一鄕尊齒德。幽居半壑好山川。路歸地下兒雙候。禮變人間歲再遷。先契祗今零落盡。可堪孤露淚如泉。</text>
<title>輓李上舍 㻋</title>,<text>松月亭亭自一輪。餘輝分處更精神。楓溪卜築終成隱。蓮榜題名未是伸。俯仰合宜喬得梓。去來爲適火傳薪。古心古貌仍千古。應厭漓風日喪眞。</text>
<title>代人輓前人</title>,<text>甓舍煙生十里光。一雙珠價擅圭璋。可憐坏土深於櫝。次第奇珍萬古藏。荷衣蕙帶逈超氛。谷底幽蘭只自芬。泉下非如浮世狹。故邀司馬賁修文。</text>
<title>輓鄭正言 行五</title>,<text>玉帶溫容鶴立癯。也應淪謫自淸都。文章早學書間蠧。科目飜同塞上駒。蕭瑟郞班頭易白。崎嶇贒路轂難朱。欲知鳳去奇毛在。請向庭前看碧梧。</text>
<title>輓洪翊衛 相民</title>,<text>荷塘寂歷竹溪虛。栗里黃花又故墟。向日朝廷輕嶺嶠。近年冥府嗜詩書。巖如隱德眞孤鳳。人訝私聞是伯魚。慟哭藍輿無路擧。向風還欲進蒲葅。</text>
<title>輓金 宅俊○二首○代人作</title>,<text>生同年己卯。居隔水西東。竹馬曾爲友。麻畦幸托蓬。業文終白首。嬰竪忽玄宮。泣聽斜陽笛。人間獨此翁。論交朋友義。序族弟兄行。琢業三餘日。摳衣一講堂。靑春行舊巷。白首守東岡。隔水猶嫌遠。那堪閉壤黃。</text>
<title>輓李芝圃 禧傳</title>,<text>惠連康樂本才名。二子誠難弟與兄。壽福必穪尊大老。榮光爭慕乃家庭。那知奇𥚁連雙璧。慘見同時擧二旌。可惜從今無善士。不堪揮淚強書情。</text>
<title>輓李新溪 天相</title>,<text>淸朝賢路窄。似子亦林泉。至行居憂善。眞工飭己專。詩書禮是業。七十二其年。玉樹看餘慶。一枝已日邊。</text>
<title>輓黃參奉 昌述</title>,<text>喬骨松姿特地孤。丹邱况乃檀仙都。尋常詩債行仍有。八十科名古亦無。東部豈云宜白首。南躔忽去入黃壚。空山落木秋全冷。蕭瑟風流與葉俱。</text>
<title>輓申順興 必淸○二首</title>,<text>玉以爲容。錦作肝。聲名藉藉擅才觀。神鱗重化滄溟濶。彩鳳孤飛枳棘寒。李白百篇仍大斗。王喬半夜忽虛棺。星臺政報文躔晦。寂寞人間翰墨壇。一慟烏山淚未乾。哭君今日更汎瀾。交遊謾入中宵夢。文彩何緣此地看。天上鳧歸雲影逈。遼陽鶴返月輪寒。蓮園舊客頭渾白。愁聽春湖咽暮灘。</text>
<title>代人輓前人</title>,<text>甥舘棲身似隔晨。雪襟冰韻識淸眞。黃槐南省蹉跎路。白首西湖寂寞濱。露唱忽驚孤旐曉。風流誰管滿樽春。人間一月終難借。孝子哀哀哭壽辰。漢水催孤棹。歸心趁壽杯。行裝猶道路。消息忽泉臺。鳳谷踈煙歇。雞山積雪堆。詩魂何處喚。深恨問寒梅。</text>
<title>續夢中句</title>,<text>乙酉仲春下澣。余假寐於水閣橋之僦舍。夢入一洞。蒼松夾路而齊翠。中有一株。長可五十丈。大可十圍。偃然橫卧乎小峴之上。白雲紫霞。往來於其間。余倚柯而吟一句曰。松卧空山閱幾霜。未及卒篇。傍有靑僮。前而揖余。余問之曰。洞名云何。對曰。昔有一道士過此洞。見此木之卧而老且大。歎曰。樹哉樹哉。在於深山絶壑之中。不被斧鉅之侵。是謂元吉。宜名曰元。由是。後人傳之曰元洞。且東指一岑曰。子欲寬胸次。宜上第一峯頭。余曰。諾。仍信步而行。脚力覺疲。殆不能上。俄渡小溪。有一藜杖斜植於白沙之邊。余卽取而杖之。身輕氣淸。兩腋生風。轉眄之間。忽不知自至於峯巓。距天僅尺許。手可捫星辰。浪吟久之。俯視下界。曠落空廓。一望無際。煙光霧氣。籠絡乎宇宙之間。不辨峯巒江海之高深。唯有一點蟻封。隱見於西北之隅。問之靑童。靑童曰。崑崙。仍揖而退。不省所之。余亦蘧然而悟。卽一奇事也。遂追續夣中之句以識之。松卧空山閱幾霜。老枝蟠屈倚雲蒼。誰將元字名仙洞。爲是斧斤不敢戕。松陰滿壑紫霞蒸。笑指仙巒第一層。天意似憐遊脚倦。故將藜杖助高憑。才名常媿久縈身。却喜中宵蛻世塵。仙界一遊知有分。休言春夢本非眞。按乙酉仲春。是公二十二歲所作也。考次時。偶爲見漏。故附于此。</text>
<title>輓詞[金聖鐸]</title>,<text>玉署金閨步武長。風塵滄海一麾忙。如何未遂歸田約。五袴歌殘虀露傷。</text>
<title>輓詞[鄭重器]</title>,<text>勿老家庭藹吉祥。天分奎宿放休光。高名早占神童牓。直節俄封御史章。纔見文翁來蜀邑。豈料平仲死雷陽。應知淸白江中月。流照鷗波萬古長。</text>
<title>輓詞[權萬]</title>,<text>十九兒童齒。三千禮樂儒。奇才傾洛少。巍第類楊於。燦燦儀庭鳳。駸駸下坂駒。器堪盛白玉。世奈薄朙珠。蹭蹬趍蓮幕。棲遑綰竹符。有詞夸苦並。爲政簡詳俱。若拙寧全拙。如迂定不迂。郞官參局座。員外佐司徒。握筭堪曹務。披簽贊廟謨。比家堅間架。方邑隱城郛。事辦心逾靜。才優語不敷。上官驚嘖喝。老吏憚睢盱。完器何曾漏。通材未始拘。在邦當一面。於藝反三隅。眼瞭千秋鑑。胸羅八陣圖。人惟推國瑞。世實昧時需。身是三朝舊。官纔下大夫。風雲歸齷齪。霜雪上髵鬚。晩入春坊乍。俄登栢府孤。朙時持白簡。常性責妖奴。信筆差權度。誅心錯有無。寧辭竆髮譴。猶許肘絲紆。聖度如滄海。摩天視坦衢。追尤依枳棘。隨分返桑楡。昨歲丁崇圮。妖氛凂嶺湖。天戈下賊藪。丙枕軫民芻。命示循良蹟。宣催弊瘠餔。承綸仁闥拜。揮淚蔚邊趍。不食開軒閤。親民問瘼痡。首蠲全鰒役。旋罷別塩逋。减戶還同尹。均田恰倣于。檢身如玉㓗。洗手恥錢愚。上䟽論諸弊。推誠潤積枯。和橋髯丱舞。堂浦禿娥歈。闔境春方午。仙籌日已晡。三冬幾視憊。一札報垂蘓。忽罷邯鄲夢。高歸太乙都。天東虧俊采。海域失慈喣。碎璧眞交臂。持金詎贖軀。於多村嫗泣。音義鹵氓呼。運氣今如此。吾儕只自吁。尙驚魚網設。偏惜兎絲誣。决水頻霑轍。賖霞輒滿壺。不慳騶卛枉。仍與肺腑輸。劈析忠邪界。分明取舍樞。傾心鐫法誨。引脚問迷塗。造次期相仗。平生矢勿渝。歸時隨五馬。今日杳雙鳧。錯莫無人助。伶仃欲底須。他時語心事。留待長螟雛。</text>
<title>輓詞[金景溫]</title>,<text>前春三月使君行。紫綬金章一路榮。今年五月靈車返。丹旐翩翩曉雨鳴。海邦終古惠聲流。洗得江春杜若愁。白叟黃童漫野哭。芳蕉丹荔奠靈輈。往事追惟壬午年。君時攀桂幷搴蓮。芳齡十九能如許。才子聲名萬古傳。蕭瑟靑年四十餘。經綸雅意此成虛。傷心莫聽貞元曲。一曲聽來淚滿裾。聞道全家向竹山。城南舊宅夕陽殘。身後可憐爲旅鬼。子䂓啼斷落花斑。乃兄心事我能知。門戶由來賴爾支。誰道吾生渠死去。敎人膓斷鴒原詩。</text>
<title>輓詞[權]</title>,<text>靑春飛步上層霄。左海重生申次韶。風雨世間經百變。鮎魚竿上閱三朝。經綸壯志空沉鬱。文武全材遂寂寥。惟有精魂伴猿鶴。暮歸朝出太和橋。</text>
<title>輓詞[李徵道]</title>,<text>鶴駕前冬朝上帝。三淸侍從誰其人。蔚州大尹忽承召。杜宇夜哭鷄林春。</text>
<title>贈遺</title>,<text>寄金騎省休伯撿田行臺[權斗經]兵部郞乘御史驄。繡衣趍過鯉庭中。雙親喜動晝遊日。一路威生秋憲風。年少登朝傾士望。歲荒隨處省農功。誰知水北寬閑野。斂迹歸耕有老翁。檢田使金休伯。將竣事還朝。爲兩親設壽爵。移書見速。以服不赴。遂次東坡不赴蘓州太守侍大夫人觀燈會詩韻。成二首奉寄。年少靑雲滿後塵。歸榮家慶簇蹄輪。繡衣當晝非行夜。和氣排冬別有春。折簡見期邀盛宴。杜門無計廁佳賓。一麾便養天應許。三釜何須羡古人。鄕閭奔走望車塵。使傳初歸擁盖輪。數日留穪兩親壽。福星分惠幾州春。登盤豢豹驚中饋。滿甕浮蛆醉上賓。寂寞掩關孤盛會。任敎豪客笑陳人。賀金休伯壽席[權斗紀]南極星精耀使星。晴開壽席聳瞻聆。雛將鳳穴明毛羽。客迓龍門醉醁醽。和氣充閭排凍雪。懽聲咽巷撼風欞。嗟余莫覩儀觀美。抱病窮山門獨扃。金休伯以詩贈子成。有偏慙酷似之語。謾成一絶示子成。他日見休伯。當一笑。[權萬]休伯題詩寄子成。人言贒舅有賢甥。勳名德業終何似。他日應知孫月城。望金休伯別墅有感[金]上津津上好林園。中有幽居占地閑。借問主人何處去。獨留猿鶴守孤原。</text>
