<title>九歲作此。偶續成之。自註。上句兒時作。</title>,<text>白日落西海。化月歸東海。陰陽自循環。造化無定態。</text>
<title>歷代歌</title>,<text>長夜乹坤鄭聲沸。先王經法幾盡亡。王風委地數千載。孰挽斯世回陶唐。鴻濛初判氣淸明。至治爭頌羲神黃。高辛以來逮堯舜。九五正當天中央。羣材燦燦屬休明。禮樂文物何炳煌。四目旣明四聦達。萬機無墜揔擧張。如天如地不可名。篤恭但自垂衣裳。康衢日月擊壤歌。無限春光涵萬邦。君臣相戒更相讓。賡載之亂何洋洋。官人以德允公明。僞私無復留毫芒。洪水滔天命禹導。䟽彼狂流殺湯湯。蛇龍遠遁井服定。九州始得麻與桑。帝念其德禪以位。禹辭不敢誠恐惶。歷數在躬讓不得。洛水已有天瑞祥。嬌孫忘祖墜厥緖。虐淫慢不欽上蒼。成湯哀民敵天怒。一着戎衣王業昌。賢聖繼繼六七作。能令先業重明彰。頑童淫暴甚於桀。尤物更有巢家娘。商容退藏比干死。微子去之箕子狂。虐炎熏天四海沸。萬姓危苦如刺鋩。文王承天奉天時。恤撫無告誠如傷。施仁必先四窮民。所貴惟在民食喪。風敎實自關雎始。亦賴聖妃誠心蘉。中和極處氣自感。朝日岐陽鳴鳳凰。熊羆已協夢中卜。渭川偶得東海姜。紂王毒民往愈甚。武王恥之思一匡。諸侯八百會孟津。唯師尙父來鷹揚。除殘誅暴救塗炭。于周之德能繼商。于周之德服于人。殷士膚敏來灌將。建極初年首訪策。五化自此徵雨暘。周公召公佐以治。二公才德無倫雙。經理綱紀制禮樂。敎化始得申序庠。王業未鞏天降割。受託危疑淚盈眶。金縢一書可見心。一夕流言誰所倡。碩兮膚兮錦繡裳。赤舃几几儼瞻望。王心變作風雷益。周公德業眞無量。天人合和四十年。瑞露瀼瀼豊年穰。天無烈風海波靜。鳳鳥來鳴梧桐岡。昭王以後逮東遷。平王泥私壞綱常。綱常墜地不復振。列國強僭無天王。磨牙厲爪恣噬喫。睨視中原爭屈強。其間不無一二可。爲己假仁都詐佯。淳風一去尙從橫。說士紛紛爭馳𨎩。春平豪奢埒一時。玳瑁爲簪珠粧幫。彜倫斁厭盖已久。宣姜之行同騾犅。鄭莊梟獍與蜘蛛。陳恒豺虎兼狐狵。二子之去影汎汎。栢舟之篇燕頡頏。東門之外舞婆婆。宛丘之下鍾鋃鋃。誰是疾風之勁草。誰是愛草之寒螿。當時無人不嗜殺。嗜利秦最如戎羗。君臣無復禮義風。悍然直欲呑八荒。六鷄何事中秦機。覆轍前後相連䠙。秦山不語六里靑。空使楚臣吟瓊粻。乹坤盡入倒懸中。孰憐蒼生拯火湯。尼父生生不忍心。眷眷斯世無時忘。衛君何事問軍旅。齊王何事問𪄲鴹。周流空多費心力。抑陰竟未扶正陽。鷄鳴喈喈雨凄凄。猗蘭之操何悲凉。顔曾子思謾卷懷。孟子亦復違齊梁。堪嗟王道盡掃如。有罪莫大秦始皇。詩書何辜盡灰燼。病根從此沉膏肓。坑儒虐民罪如山。怒罵千秋爲譏謗。防胡虗築萬里怨。採藥虗駕滄溟矼。彌天威勢竟無賴。鮑臭何事生轀輬。山東纔聞羣盜起。大禍已自萌蕭墻。安民誰是眞天吏。鼠狗徒見潛窃攘。陳王但能學狐狸。項羽謾自誇強剛。漢祖提義起草昧。瑞雲先自徵芒碭。胷襟豁如性喜施。産業誰事家人裝。心存覇業亦好生。不與慓猾同嗜戕。英䧺顚倒自四方。雲龍風虎爭騰翔。蕭也爲相韓也將。運籌更有張子房。三章約立帝業高。一劒橫行無敢當。分王諸劉作藩籬。委任羣才爲棟樑。呂賊忘夫肆禍心。敢王私姓危宗祊。賴有王周幸扶持。兩公忠義何堂堂。文皇守成善繼述。四海晏然稱小康。周官風化自儉始。謠俗仍傳庫與倉。經綸宜設旣庶後。何彼長沙獨彷徨。後元以來樂昇平。海陵紅腐家縑緗。全恩能處骨肉間。直與先后同淳厖。如何爭博少時事。厥咎全歸鼂智囊。東市之斬獄中血。芟刈無端等茅莣。武皇愚者太昧理。求仙處處虛祈禳。從南北抵渤海波。自西東窮靑海傍。埋玉時駕泰山轍。乘興或泛汾水航。秋風起兮白雲飛。木蘭爲枻桂爲桹。窮兵空使海內耗。冐險幾折周斧斨。葡萄天馬自身月。靈醬異竹來筇戕。縱情無復念民生。苦勞誰憐赬尾魴。天人虗老濟世才。千里江都驥服箱。含名但自假仁義。侈欲徒知禦嬪嬙。荒亡逸豫不計日。誅求多儲私帑贓。宮中夜夜樂事多。絲管啾啾鐘鏜鏜。苞苴狼籍女謁盛。讒舌紛紛巧如簧。恩波金穴勢縱橫。各以權力爭低昂。當時兩是長孺拙。太后一怒生刀鎗。田蚡不是魏其族。武皇忘爺徒知孃。其如斯也何不喪。使能猶幸重收粧。嗣皇幼冲國勢危。任舟何人作帆檣。凜凜精忠霍太傅。爲國忘身他莫遑。廬陵癈立不得已。宣皇枉了生疑恇。其功足以贖其過。滅族何無毫分償。元安以來逮成帝。國脉消削漸羸尫。王莾自是老鯨鯢。肆然一夕呑艅艎。白水眞人奮劒起。赫業于祖能有光。當年何物有先徵。瑞麥南陽歌九。息馬論道運再昌。人材炳炳如珪璋。舞射春夏自東廡。詩禮秋冬講西廂。明時尙容舊狂奴。𤃡上高風水泱泱。炎運將衰䆠招賊。奸雄割據爭䲶鴦。堂堂涿郡大耳郞。寶系綿綿眞天潢。志存匡復老將至。天步艱難窘荊襄。南陽幸有太公望。異兆先已徵玉璜。魚水纔承一堂歡。風雲已占龍飛颺。宮中府中共一體。協恭同寅費與蔣。三分終成鼎足勢。勝敗未分誰角亢。阿瞞性巧喜奸賊。恣㐫眞同豺與狼。天下玩之股掌上。搤其咽喉綳膀胱。江南春色入雄心。崔嵬銅雀臨淸漳。奸雄宗此代不絶。駁馬千古長騰驤。司馬之殃百餘年。陸沉四海生疣瘡。淸虛習成七賢風。小視二豪如蜩螗。柴桑獨有羲皇人。北窓高卧淸風𩗬。堪嗟士習日趨下。歲寒無人識松篁。豳風不作鄭風盛。績紡未聞勤桑䗵。吳王宮裏越溪女。㙜是姑蘇門是閶。長星誰勸一盃酒。酒中有毒眞堪𢥠。爾來興替越宋齊。神童搗藥花生菖。南朝行樂醉夢間。亂絲無綸天下龎。金銀照耀日月輝。眞珠錯落籠瑤瑭。歌傳璧月舞袖凝。凌波仙步塵生縍。三星在天夜何其。五更霜露沾華鞤。耽歡頓忘不憂備。天塹無如恃長江。因循逮及六朝末。禮義掃地隋文煬。中原已極快耳目。鰈域更又誇㫌幢。唐皇拔難慰民望。利爪能抓黎首痒。貪天全昧泰伯風。骨肉乃忍相擊撞。瀛洲講筵說何義。侍臣徒然鳴水瑲。功高庶幾贖前罪。靑史千秋名猶芳。淫風終振武家賊。衛人爭詠奔奔麞。拑人專任許索來。酷法無過周興缸。遂良含恨長孫慟。叩頭流血天門摏。隱忍何人善周旋。回周復唐眞忠良。明皇正罪襲其惡。錦襁淫禍萌於楊。宸心狐疑似有覺。太眞無聊思黜薔。漁陽一夕鐵馬來。六萬戈甲森如霜。中興大業托何人。坐見胡兒登御床。人生到此尙無悔。蜀棧空自愁霖鉠。扶危幸有郭令公。重續唐祚綿綿長。肅宗自禪張后逆。上下疑亂多讒哤。長生殿裏默坐時。通宵耿耿挑孤缸。天殃反假輔國手。半夜宮中金皷摐。建中年間政大亂。珷玞爲寶賤𤦹玒。興元事業陸與李。義旗揮處仁爲杠。文興八代大儒出。斥佛原道扶常綱。浮沉曾未愼揭厲。扣頭何言更謝瀧。平淮大業彼何人。區畫百爲敷心胮。綠野鐘皷自有意。君側何人能作跫。五代以來不足道。不是犬彘牛與羊。紛紛格闘久未已。百年天地何茫茫。晉王傑出唐明繼。柴家世宗超數行。邇來逮及宋太祖。奇瑞爭稱挾馬香。陳橋醉事縱不明。末終善補人心降。誠心培養禮樂風。千載復見周文章。奎纏五星何煌煌。日下五雲何雵雵。終敎濂洛振儒風。禮法從容仁義塲。斯文前後大闡明。聖敎浩蕩流無壃。燭影之下不忍言。人之面目禽獸腸。河南避位異大舜。蒼梧遠望勞娥媓。道君何意尙虗無。狡彼王欽爲䘌蚄。慶曆之治號公明。幸路猶通丁與尙。婦人之讒浸如水。小人之諂甘如糖。婦人之禍甚蜈蚣。小人之害同砒礵。荊公用事百弊作。狄戎因此大被猖。奸黨連縷世不乏。呂邢章蔡童黃汪。草有荊榛木有棘。虫有蛇蝎魚有。高門爭見菉葹盈。糞壤何爲充蕙纕。秦賊用事太不忠。虜騎馳騁誰能防。精忠莫察岳武穆。慝婦奸計成東窓。眞元耗盡韓賈陳。上見嘔逆下脫肛。扶顚賴有陸文張。白日昭昭丹滿腔。蒼黃一夕國運去。風雨崖山危一艭。擎天無奈隻手支。九鼎坐與胡兒扛。胡元肆然有神器。海宇久作腥羶鄕。洪武皇帝奮義起。掃淸氛祲無尺障。君臣協謀計如神。指揮獨有劉家郞。徐公胷中六韜略。參天大材穪豫樟。常公勇决快生風。天下無當王鐵槍。文章彪炳贊皇猷。宋公從容坐廟廊。潘陽之役自金陵。討淮兵勢何洸洸。神威襲人四海服。五服貢獻來趍蹌。建文圖治揀人材。若把刀尺裁玉肪。登山採玉海搜珠。蕙芷爲帳充芳薌。燕王跋扈駕羣雄。萬里天衢騰驌驦。日照龍鱗月沉江。前有鵰鶚後𪃩鶬。成仁賴有鐵鉉輩。自躍誰憐百鍊鋼。薇歌亦有伯夷節。首陽山中閒把橿。從來積惡必有殃。酷刑他時烘鐵埛。燕京建都出私智。大計無賴鞏河隍。大庭親策效興國。紫雲樓上聲琅琅。重煕累洽泰階平。瑞靄觚稜濃碧𤮊。西蜀丹靑驝連尾。荊南紈綺車連軖。宮中婦德有馬張。廟上相業稱祝鷞。三陽極處一陰生。風雨紛紛迷四方。乹坤盡入李自成。九廟英靈盡煨煻。綱常萬古賴張春。苦節無愧蘓卿䍧。樓中日月保文山。寒後風霜悲謝枋。弘光以來事大變。縱有深意不敢詳。誰能思先睦宗族。誰能敬先勤蒸甞。誰能恥彼紅粉榜。潔身浼浼名利韁。誰將王道導聖人。誰持正言王前敭。悠悠莫肯念王事。絃管日醉黃金觴。歌聲咽咽入雲霄。柳絮飄蕩迷池塘。連雲歲歲甲第起。園林處處誰家庄。浮華成風尙新巧。百工日夜勞䥨鎊。輕賦無人念民苦。欲說民事辛如薑。農家大旱地欲裂。苦待靈雨纔揷秧。終歲辛苦盡筋力。所儲僅能盈一筐。誅求剝割太無厭。剩餘奈無來年糧。除蠧誰能作胡椒。去蛔誰能爲檳榔。獄訟多私法律亂。萬姓咎怨誠堪創。黃金白日能解語。怪來肌肉生於殭。故嗾禁吏阱國中。敎喩無聞戒坊坊。朝三常用誘狙術。法令無常誰信卬。軍門養兵是養禍。設屯浚民民疼瘍。兒弱充丁白骨布。一族呼寃涕滂滂。一身財盡兩三役。流離溝壑多顚僵。尙寐無寤死無訛。無知恨未爲彼萇。僧徒避賦聚山刹。只恐乘機橫突搶。誰蠲逋欠振窮乏。不使民物輕斃殤。吾王無疾出遊豫。八鑾奔走聲鏘鏘。誠心定應責六事。大雨佇見千里霶。似聞西南大陷溺。棘榝滿地埋蘭茳。羣孽抑欝不安分。樂禍滔滔頑且悾。尊義誰任禦倭李。悶時誰追掛冠逢。似聞西北最大侵。去年大水今年蝗。其風尙利棄禮義。其間恐有䧺豪商。樓臺歌舞處處樂。繁華終古稱蘓杭。人之所惑唯在巫。人之所慕唯在娼。正樂誰能放鄭衛。整苗誰能除莠稂。無人知尊孔孟道。不歸兵佛歸列莊。權謀私欲日漸熾。正心誰能公否臧。人間倚伏自有數。哲人何事憂螳蜋。東京黨禍若水火。朱門赤族迭罹殃。智力無如賁獲死。世間公道惟北邙。若使宣尼復出世。似應失志長栖遑。夫子之聖尙如此。何况後生輕行藏。誰知陋巷顔夫子。樂道元不厭糟糠。有心豈無惻隱情。只爲無益徒自妨。乹坤納納極浩蕩。出門回首吾安將。楊朱之泣獨何事。道中生路多歧旁。王良駕車爲之導。尙恐冥處行倀倀。煌煌靈芝自三秀。我獨胡爲歎篔簹。憂戚元來玉汝成。靑霞爲綬明月璫。采采芳蘭欲有贈。賦波閒情寧用襠。北風雨雪何其霏。北風雨雪何其䨦。誰能超然富貴上。靜養山林甘玉漿。猉獜元不踐生草。鸞鳳何曾戀。彼茅茨兮樂經史。飯䟽食兮羹瓜瓤。風自泠泠月皎皎。山自蒼蒼水淙淙。閒來欲折三花樹。芒鞋幾勞穿雲礓。追隨好伴彼漁父。皷枻乘流歌滄浪。</text>
<title>夢作兩句。忘上句。故續成之。</title>,<text>夜半無聲一室閒。偶於書几夢邯鄲。歸來室室默相對。九疑山色斜陽寒。</text>
<title>詠夜氣自勸戒</title>,<text>微而妙哉隱而費。孰能潛心精模像。昭昭五體本虛明。厥初生時天所降。有鏡豈是無形影。有水豈是無波浪。從知知覺有原生。出入誠難知所向。存亡都繫操與捨。是知可否隨意匠。誠時若無戒與惧。忽處寧知心易放。強柔愚明捴在學。所以君子貴勉強。分別須尊知明師。裁斷須要義勇將。撙節須仗尺量官。始終專任忠實相。君長從此德可著。輔養誰使常無妄。人心從此聽道心。萬理昭然心鏡上。只憂斧斤入牛山。盡使草木歸掃蕩。朝曉豈無雨露養。恐遇牛羊難成壯。存養倘得涵泳深。體得胖泰心自廣。如何氷炭自寒熱。盡日孜孜都欺罔。誰能屋漏不愧怍。免使百年空俯仰。人之生理本自直。奈何捨直趨之枉。律己不徇禮義繩。攘袂甘趨名利網。仇怨專未聞相忘。揖遜專未聞相讓。昔爲知心今按劒。不知公義惟偏黨。誰知物我本一根。一視能養賢聖量。超然抽身撥雲霧。脫得鴻濛塵十丈。人人出言各自是。藥石誰容長孺戇。當其昏惑只汩汩。渣滓恰似糞土壤。陽無終盡理之常。時時露出眞形㨾。淸晨默坐意味長。一息知有中宵養。凝神細閱昨日事。怵惕終朝仍惻愴。忡忡忽忽若有失。顧瞻前後眞惚怳。想其寐時寂無聞。森然宛有無中象。昏昏昧昧若土石。誰識微陽潛自長。淸明恰似素所養。役役誰知經牿喪。因斯可以擴本端。得失都在吾所尙。治玉須要沙與石。治骨須要鑢與錫。</text>
<title>次九日韻</title>,<text>來何而去去何來。天運循環此又廻。詩興正隨秋色遠。閒情好與菊花開。床頭綠蟻千缸熟。鬂上烏巾一幅頹。撙節自能無及亂。不妨時酌兩三杯。又玄琴一曲鶴飛來。興趁南薰獨自廻。詩與秋風隨鴈起。心如晴月撥雲開。言無戱謔非爲放。酒不昏迷豈用頹。良夜論懷淸事足。接歡時泛菊花杯。又庭樹風淸月到來。鴈喧山外夕潮廻。雲盡霜空天色遠。星涵秋水夜心開。春生琴手神還靜。酒上詩眉興正頹。序坐蘺前情緖蘊。菊花閑泛聖賢杯。又鶴唳霜空遠遠來。忽有樵歌隔岸廻。雲壓千尋山色暗。秋澄萬頃海門開。風淸戶外琴生韻。潮上溪頭日已頹。心靜自能閑事足。迷神何必醉花杯。</text>
<title>又次他韻</title>,<text>一鶴盤廻海上來。數聲時自月邊廻。簷花只是逢秋貴。詩興多因得友開。窓外夜心將欲曙。床前燭淚已成堆。閒中自有悠然趣。移向東籬酌數杯。</text>
<title>次九日韻</title>,<text>有菊兼佳友。詩興聳層層。開窓別有見。秋水漲前陵。又夜靜心神淡。興高不可層。釣臺秋已晩。明月卧嚴陵。又霜月引詩興。秋雲幾千層。琴曲忽移散。却疑是廣陵。又鯨海多風浪。怒濤幾百層。靑門種苽客。舊日邵東陵。又鯨鯢吸海盡。怒沫射層層。檣傾楫亦敗。氣勢恣憑陵。又道體深莫測。才德本多層。仲尼卽天地。餘子斯丘陵。</text>
<title>宿山谷小寺</title>,<text>小寺蕭然水石間。階前霜菊數叢閒。秋風靜坐高岡上。萬壑松聲十里寒。</text>
<title>省本生外祖父母墓</title>,<text>嗟余六歲失慈母。七歲來依本外家。恩如滄海無窮極。淚灑秋風感慕多。又如山如海外公恩。女以慈之不以孫。誠賴三年恩養力。苟延殘命至今存。</text>
<title>冬夜雪</title>,<text>風雪隨雷撼海邦。夜來驚鳥亂呼翔。知到天明應有定。恐傾巢穴盡壞傷。</text>
<title>夜</title>,<text>崔巍千尺浦中山。瘴霧浸淫濕不乹。落月蒼茫垂暗黑。海天寥濶夜風寒。</text>
<title>偶吟</title>,<text>人若無誠豈是眞。堂乎難與並爲仁。休使成山摧一簣。免敎良玉有淄磷。</text>
<title>見山下烟</title>,<text>朝日看山景。山下有伏烟。潛陽爲陰抑。升性未得便。</text>
<title>過六臣墓 自註。在魯津傍。</title>,<text>鴻毛重處泰山輕。六箇丹丹貫日誠。千秋何恨不平氣。明月寒波嗚咽聲。</text>
<title>有感宣尼</title>,<text>宣尼琴上殺機張。惡彼潛中雀覘螗。智鳥自能知作止。預隨幾兆早翺翔。</text>
<title>自勉</title>,<text>誠於夫子得門墻。次第升升室與堂。克去私邪惟四勿。操存天理有三方。神明永保虛靈軆。日月常凝晝夜光。浸浸四時推妙用。一元流處見春陽。</text>
<title>過光陵見丹楓</title>,<text>秋風閒曳葉聲長。肅氣淸凝萬里光。霜化靑山成錦繡。紅紅碧碧更黃黃。又九月東郊天氣淸。萬林蕭瑟盡秋聲。霜染靑山紅十里。日斜楓岸畫圖明。</text>
<title>論病人用藥</title>,<text>破塊用朴硝。大黃又飡泄。調養失其機。眞元從此歇。</text>
<title>月夜</title>,<text>乹坤正深夜。明月流銀波。微風動蘋末。溪水漾淸華。</text>
<title>咏春</title>,<text>游氣氤氳泳太淸。岸邊梅柳已含情。春陽漸厚氷消釋。流水洋洋綠意生。</text>
<title>上流霞亭 自註。二湖後峯。謂之蓬萊楓嶽。前江謂之鏡湖鑑湖。</title>,<text>極目長空意浩然。恨無毛翰上於天。遠山西北千重霧。大野東南百里烟。卜宅偶尋楓嶽勝。養閒甘作鏡湖屳。靜看朝暮風雲態。神造無端自變遷。</text>
<title>哭鄭戚丈搏 自註。初爲訪見而去。公已逝矣。</title>,<text>持志常平坦。生平免大非。盤乏單䟽食。身無一美衣。貧窮知分義。靜默愼樞機。怊悵相尋地。含悲對夕輝。</text>
<title>閶門辭</title>,<text>日晏閶門春意遅。姑蘓臺上醉西施。越人歡喜吳人怨。堪笑吳王太誤思。</text>
<title>乍陰乍晴</title>,<text>一陰又一晴。如嚬復如笑。誰知元中書。自註。元載官中書。 嘻嘻實藏怒。</text>
<title>秋遊做兒山</title>,<text>靑山隱隱水迢迢。幽客耽閒逸興多。秋晩江湖歲欲暮。天高木落風蕭蕭。</text>
<title>挽尹誠之 名兌一</title>,<text>詩書爲楫易爲舟。一掉將沿學海流。思逐關濂同揖讓。擬涵洙泗共優游。靑銅佇見明如月。白玉將看潤似油。數世家風傳禮義。一生行事寡權謀。潛心經史何曾倦。少向風塵有所求。人有寸長如有己。身留査過不禁羞。父兄皆許工夫篤。朋友爭稱行誼脩。奇抱縱藏仙鶴志。暗香誰識谷蘭幽。三遷敎養由賢母。百里勤勞似仲由。友愛常聞歌棣萼。恭良猶可詠雎鳩。三韓名閥齊金李。雙璧明光耀斗牛。驚殺回風掀北極。偶然流寓滯南洲。淸閒喜得林間月。來往相親海上鷗。魚鳥契深忘世味。旅遊心苦奈歸愁。越禽懷土巢南樹。岱馬依風戀故丘。追逐喜聞金玉語。慇懃多說別離憂。常看淑氣生顔色。時有淸風趁語頭。峩洋一曲山兼水。瓊果千言唱與酬。膠㓒雖慚稱管鮑。金蘭猶可比韓歐。志存無妄同涵養。契合中孚共去留。三逕思吟靖節賦。釣㙜期被子陵裘。空敎宿計歸蝸角。謾有虛聲等蜃樓。補過猶宜磨寶鏡。愼言還可設文楸。慙吾涉世無深策。多子脩身免大尤。自是求仁循本理。從知積善荷天休。聖賢垂訓徒知信。常變多端竟未籌。向昔與君離斗浦。丁寧留約向原州。誰疑奇𥚁偏吾友。忽有㐫音自李侯。纔報原生吟狸首。繼聞齊婦哭華周。三旬早夭悲顔子。六尺無孤歎鄧攸。塡海舊聞人化鳥。呼天今見夏爲秋。嗟留季女無存恤。忍見孀閨獨抱收。飢渴誰分生死慮。道途難免馬牛蹂。霜悲鴈谷憐摧伴。風撼鴒原怨失儔。除道吉㐫皆造化。堪嗟人世類蜉蝣。倚門哀死憐曾點。正被從生乏黔婁。東風芳草添新恨。南谷佳遊記曩疇。詩就八哀悲滿臆。聲悽隣篴淚盈眸。劉基涓吉原三命。郭樸占山擇一區。從此楊山成永訣。幽明千古恨悠悠。</text>
<title>冬至</title>,<text>天帝悔陰氣。飜然一念復。如何不自脩。謾作悠悠客。又陽無終盡剝。還自靜中回。天心何處見。一兆驗新梅。又陰極陽初動。怳聞地底聲。春心從此始。梅意已先萌。又陰極天還悔。藹然本意萌。長養能不息。氤氳自發生。</text>
<title>詠大寒</title>,<text>寒威方折綿。天地欲崩裂。陰極悔心萌。蘊之秘不發。</text>
<title>渡銅雀津</title>,<text>東窮西極浩無涯。揷北撑南畫翠微。多少此間遊子意。江流萬里去依依。</text>
<title>次韻詠松鶴圖 自註。睡鶴。</title>,<text>心泳乹坤遠。形藏山澤癯。栖遅𩿨隱里。來往鳳王都。風濶三千界。雲長九萬途。松蘿無限夜。明月夢虗無。自註。虗無。虛空也。又厭却塵間味。身輕頓覺癯。神凝靑海月。夢徹紫宸都。知香餌。雲羅儘畏途。蘧然山外事。都付一塲無。</text>
<title>雨而虹</title>,<text>黑風驅雨天邊立。時有雷聲隱隱來。忽訝夕陽成返照。彩門千丈勢崔巍。又兩條神彩起靑冥。恠底天門不日成。光兼綠紫非常氣。却恐亂朱更亂靑。</text>
<title>見飛鷺</title>,<text>長空一點白。杳杳天南去。浩蕩白雲間。長風九萬里。</text>
<title>見終夜電光</title>,<text>燁燁更煌煌。通宵未蹔輟。薄陰亢盛陽。玆欝卽成洩。</text>
<title>夕陽見魚躍小溪</title>,<text>靑山日欲斜。魚躍小溪心。無心渠自樂。何事獨沉吟。</text>
<title>望海門。想五行生克盛衰。</title>,<text>頑金逢火銷。火盛亦終滅。銀海浩湯湯。三山將欲沒。</text>
<title>讀坤上六爻。悲佛道亂正。</title>,<text>極陰敢擬陽。龍戰玄黃血。倘有尙禪人。乹坤盡寂滅。</text>
<title>詠夜</title>,<text>今夜如前夜。較之將無同。誰能知尊晝。卓立兩夜中。</text>
<title>戒驕慢</title>,<text>恃才莫躁暴。天命本無常。人心如防水。水决難再防。又恃威莫䝱人。人必不心服。咎同勿歸人。出悖還悖入。</text>
<title>戒學者</title>,<text>學若長私智。不如不讀人。堪笑荀文若。反爲孟德臣。又學若昧輕重。不如不讀書。堪笑蔡楊輩。吹爲莾卓噓。又學若昧恭敬。不如不學爲。誰道聖賢訓。反爲怨上資。又學若昧忠義。不如不學爲。誰道賢聖訓。反爲罔上資。又學若昧名分。不如不學爲。誰道賢聖訓。反爲無上資。又學若長奸性。不如不學爲。誰意賢聖訓。反爲害正資。又學若樂權利。不如不學爲。誰意賢聖訓。反爲樹黨資。又學若好偏僻。不如不學爲。誰道賢聖訓。反爲護黨資。又學若甘麄鄙。不如不學爲。誰道賢聖訓。反爲附勢資。又學若行㐫惡。不如不學爲。誰意賢聖訓。反爲嗜殺資。又學若喪廉恥。不如不學爲。誰意賢聖訓。反爲貪汚資。又學若不安分。不如不學爲。誰意賢聖訓。反爲圖貴資。又學若不求實。不如不學爲。誰意賢聖訓。反爲釣名資。又學若拂平實。不如不學爲。誰意賢聖訓。反爲欺民資。又學若違和順。不如不學爲。誰意賢聖訓。反爲䝱民資。又學若不公正。不如不學爲。誰意賢聖訓。反爲弄法資。又學若昧明哲。不如不學爲。誰知賢聖訓。反作亡身資。又學若有私己。不如不學爲。誰意賢聖訓。反爲禍國資。又天道本蕩蕩。廓然大公仁。唯聖乃則之。洞然闢四門。好問與好察。捨己而從人。奈何後之學。係着驕吝習。名者實之賓。徒然事黨惡。富貴本浮雲。汩乎徇利欲。譸張亂是非。肆然拂天則。附己者扶植。異己者排斥。內實陰嗾人。外似不自識。世道自波蕩。終然亂家國。聖人設學意。蕩然無復存。大車旣無輗。風化安可敦。上帝本臨汝。欺人誠自愚。悔斯善補過。猶可追前休。</text>
