<title>春吟</title>,<text>春來百鳥鳴。曉窓聲相至。幽人夢江南。未盡三湘水。</text>
<title>秋懷送趙棐仲佐幙嶺南 四絶</title>,<text>壯年親舊門如織。老去晨星落落稀。聚散存亡非一緖。牛山何日不沾衣。鳥嶺信爲東國脊。迤南風氣海爲彊。橘柚篔簹餘物産。有村皆是鄭公鄕。洛水滔滔分左右。淳厖物色古來同。千秋莫遣庸人擾。家自相傳乃祖風。秋陰欲雨草堂寒。抱膝微吟對碧山。時有故人千里去。提毫無語寫絲欄。</text>
<title>題靈元卷</title>,<text>梅簷暄日易斜曛。棐几煙微腦麝熏。茶竈筆床淸臘靜。隔簾風雪晩紛紛。</text>
<title>題玉如姐畫梅月扇</title>,<text>月色梅香兩美幷。天然無語似無情。佳人障面翻歌曲。梅笑嫣然月有聲。</text>
<title>次壽瑞詩卷韻</title>,<text>伏奉梧里相公寄示壽瑞詩卷。盖自龜岩 李副學楨號 之孫鯤變氏所來。要傳詠洛下諸公者也。好閔 於龜岩。但見退溪先生與公往復書札及南冥所爲公之先碣銘序。知有文學之懿。孝忠之摻。實不知有先世壽慶。爲聖代之瑞也。退溪所稱李氏一家之事五難俱備者。其信然乎哉。而當敎導 龜岩先祖有爲敎導者。夫妻年八十 之世。晉山 領議政姜孟卿邑號 以下諸公鳴之。龜岩之世。聾岩 李知樞賢輔號 以下諸公鳴之。及鯤變氏之世。鰲城 今左相李公恒福邑號 以下諸公鳴之。世有其人。然後能世鳴之。南冥所謂騶虞之子。其騶虞乎者。先碣銘序語 亦信然矣。謹依韻攀和。以竊附驥之幸云。趾美騶虞世有人。泗濱家業壽鄕春。百年文子文孫意。傳詠雲仍授簡新。</text>
<title>雨中發南郊草屋。將赴西湖。臨行。贈主人金生。</title>,<text>出郊待罪草廬低。桑下依然欲去迷。感淚却添南澗水。朝朝嗚咽繞城啼。</text>
<title>西湖道上口占</title>,<text>今歲春乾土起烟。天公知我會西遷。西湖雨甚藍關雪。風打泥途馬不前。</text>
<title>送全尹李德懋 馨郁○三絶</title>,<text>白頭京口黃花發。憭慄心同送遠歸。童稚情親君又去。不堪臨水一沾衣。平生神寤在朱書。刪自陶山炙背初。聞說濟南新繡榟。願將完帙講三餘。衰年病肺唯高枕。藥裹關心不願餘。八載地黃原見効。倘分圭撮到茅廬。</text>
<title>送羅牧朴說之 東說</title>,<text>登高秋日荒荒盡。目極南天見白雲。人世何時無此別。雪添鬚鬢已三分。</text>
<title>次月川韻兩絶</title>,<text>春盡宣城處士廬。燕泥寥落污床書。西淸一輟責藜榻。泉下音塵夢亦踈。右懷趙月川梅雨蕭蕭舊草廬。年年秦楚又懷書。君親兩地徘徊日。憂國思家鬢易踈。右贈金而和</text>
<title>送慶尙金都事寭</title>,<text>萬死餘生淚未晞。天恩如海病身歸。後凋松竹須培護。行及湖田穀雨霏。時新有叙命。後凋堂在海乎外家舊基。</text>
<title>申注書 得游 挽 二絶</title>,<text>高靈家世舊通家。剛直聞方老子多。天下所珍還可惜。有風先必偃嘉禾。銀臺纔罷舞斑衣。來往湖堤別更遲。哭盡儕流哭後輩。昏銀那有淚晴時。</text>
<title>次李白韻。題畫壁。</title>,<text>有客楊舲夢澤空。天公好借一帆風。吾鄕聞說蓴鱸晚。三百郵籤未日中。</text>
<title>謝暉上人來訪</title>,<text>僧來訪我梧桐院。自說嬋心出洞疑。秋雨閉門山影裡。好看香灺落殘碁。</text>
<title>壬至念七。雪中訪暄相于竹里。見盆梅盛開。爲賦一絶。以爲衰境相慰之地云。</title>,<text>江上來看玉雪花。臘前憔悴舊紛華。相逢兩老俱衰朽。却喜芳心發古楂。</text>
<title>池閣夜坐</title>,<text>池面沉沉夜閣虛。碧荷燈暈散驚魚。幽人不寐聞蛩語。思入江南水竹居。</text>
<title>寄韓柳川</title>,<text>故人今在水西村。日夕相思九斷魂。淸臘梅花應早發。扁舟雪後月黃昏。</text>
<title>無題 壬辰夏。在平壤作。似是爲亡友所眄者而發。然不著誰某也。</title>,<text>男兒去後佳人在。蕭瑟江山夕照多。欲把情悰與君說。九華峯壓大同波。</text>
<title>龍灣。奉次酒隱相公酒後見示詩韻。</title>,<text>南荒無計看塵漬。來臥江邊性人輕。萬事只宜輸一醉。大常從此不須醒。</text>
<title>寄江都伯李子敏</title>,<text>江都城闕定之中。聊備廵遊岳海同。大尹文章光萬丈。兒郞新祝滿天東。</text>
<title>東園席上。用子敏韻。</title>,<text>詩思逢春莫用催。老來懷抱待君開。若言物色緣吾晩。每到花時可早來。</text>
<title>西江寓舍。次李子敏韻。</title>,<text>沙堰堂前水沒沙。揔無來客但棲鴉。荷君載酒勤相過。與醉西湖處士家。</text>
<title>送申昌原 之悌 南歸</title>,<text>楚鄕寒食橘花新。洛水歸期又一春。芳草已生君去路。東風能待後來人。</text>
<title>鞍山得鞍字 五峯舊宅。在鞍嶺下故云。</title>,<text>遼山漢嶺各名鞍。白首還慚尙據鞍。忘却鄕園隔千里。逢山空喜一般鞍。</text>
<title>過遼</title>,<text>自過遼陽不見山。原田漠漠間沙灘。城舖籬落多相似。到處門題駐馬看。</text>
<title>春耕</title>,<text>遼塞雖寒已墾荒。糞田燔草類吾鄕。海東節候應差早。新麥初耕宿麥芳。</text>
<title>渡凌河</title>,<text>長河氷冸浪紋平。邊地春寒草未生。酒幔花村渾索莫。歸時須及杏山鶯。</text>
<title>發連山</title>,<text>三月行人未入關。一春强半雪霜間。逢人駐馬詢前路。昨夜天驕犯塞還。</text>
<title>淸明日綵女</title>,<text>石榴裙拂桃花馬。玉面雲紗相映碧。朝從城外祭淸明。暮向城中豪士宿。</text>
<title>過楡關 二絶○是日。風日暖姸。</title>,<text>楡關古鎭舊聞名。在漢爲疆屬北平。版籍如今歸直隷。還同三輔衛神京。今日春暘始漲山。東風似借古楡關。千秋戰氣應消盡。生意和煙藹碧灣。</text>
<title>萬柳庄 二絶</title>,<text>萬柳庄頭春日暮。煙絲掩映巧藏樓。長枝不繫王孫住。歲歲東風綰別愁。城外陰陰光祿庄。萬株垂柳學鵝黃。年年飛絮因風起。故試高才入洞房。</text>
<title>射虎石 二絶</title>,<text>至剛非刃莫剛心。心謂山君射得深。若使將軍醒後發。未應頑骨解淪金。石若能言是我師。興亡理亂慣經知。人情世態無庸問。欲問興亡捨石誰。</text>
<title>灤河春望 二絶</title>,<text>城下灤河綠染衣。城頭樓閣出城飛。緗簾十二春風轉。香霧依微織女機。楊柳和煙擁畫樓。樓前行客駐蘭舟。微風不起河如鏡。人在簾間對影愁。</text>
<title>題南玄池館雨中 主人父子。皆讀易經。</title>,<text>東海槎仙問字回。此中應有草玄臺。窓前夜雨讀周易。窓外梅花開未開。</text>
<title>雨後發豐潤縣</title>,<text>雨後韶光一倍加。樓臺如畫柳絲多。人從樓上亦望我。却道分眀仙客過。</text>
<title>看花</title>,<text>看花須要品題來。奈此春寒未及開。若曉邵翁三妙法。可敎人去看根回。</text>
<title>采亭舖。始見杏花。</title>,<text>楊柳溪邊紅杏梢。東風已到采亭橋。神京乍近花如海。始覺春寒只在遼。</text>
<title>三月初六日。三河道上見雪。</title>,<text>花滿郊原雪滿山。一邊春日一邊寒。天憐海客觀周遠。雪景花時備使看。</text>
<title>大風</title>,<text>風妬幽花落滿苔。得非前日雨催開。催開纔發還催落。不若開前莫漫催。</text>
<title>夏店 是日飛雪具備</title>,<text>冬雪春花與夏店。四時幾具但無秋。秋霜在我休他覔。半在吟髭半在頭。</text>
<title>頑空 二絶</title>,<text>讀書平日喜逃空。讀在塵囂讀便空。持向人間誇習靜。老來方覺是頑空。老覺頑空不長空。度關何日悟眞空。悟了眞空亦無有。向來吾道本非空。</text>
<title>醉賦鸚鵡 六絶</title>,<text>久閉金籠翠羽殘。燕山不及隴西寒。愁來却向哥哥語。哥到如吾忍轉難。月上梨花漏欲殘。五更歸夢不禁寒。主人倘解分明語。訴怨君前語不難。價重秋金性命殘。爲緣秦隴最淸寒。言言若賭絲毫債。說幾多言贖不難。紫縼金籠一㨾殘。翠衣猶勝雪衣寒。分明莫說夢中事。縱入皇樓脫更難。鸚鵡聲高月向殘。琵琶蕭瑟暮江寒。籠中不用分明喚。喚得分明見更難。春夜沉沉夢易殘。歸飛不盡隴雲寒。覺來明月凉如許。欲出雕籠鼓翮難。</text>
<title>午門朝退 二絶</title>,<text>海外微臣拜柘袍。鉤天如海鳳簫高。仙班乍輟還迷路。夢裏春光記碧桃。上界風光襲骨寒。沉香亭北玉欄干。外人錯道宮中事。春在昭陽最上端。</text>
<title>騎驢 二絶</title>,<text>天機喪盡賭虛名。無妄官聯八座驚。身上金緋眞傀儡。本來面目是書生。少日三山寺裏回。牽驢接浙秣溪隈。廿年榮宦渾春夢。白首還爲老秀才。</text>
<title>東還過江。贈義州許府尹公愼。二絶</title>,<text>奉使東還白髮鬆。臨江羞見舊形容。楓宸萬福南塵靜。歸向湘東作上農。樽前偃蹇張華劍。槖裏崢嶸陸賈金。歸臥湘東生計足。聖恩終始海同深。</text>
<title>鬻畫者以畫至。畫有山水登樓人。相對憮然。草成一絶。奉晩翠道契。亦同此願否。</title>,<text>世味嘗來孰最眞。餘生願作畫中人。高山流水吾家物。經卷香爈秋復春。</text>
<title>六月初七日。偶見光祿下人。擔下程物料而至。當暑揮汗。勞苦甚矣。所擔物料。於日用豢養之具。無不備悉。遂感而賦之。非曰詩云。</title>,<text>臣旣爲陪食亦然。一年光祿當三年。是知天意充餘債。催却殘生早退緣。</text>
<title>六月二十六日立秋。是夜微雨至。風聲颯颯在樹。</title>,<text>明朝會是新秋節。颯颯風聲遠客知。正似東湖樓上宿。獨聞山雨到來時。</text>
<title>畫竹一絶</title>,<text>移却湘江竹一枝。贈君千里慰相思。竹如可折心方折。閱盡風霜無折時。</text>
<title>外八代祖朴公英美始卜居于海平之秩谷。官至知春州事。以孝㫌閭。並竪石碑路傍。碑傍舊有大槐樹。匝以蒼松百餘株。稱孝子里亭。徐四佳爲觀察。過此亭有詩。退溪先生亦次之。春州之孫諱謹孫。嘗爲本府府使。李公諱楨之壻。李卽退溪曾大父也。李在府日。手植老松五盆。及歸。留贈其壻。種地葱蒨。下可坐數十人。好閔。己酉歲。以書雲提調。赴審大丘胎室。歷拜先壠。因訪舊宅。丘墟荒凉。獨有老松兩株在。徘徊嘆嗟。無以寓渭陽之情。遂次四佳韻。聊抒感舊之懷。</title>,<text>晝錦南歸已白頭。鄕園舊事揔長休。亭前賴有殘碑在。孝里芳名萬古留。右孝子里虬枝蟠屈碧無頭。爲愛淸陰盡日休。白首孱孫今到此。當時舊物獨君留。右蟠松桃花行舘留人雨。春鳥多情向客啼。明日琴湖歸去路。靑山如畫鏡中迷。右宣化堂遇雨</text>
<title>八莒寄李君任</title>,<text>昨日看君白髮垂。前頭能有幾多期。重逢須盡桑楡樂。倘可歸來戒莫遲。</text>
<title>行到軍威。臨發。贈別李君任。二絶</title>,<text>雨中相別廟門前。白首重逢倘有緣。願荷諸君營小築。免敎歸計墮茫然。晝錦南歸四十年。躬耕谷口亦夤緣。東風寒食橋頭路。立馬花前意惘然。</text>
<title>宿黃澗小亭</title>,<text>小亭搖漾似浮槎。宿客冷然馭彩霞。最是月明人散後。玉簫如語隔桃花。</text>
<title>荊江上松亭。午憩。謝宋通川靈老以書相問。</title>,<text>聞君待我塔山陲。及見君書恨我遲。萬死南來乖一笑。此生那有再逢期。宋前數日。相候於塔山。山卽金中庵舊居。墳墓在焉。極有江上之勝。</text>
<title>一直縣。贈安察訪伯恭。</title>,<text>太白山人一杖孤。春風送客過江湖。明朝相別臨溪水。山鳥多情勸挈壺。</text>
<title>送朴報恩質父 三絶</title>,<text>少小嬉遊毋嶽山。當時同隊幾人完。相逢莫嘆頭渾雪。不老誠難老亦難。見必相嗟別更傷。老來人事劇斜陽。觥籌不是尋常事。他日重逢較孰强。洛中相見無多日。見縱無多憶便來。白首爲官緣口業。空山獨去淚盈腮。</text>
<title>龍湫。次柳西厓韻。</title>,<text>昔人於此亦登樓。樓碎人亡種種愁。惆悵芳塵猶昨日。碧山靈籟自生秋。</text>
<title>回程將由武溪。路迂不得訪樂堂。以詩謝之。</title>,<text>客路縈紆入武溪。琴湖芳草鳥空啼。東風回首無窮意。立馬斜矼亂水西。</text>
<title>玄風東軒。梅花滿開。書示江陽太守金亨吉。</title>,<text>東閣官梅樹樹新。靑禽如語解留人。前頭更覺花應好。領得南州處處春。</text>
<title>立岩去路數里。李時幹稱其勝宜觀。僕以詩辭之。</title>,<text>立岩聞是南州勝。人說岩花待我妍。咫尺儒仙亦不見。立岩那得勝儒仙。</text>
<title>河界川邊。再與玉娘。</title>,<text>障却羅衫背立羞。春風吹拂小紅樓。芙蓉顔面依俙見。芳草人間洄府愁。</text>
<title>芳草亭。書示宗孫廷馥。</title>,<text>雨露丘原倍愴情。行人纔得祭淸明。白頭未判南歸計。慚愧春山杜宇聲。</text>
<title>贈德生</title>,<text>二月初看荳蔻枝。芳心繭栗未開時。尊前解唱相思曲。御史重尋恐後期。</text>
<title>戱贈鳳春</title>,<text>西周世遠嘆如何。鳳去岐山歲月賒。惟有山前茜裙女。春風猶唱采桑歌。</text>
<title>伏龜亭。贈白鷗。</title>,<text>亭下溶溶春水回。尊前時有白鷗來。亭中有客頭如雪。白白相看莫漫猜。</text>
<title>校正廳。與金昌遠夜酌。五絶</title>,<text>莫向樽前唱渭城。樽前有客獨含情。靑天明月何時至。愁絶三更聽雨聲。春光先入上陽城。檻外寒梅已有情。此夜江南千里夢。分明聽得鷓鴣聲。雨餘春意滿皇城。把酒論文更有情。生著百年成底事。風埃羞殺逐名聲。細雨濛濛滿一城。陽坡草色不堪情。歌兒莫唱尋春曲。竹下鳴泉已有聲。九街楊柳轉春城。花下盈盈動客情。莫向靑山怨杜宇。歌兒已作斷膓聲。</text>
<title>校正廳宣醞日。錄奉僚座。</title>,<text>雪盡方壺翠欲來。九重春色五雲開。金甖玉薤從天下。風動恩波漾綠盃。</text>
<title>贈許從事。詠雪。二絶</title>,<text>取水煎茶結素花。書生冷淡覺還多。曉來新度郞中曲。促喚佳兒淺淺歌。歲暮邊城亂雪花。夜風吹送紙窓多。三更驚起秦樓夢。未闋吳兒白紵歌。</text>
<title>戱吟。次從事韻。三絶</title>,<text>三十瓊奴性命輕。若何爲陣若何城。須臾賭得如澠酒。始識抨中有勝兵。佳人六博敢言優。學士元非噲等儔。但向靑樓輸興慣。壚頭故解黑貂裘。落筆雲烟格律高。騰牋爽氣凍麟袍。沉吟不足成三嘆。老子於詩亦太饕。</text>
<title>錄房中夜話仍成 八絶</title>,<text>佳人十人正嬌羞。一掬纖腰柳㨾柔。靚服殘粧睡新覺。天姿都在眼波秋。曾記花含荳蔻枝。別來驚見月盈規。豐肌細骨殊前態。依舊春山淡掃眉。回廊花暗月朧明。憶着金釵醉後撗。半嚲烏雲扶不起。東風吹掣綉簾㫌。紅粧翠盖擁西池。仍憶羅裙闘彩時。明月滿街天似水。夜深吹送玉參差。六曲欄干壓小池。荷花荷葉隱簾帷。分明昨夜江南夢。只有吳紗扇子知。羅衣暗襲桂枝香。才子風流孰比方。莫問兒家夫婿大。一年都是壯元郞。深夜倫尋密約來。小窓雲雨鎖陽臺。封郞本是無情物。錯使金蓮草草回。簇蝶香裙卸翠羅。寒浸斗帳欲生波。燈前兩疊傷春曲。唱着佳人自作歌。</text>
