<title>讀書 乙丑</title>,<text>月是太古月。書是太古書。太古明月下。人讀太古書。</text>
<title>借居西湖濯纓亭。題壁。四首</title>,<text>背郭江亭號濯纓。滄浪孺子讓吾淸。柳陰細暎晴沙遠。帆影時隨落照橫。百年靡室從人借。萬事憑詩逐意成。洛水長流汾曲去。倚欄滿目送波聲。						飄泊生涯市曁邊。澄江如練抱村圓。區區計分詩興。寂寂虛窓寓道玄。吊影形單蠶曲踽。回膓日九鳳湖煎。屢空簞食眞堪樂。客坐何愁乏馬韉。						吾拙昧生理。臨江謾借居。尋閑聊爾耳。閱世竟何如。妄意聖人學。虛拋俗士書。徘徊天地暮。終歲伴樵漁。						天地靑蠅滿。江湖白鳥多。吠聲忘自棄。射影喜人過。君子欺猶可。公論定謂何。眞堪資日省。未必非磋磨。</text>
<title>乘小舸往栗島沙塲。觀射侯口占。</title>,<text>粉鵠高懸返照明。渚淸沙遠柳陰輕。盛時豈欲誇奇藝。暇日聊謀樂太平。白羽星流山影動。紅心雹落水紋生。如今漫浪觀猶壯。何况當年矍圃情。</text>
<title>隣有趙老人自號棲霞翁。見余觀射詩和之。兼寄二律。旋卽次送。</title>,<text>廉纖舊雨繡空明。遠峀依微霽色輕。秋月迎懷寒水照。江村極目暮烟平。百年飄泊誰親友。萬事迂踈笑我生。可道知音無此世。新詩相和荷深情。						偶爾江湖客。居然萍水隣。忘年交有誼。知己世無人。白露蒹何處。光風柳此濱。商歌聊曳履。吾本不憂貧。						小屋扁舟似。自疑是釣翁。鳧鷗長泛泛。雲水日濛濛。耽景分詩思。訝奇問化工。西隣今幸托。得句也應東。</text>
<title>霞翁又寄以進退格。聊復次之。</title>,<text>水國凉風動遠梢。倚欄秋思正迢迢。詩書舊業戈舂黍。漁釣新交㓒遇膠。無可奈何生計拙。不如歸去客懷怊。觀瀾至理共誰語。滿眼波文似衆爻。												再疊						秋霽天高月掛梢。吾人意思共迢迢。愛日深情長陟岵。知音厚誼誰投膠。素位粗膺經訓炳。吟詩不恨客心怊。功名汲汲非愚志。案上猶存未學爻。												三疊						君子由來見末梢。高山景行百年迢。陰陽故似門樞轉。義理難容瑟柱膠。洒落襟懷元浩浩。和雍氣象豈怊怊。畫前至妙非無易。直到包羲始有爻。																			四疊						今世伊誰和玉梢。牙期千古謾迢迢。直欲掃愁安得帚。却思粘日恨無膠。萬里秋風空自興。百年人事不勝怊。優游水閣聊終歲。已學滎陽讀一爻。												五疊						塩車日晩跼蒲梢。果下金鞍騁路迢。犬吠林叢眞苟苟。雞鳴風雨忽膠膠。滿目山河空跡浪。側身天地極心怊。幽村閉戶歲將暮。獨坐焚香玩象爻。												六疊						衰世難逢副手梢。漏船沉醉碧波迢。雪消已覘氣流鐵。葉落先知威折膠。若爲回首鄕愁切。無那關心旅跡怊。焉得師如夫子聖。終身請學韋編爻。</text>
<title>又次霞翁韻</title>,<text>澄江如練謝氛埃。多少江村擁翠臺。天氣淸明秋頓霽。夜光浮動月東來。鳥鳴深樹誰相使。鷗泛盤渦故不回。到處忘機已可驗。野人爭席漁爭隈。																			再疊						斷踈林絶點埃。淸江白石好樓臺。漁翁網捲寒波去。商客帆懸落照來。咫尺市朝耳欲洗。尋常松菊夢頻回。蒹葭秋水蒼蒼老。所謂伊人若箇隈。												三疊						度外通衢十丈埃。日高睡足每咍臺。春如有急堂堂去。老孰相呼得得來。不忿鵷雛飛見嚇。生憎蠅蚋逐旋回。讀書自笑龍鍾極。旅跡無聊漢水隈。												四疊						寶鑑元非染垢埃。無邊光景此靈臺。雨甘草茁含生樂。水到船浮得意來。上下鳶魚活潑在。淸明風月弄吟回。閑居盡日喧譊絶。多少漁歌極浦隈。												五疊						從古人多混世埃。百年襟抱倚高臺。聖賢豪傑眞師友。毁譽愛憎任去來。上下無交陳蔡厄。行藏有命晉河回。區區願學平生志。安得一遊洙泗隈。																			六疊						光風霽月凈無埃。一氣沖瀜萬景臺。厚重高山元壁立。源頭活水自淸來。從容意象琴歌寓。洒落胷懷浴詠回。惆悵無人知此樂。蕭然獨立暮江隈。												七疊						百年萬事一浮埃。卿相元多出皁臺。山林未必皆長往。軒冕誰將視儻來。堪悲雪涕死諸葛。叵愧戟髯生彦回。終古英雄空潦倒。幾人藏在谷巖隈。												八疊						甲第紛紛極目埃。獨吾無地起樓臺。後門誰揖前門揖。今雨不來舊雨來。碁變人情眞有幻。水流世道未曾回。故園日暮催歸思。悄倚空欄望遠隈。												九疊						言貌取人走俗埃。失之宰我又澹臺。書惟可意堆床在。月解消愁滿眼來。行不如歸歌數闋。計將安出首重回。山中景物多閑淡。遙憶白雲採藥隈。																			十疊						世路紛紛頭沒埃。淸秋萬里獨登臺。觀瀾已覺吾心樂。敗意何嫌俗物來。細雨鳥飛恒側側。高枝葉落故回回。恩翁松老空文藻。恨不相携水石隈。												十一疊						懶尋詩句筆生埃。手攬長竿下釣臺。水色風時閃白去。山容雨後送靑來。魚何樂事爭遊戱。鳥亦世情巧背回。納納乾坤如許大。此身覊旅少城隈。												十二疊						萬物於吾卽一埃。希夷千古閉雲臺。詩逢會意思如助。客有可人待不來。環堵何傷非病憲。簞瓢堪樂屢空回。江村歲暮無車馬。惟幸佳篇到隈。</text>
<title>次霞翁韻</title>,<text>秋盡客心遠。江居生事微。元非鷗有意。但使我無機。訪友塵譚每。吟詩好料稀。沂雩千載想。安得詠而歸。</text>
<title>復次七律韻</title>,<text>借宅蕭踈久索居。江湖滿地友樵漁。田間醉罵眞堪喜。意內畛畦已盡鋤。却混鳳雞人孰辨。謾嘲蠅蚓語猶虛。優游卒歲饒新趣。潦倒悲秋憶故廬。												其二						太平皆願少須臾。慚我龍鍾誤冠儒。日日嚶鳴憐谷鳥。朝朝反哺羡林烏。貧誠非病唯應樂。巧未如人只守迂。惆悵百年無與語。天寒水落客懷孤。						余平生不喜費精力爲詩。人有倡之者。亦惡崖異。旋復信筆和之。盖可以得已則已也。以故人亦不苛責焉。間借居江亭。涔涔離索。適與棲霞翁隔籬。翁性癖耽句。動拈韻要步。余亦不辭。隨輒和酬。要以遣懷消寂而已。前後所作。奄成數十餘首。因自笑曰起余者翁也。</text>
<title>余今年二十有五。而始有弄璋之喜。偶讀蘇詩。有曰人皆生子願聦明。我被聦明誤一生。但願孩兒愚且魯。無灾無難到公卿。意甚陋之。因反其意而步其韻。凡四首。聊以爲孩兒之祝辭云爾。</title>,<text>蘇翁生子厭聡明。未必聦明誤一生。但使聦明仍好學。時來何患不公卿。						元知愚魯勝聦明。能學顔曾不愧生。堪笑望兒愚且魯。區區但願到公卿。						洪匀賦予我聦明。不恨聦明誤此生。窮達在天行有命。浮榮何必羡公卿。						如愚若魯是聦明。好德自然萬福生。康寧壽考多男子。人爵儻來公與卿。</text>
<title>乙酉臘月二十五日丑時。乃丙戌立春也。詩以付諸門楣。祈福東皇。</title>,<text>鐘動雞鳴曉色晴。東皇按節此時行。迎人淑氣和風轉。滿室休祥吉夢呈。萱棣榮輝丹桂暎。麒麟抱送角犀盈。太平自作新春賀。萬里滄浪一振纓。</text>
<title>又題四絶。帖之四窓。</title>,<text>俱存無故樂乎而。弄月吟風又有之。淸晨繞筆靑霞起。爲寫新春第一詩。						家貧無以爲親歡。金榜來春佇錦還。試看汾曲趍庭喜。何似廬江奉檄顔。						擧業壞人不得已。緇塵奔走幾居諸。惟願今年了此事。從容尋玩韋編書。													靑雲洛水溢佳氣。知是東君第一朝。移榻南榮春日暖。笑看舊歲雪全消。</text>
<title>四月八日觀燈。有人呼強韻。口占應之。丙戌</title>,<text>仙家方朔昔偸桃。又竊金丹擬代毛。忽蹴爐中紅萬點。家家撒却滿城濠。</text>
<title>濯纓亭二十景</title>,<text>戍削峯巒卽水南。晴朝相對綠濃含。堪喜箇中光景絶。非烟非霧是輕嵐。													右冠岳晴嵐												奇巖陡作斷崖門。萬古長江任吐呑。潮水晩來聲倍壯。也應全沒昨宵痕。													右籠巖晩潮												明沙環繞綠波漪。奪目光晶玉屑疑。欲識就中奇絶處。一天霽月皎然時。													右平沙皓月												茫茫極浦勢縈紆。老樹幽村遠有無。玲瓏水色山光裏。數點孤烟勝畫圖。													右極浦孤烟																			島晴沙遠柳陰輕。粉鵠高懸隔水明。凭欄坐愛穿楊技。纔看星流已鼓聲。													右栗島射侯												沙如白雪女如花。白石灘淸浣白紗。玉腕輕嬌波蕩影。水中箇箇是西家。													右白石浣紗												樓臺羅絡亘湖東。依高低自不同。最是新晴𠷢暮景。層層粉碧畫圖中。													右夕陽樓臺												風吹帆影遠相連。暮入寒江白雨天。依微立立雲烟裏。只見檣頭不見船。													右暮雨帆檣												中分二水鷺洲斜。裊裊炊烟望裏賖。村家列知無數。爲有柳陰半被遮。													右鷺洲遠村												蠶渡垂楊綠作行。縈烟褭娜拂滄浪。千絲剩繫行舟着。來去緣何日日忙。													右蠶渡垂柳																			萬籟寥寥但聽江。夜深漁火忽雙雙。暎來暎去驚幽夢。直射淸欄透八窓。													右夜窓漁火												春波日日貴遊多。檻外尋常錦纜過。湖如鏡面人如畫。歌扇舞裳又似何。													右春渚貴遊												六花初霽遠光浮。南漢嵳峩白堞周。丙丁以後城猶在。雪色年年未雪羞。													右南漢雪堞												霜落西郊萬葉知。風飜夕照十分宜。深紅間點深黃色。渠自無心我見奇。													右西郊霜林												村村烟起又斜暉。沙上樵羣歷歷歸。天然物色眞堪畫。爭那歌聲隔水飛。													右隔水樵歌												小艇乘流竟日於。垂竿借問意何如。主人非我安知我。我自爲閑不爲魚。													右乘流釣竿																			終南罷霧氣佳哉。欝欝松林翠作堆。東籬日夕悠然見。一路分明粉堞回。													右木覔蒼翠												靑溪斜對立蒼顔。一種新奇杳邈間。深峯故是饒雲霧。天外時時失半山。													右靑溪雲霧												飜河决海百神勞。千里驅來氣勢豪。崇巖巨島皆淪沒。冠岳山餘幾尺高。													右夏霖觀漲												一夜寒風水色新。魚龍寂寞失經綸。行客恰如羅襪子。瑤池步步不生塵。													右冬天賞氷</text>
<title>濯纓亭江中八景</title>,<text>江澄風靜細紋生。閃閃日光暎射輕。阿誰碎却金千片。撒在波間巧滅明。													右日												月色波光淸夜宜。一條飛動影娥池。羅公新幻銀橋出。偸得霓裳也有誰。																				右月												歷落寒星映夜湖。忽如漁火忽如珠。分明一局棊初罷。黑白不知孰是輸。													右星												長看平淡亦尋常。風動波瀾幻景光。高成銀屋低成雪。箇裏奇權孰主張。													右風												風吹白雨遠迷天。水面斜橫色似烟。初見落來圓箇箇。滿江瑟瑟更無圓。													右雨												滕六花飛水色寒。琉璃界上有奇觀。釣叟把竿垂首睡。半簑雪滿半簑乾。													右雪												澄江更有霽烟環。細裊輕籠態絶閑。驚得睡沙白鳥起。拖分一抹過前山。													右烟												曉霧迷江色若曛。非烟非雨弄紛紛。兒龍應學呼雲術。何似南山豹變文。																				右霧</text>
<title>觀漲</title>,<text>容沙色化翁評。或恐夏來减却淸。爲思洗出千層景。急召五丁覆八溟。</text>
<title>柳</title>,<text>縈烟裊娜不勝嬌。舞榭粧樓處處搖。却恐佳人妬盡折。葉如眉細枝如腰。</text>
<title>遙望沙外平地。忽有大帆陡起。迤邐而過。</title>,<text>沙外但平郊。不知中有水。朝來新雨過。忽見風帆起。</text>
<title>小艇</title>,<text>小艇似蓮葉。徘徊明鏡中。借問搖搖者。得非太乙翁。</text>
<title>晴江</title>,<text>雨後秋江奇復奇。只應泛泛白鷗知。我欲問鷗鷗不答。傾身故意沒盤漪。</text>
<title>曉起卽事</title>,<text>衆雞爭唱遠村晨。洲月斜橫樹影繽。漁歌知在東南。水色蒼茫不見人。</text>
<title>觀漲</title>,<text>誰觸地維倒海波。陰官奔命百神訶。漂搖山嶽衰微甚。辟易魚龍處置何。人疑日夜浮沉去。舟似天河蕩漾過。極目東南靑草。村家猶自夕陽多。												其二						拆開東峽漲江潭。濁浪掀空萬里覃。驅駕漸看孤島滅。怒騰俄駭遠峯凾。直將氣勢呑天地。無那顧瞻失北南。欲詑壯觀題數句。如吾筆力恐難堪。</text>
<title>九日。寄東隣問菊花消息。</title>,<text>忽驚九日至。斗覺一年催。作客仍多病。悲秋已斷杯。無緣落帽會。猶上望鄕臺。爲問東鄰菊。今朝開未開。</text>
<title>與二三隣客。同翫江月。呼韻使賦。仍次之。</title>,<text>秋空霽月正無邊。隔江村點點烟。澄波十里平如鏡。一色分明上下天。</text>
<title>除夜走筆</title>,<text>百結先生琴作杵。我欲效之本無琴。坐看明朝歲將改。北風吹雪肆窮陰。稚子號寒復索飯。爾獨胡爲攪我心。况是汾津百有里。岵屺陟陟情不任。寂寂逃踉蓬藋逕。終年未喜跫然音。遠鴻廻翔驚塵網。寒鴉反哺歸暮林。得年居然二十七。自慚歲月空駸駸。上天至仁臨覆下。願言照此愛日忱。</text>
<title>春帖 丁亥</title>,<text>春祝年年浪費辭。東皇也厭太支離。余欲無言今歲帖。倘能勝似有言時。</text>
<title>有人賦松竹菊梧。盖欲以強韻困和者而觀其能也。聞而次之。</title>,<text>自能直節抱。一任雪霜遭。出壑軒危盖。當風碎怒濤。靑靑獨也正。落落見他驁。今世無良匠。棟樑喜得逃。右松						此君眞我友。氣味㓒投膠。踈韻含龍子。淸陰待鳳巢。嶰生先秬黍。荊貢壓菁茅。萬尺空庭月。休敎與可嘲。右竹													籬下金英吐。秋香滿一齋。風淸容自淡。霜打力能排。三徑宜爲友。千葩敢與儕。吾惟愛晩節。非欲世相乖。右菊						偏宜月霽夜。可是雨收晡。菶菶碧雲聳。亭亭靑玉扶。也令絲奏羽。不比竹嘲鬚。一奮朝陽鳳。餘風立懦夫。右梧</text>
<title>人又有以兩強韻詠南草者。而其難又有甚於四物韻。人爭和之。率多牽強雷同。余雖不吸此物。而不能不起興於遊戱翰墨之際。聊幷次之。至於桑字句。頗不禁慨歎之懷。亦由余不識草中趣而然耶。</title>,<text>蒔畒頻澆小澗溶。除歧培本費勤攻。淸烟解使千人愛。巨葉眞看百草宗。早託心交隨竹鐵。爲乘火德旺林鐘。欲論第一治痰術。與爾不妨席上從。												其二						辣味眞能棄意羊。樂飢何似泌之洋。已凌南海沉鳶瘴。却笑東田解馬韁。火攻故是傳諸葛。草具非關賣項王。萬葉家家盈五畒。如今不見樹墻桑。</text>
<title>春氷欲解。往往有碧波如席處。便有鳧羣飛下沉浮。謾詠。三絶</title>,<text>二月江氷片片開。爾從何處聖知來。羣飛拍翼波紋曳。極樂界中去復回。						自得於心以自娛。乘流悠爾逝須臾。不知列子御風日。似此泠然善也無。						隨波泛泛樂猶餘。聳首翻身直入虛。玻瓈千頃無尋處。忽地浮來却自如。</text>
<title>北漢山暎樓</title>,<text>杭海橋前山暎樓。登臨水石一何幽。芙蓉削出三峯立。玉雪飛來萬瀑流。僧帶夕陽投寺崦。鳥穿烟樹上簾鉤。莫言勝地人能占。天作巖臺問幾秋。</text>
<title>又作絶句</title>,<text>漢北城中千疊嶂。白雲臺底數間樓。多意化翁勤鍊石。高承危檻下承流。</text>
<title>再遊山暎樓</title>,<text>山暎樓前絶世塵。烟雲水石暮添新。寺僧帶月穿林至。怳惚相疑畫裏身。</text>
